timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-05-27 17:14:59.34,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-27 17:14:59.35,open,-4,-4,0,0,-1,1,2,0,0,3,1,0,0,1,2,0,-1,0,0,1,1,0,0,0,1,1,1,1,-1,0,0,0,-1,-1,-1,1,1,-1,-2,1,0,0,0,0,-1,-1,1,1
2025-05-27 17:14:59.36,open,-2,-3,-3,0,0,0,1,-2,-1,2,1,-1,-2,0,1,0,-2,0,1,1,2,0,0,-1,2,1,2,1,0,0,0,1,0,-1,0,1,1,0,-2,1,1,1,0,1,0,0,2,0
2025-05-27 17:14:59.38,open,-4,-6,-2,0,-1,0,3,-1,-1,2,1,0,0,1,1,1,2,0,0,1,0,1,2,-1,0,-1,1,2,1,0,0,2,0,-1,1,0,0,0,-1,0,-1,0,0,0,0,0,3,1
2025-05-27 17:14:59.39,open,-2,-1,0,1,2,1,1,1,1,2,0,0,1,1,1,1,-1,0,0,0,0,1,1,-2,0,0,1,1,0,-1,-1,0,-1,-2,-1,-1,1,0,-2,0,1,0,-1,1,0,-2,0,0
2025-05-27 17:14:59.40,open,-2,0,1,-1,1,2,1,0,0,1,1,1,1,1,0,2,-1,-1,0,2,1,1,0,-1,1,1,2,1,0,0,0,1,2,-1,0,0,0,-1,-1,1,0,1,0,1,1,1,1,-1
2025-05-27 17:14:59.41,open,-2,-3,0,1,0,-1,2,-1,-1,2,1,-1,0,1,2,0,0,0,0,0,0,1,2,-2,1,1,1,1,-1,0,0,1,-1,-1,-1,1,-1,-1,-1,0,0,0,0,0,-1,0,2,1
2025-05-27 17:14:59.42,open,-1,4,2,2,1,2,1,1,0,2,2,0,0,1,2,0,-1,0,0,1,1,0,1,-1,0,-2,0,2,1,0,-1,1,0,-1,0,0,0,0,-1,0,-1,1,0,1,-1,0,3,-1
2025-05-27 17:14:59.44,open,-4,-4,0,1,1,0,3,-1,1,3,1,-1,1,1,1,2,0,-1,0,1,1,1,2,-1,0,-1,1,2,1,0,0,1,2,-1,0,1,1,-1,0,1,1,1,0,1,0,0,1,1
2025-05-27 17:14:59.45,open,-6,-4,-1,-2,0,0,-1,0,0,0,0,0,1,1,0,1,0,-1,0,0,2,1,1,-3,1,1,1,2,0,0,-1,1,-1,-1,0,1,0,-2,-3,2,0,1,0,0,1,1,1,0
2025-05-27 17:14:59.46,open,-3,-2,2,3,0,2,4,2,1,2,1,1,2,2,0,1,-1,0,0,1,3,1,1,-2,1,1,1,0,-1,0,1,1,-1,-2,0,1,1,-1,-2,1,0,0,0,0,-1,0,1,1
2025-05-27 17:14:59.47,open,-4,-6,-3,-1,-2,-1,1,0,0,2,1,0,0,2,1,0,-1,0,0,2,1,0,-1,0,1,0,1,1,-1,1,0,0,-1,-1,0,-1,0,-1,-1,0,-1,0,0,0,0,0,1,0
2025-05-27 17:14:59.48,open,3,7,7,8,5,3,2,2,1,2,2,2,1,0,1,1,-1,0,0,3,2,1,0,0,1,1,1,1,0,0,2,1,-1,0,1,1,0,-1,-1,1,-1,0,0,1,0,0,1,1
2025-05-27 17:14:59.49,open,0,2,3,1,2,1,1,0,0,1,2,1,0,1,1,0,-2,0,0,1,1,0,-1,-1,-1,-1,1,2,1,0,0,1,0,-1,-1,-1,0,-1,-2,0,-1,0,-1,0,-1,-2,2,0
2025-05-27 17:14:59.50,open,-2,5,5,8,2,5,3,0,2,4,2,-1,0,1,1,1,0,0,0,1,0,2,2,-2,0,0,1,2,-1,0,1,1,-1,-1,1,0,1,-1,-2,2,0,0,-1,0,0,0,1,-1
2025-05-27 17:14:59.51,open,-3,-3,1,1,-1,0,2,0,1,1,1,0,0,2,1,1,0,0,1,1,1,1,0,0,2,1,0,2,1,0,0,3,0,-1,0,0,2,-1,-1,1,-1,0,0,1,0,0,1,-1
2025-05-27 17:14:59.52,open,-8,-4,-3,-4,-2,0,1,-2,-1,0,0,-1,0,1,0,1,-1,0,0,1,1,0,0,0,0,0,1,-1,-1,0,0,0,-1,-2,0,0,0,-1,-2,1,0,-1,0,0,-1,0,1,0
2025-05-27 17:14:59.54,open,-3,-2,0,1,-1,0,2,-2,0,1,0,1,2,1,0,1,0,-1,0,1,1,1,1,-2,1,1,0,0,0,0,0,1,0,-1,0,0,1,-1,-1,1,0,0,-1,0,0,0,1,1
2025-05-27 17:14:59.55,open,-5,-3,0,0,0,0,1,0,-1,1,1,1,1,0,0,1,-1,-1,-1,0,1,1,0,-2,1,1,2,1,-1,0,0,1,1,-1,0,0,0,0,-3,1,0,0,0,0,0,0,0,1
2025-05-27 17:14:59.56,open,-4,-4,-3,-4,-1,1,1,-1,-1,2,1,-2,-2,1,2,1,-1,0,0,1,0,0,2,-1,0,-1,0,0,0,1,0,0,-2,0,0,-1,0,0,-1,0,0,0,0,1,1,0,1,0
2025-05-27 17:14:59.57,open,-2,-2,1,2,0,1,2,0,-1,1,1,1,1,0,0,0,-1,-1,-1,2,2,1,0,-1,1,1,1,1,-1,0,0,0,-1,-2,-1,0,0,-2,-1,1,0,-1,0,0,-1,-2,-1,0
2025-05-27 17:14:59.58,open,-5,-3,0,-1,-2,1,-1,0,-1,1,0,1,1,1,0,1,-2,-1,1,2,1,-1,1,0,1,0,0,1,0,1,-2,3,2,0,0,2,1,0,-1,2,0,0,-1,2,0,0,2,1
2025-05-27 17:14:59.59,open,-6,-4,-4,-4,0,-1,-1,0,-2,-1,-1,0,1,-1,-1,0,-1,-1,-1,0,1,1,1,-2,1,1,0,0,0,0,2,0,-2,-1,1,-1,0,2,-1,0,0,0,0,0,-1,0,1,1
2025-05-27 17:14:59.61,open,-3,-2,-2,0,0,-1,1,-2,-3,1,1,-1,-2,0,1,0,-2,-1,1,0,0,0,-1,-1,0,-2,-2,0,1,0,-1,1,0,-1,-1,0,0,-1,-3,2,0,0,0,0,-1,0,3,-1
2025-05-27 17:14:59.62,open,-4,-7,-1,-2,-2,1,2,-2,0,1,1,-1,0,2,1,1,0,0,1,2,1,0,0,0,1,1,1,1,0,1,0,1,0,-1,2,1,1,-1,0,1,0,2,0,1,-1,1,3,0
2025-05-27 17:14:59.63,open,-3,0,1,0,1,2,1,1,0,0,0,-1,1,1,0,1,-1,-1,1,0,0,0,0,0,1,0,-1,1,1,0,-1,2,0,-1,-1,0,0,-1,-2,0,1,0,-1,0,-1,0,0,1
2025-05-27 17:14:59.64,open,-5,-6,-3,-1,-1,-1,0,0,-2,-1,0,1,0,-1,2,0,-2,0,0,1,0,1,1,-1,0,-1,0,0,0,1,0,0,0,-1,0,0,0,0,-1,2,0,0,-1,-1,0,0,1,0
2025-05-27 17:14:59.65,open,-5,-2,-2,-4,0,0,1,1,0,0,0,1,2,1,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,1,1,0,-1,-2,2,0,0,-1,0,-1,-2,2,1
2025-05-27 17:14:59.66,open,-1,0,1,2,2,3,3,0,0,2,2,0,0,0,1,0,-1,0,1,1,1,1,0,-2,1,1,1,1,-1,1,1,0,-2,0,1,0,0,2,-1,0,0,1,0,1,0,0,2,0
2025-05-27 17:14:59.67,open,-4,-3,-1,-1,1,1,1,1,0,1,0,1,0,0,1,0,-1,-1,1,1,1,1,1,0,0,-1,1,2,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2025-05-27 17:14:59.69,open,-4,-4,-1,0,-1,-1,0,-2,0,1,1,-1,1,1,0,1,-1,-1,-1,3,2,0,0,-2,0,1,1,1,0,-1,-1,0,0,-2,0,1,0,-1,-3,1,1,0,-1,0,0,-1,0,0
2025-05-27 17:14:59.70,open,-4,-4,-4,-2,0,0,-1,0,-2,0,1,-1,0,1,1,1,-1,0,0,1,0,1,2,-1,0,-1,0,2,1,1,0,0,1,0,0,0,0,2,-1,1,0,1,1,1,0,1,2,0
2025-05-27 17:14:59.71,open,-4,-2,0,-1,0,2,1,0,0,1,0,0,0,1,0,2,-1,0,0,-1,0,0,0,-1,0,0,-2,0,-1,0,0,0,-1,-2,0,0,0,-1,-2,1,1,0,0,0,0,0,0,0
2025-05-27 17:14:59.72,open,-3,-1,0,0,1,0,1,1,-1,1,0,1,1,0,0,1,-1,-1,-1,0,2,1,0,-2,1,0,0,0,-1,1,0,0,-1,1,0,0,1,0,-1,0,0,0,1,0,-1,0,3,-1
2025-05-27 17:14:59.73,open,-4,-4,-3,-3,-1,-1,1,0,-2,0,1,1,0,0,2,0,-1,-1,1,1,2,1,0,0,1,0,1,0,-1,0,-1,1,0,-1,-1,0,1,-1,-2,0,0,0,-1,0,-1,0,1,-1
2025-05-27 17:14:59.75,open,-1,1,0,3,-1,0,1,0,-1,0,1,0,0,-1,0,0,-2,-1,-2,1,1,1,1,-2,-1,-1,1,2,1,0,-1,0,0,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,-1
2025-05-27 17:14:59.76,open,-3,-6,-1,-2,-2,-1,2,0,-1,1,1,0,0,0,2,0,-1,-1,1,3,2,0,-1,0,1,1,1,1,1,0,0,1,1,0,0,-1,0,0,-2,0,-1,1,0,1,-1,-1,1,0
2025-05-27 17:14:59.77,open,-5,-3,-1,-2,-1,1,0,1,-1,1,0,1,1,-1,0,1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,-1,0,0,1,0,-2,0,0,0,-1,-1,1,0,0,0,2,0,0,0,1
2025-05-27 17:14:59.78,open,1,2,1,1,2,1,1,1,0,0,0,1,1,0,2,0,-2,-2,0,2,2,2,0,0,0,1,2,1,-1,0,0,0,-1,-1,0,0,0,-1,-2,1,0,0,0,0,0,0,1,1
2025-05-27 17:14:59.79,open,-5,-6,-4,-2,-1,-1,1,-2,-2,0,1,-1,-1,1,2,0,-1,-1,0,0,0,2,1,-2,0,0,1,2,0,-1,-1,1,0,-1,-1,0,1,0,-2,1,-1,0,-1,0,0,0,0,0
2025-05-27 17:14:59.80,open,-5,-3,-3,-2,-1,-1,1,0,-1,2,2,-1,-1,2,0,1,1,-1,0,1,0,1,1,-1,0,1,1,2,0,0,-1,2,2,0,0,0,1,0,-1,0,0,1,1,1,0,0,3,0
