timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-05-27 17:18:49.24,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-27 17:18:49.25,open,-3,-1,-4,-2,-1,-2,-2,1,-2,-4,0,1,-1,-2,0,-1,-2,-2,0,0,1,1,-2,-1,0,0,0,0,-1,-2,0,-1,-1,0,1,-1,-2,0,1,-1,1,-2,1,0,0,0,-2,0
2025-05-27 17:18:49.26,open,-6,0,-1,-1,-1,1,-2,1,0,-2,-1,0,0,-1,1,-1,-2,0,0,1,1,0,-1,-1,-1,0,3,1,-1,-2,1,-2,-3,0,1,-1,-2,1,1,-1,1,-1,2,0,0,0,-2,0
2025-05-27 17:18:49.27,open,-4,-2,-1,-1,-1,1,-2,1,0,-1,0,-1,0,0,1,-1,-1,0,1,-1,1,2,-2,0,0,1,3,1,0,-2,-1,-1,0,0,0,0,-1,1,0,-1,1,-2,1,0,0,0,-2,0
2025-05-27 17:18:49.28,open,-3,-2,-4,-3,-1,-2,-4,1,-2,-4,1,-1,-1,-2,1,-2,-1,1,0,0,1,0,-2,0,0,1,2,1,-1,-2,1,-2,-2,0,1,1,-1,1,0,0,2,-1,1,0,0,0,-2,0
2025-05-27 17:18:49.29,open,0,4,3,4,1,1,-2,2,0,-2,1,2,0,-1,-1,-1,-2,-1,-2,0,1,0,0,-1,-1,-1,1,2,0,-2,-1,-1,0,-1,-1,1,0,0,0,-1,2,-1,1,0,0,1,-1,0
2025-05-27 17:18:49.30,open,-3,-3,-2,-3,-2,-2,-1,0,-1,0,1,1,-1,1,1,-1,-1,1,0,1,0,2,-1,-1,-1,-1,0,1,-1,-2,0,-2,-1,0,0,-2,-1,1,1,-1,1,-1,1,1,0,0,-1,0
2025-05-27 17:18:49.32,open,1,8,4,4,1,4,1,2,2,-1,1,1,0,0,0,0,0,0,0,1,0,2,0,0,-1,0,3,2,0,-2,0,-1,0,-1,1,0,0,1,0,0,1,-1,0,1,0,0,0,0
2025-05-27 17:18:49.33,open,-2,-1,-3,1,0,0,-1,0,0,0,1,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,-2,-1,-2,-2,0,1,-1,-2,0,1,-1,1,-1,0,1,0,1,-2,0
2025-05-27 17:18:49.34,open,0,0,1,0,-1,1,-1,0,-1,0,1,0,0,0,2,0,-1,1,0,2,2,0,-1,-1,0,1,3,1,-1,-2,0,-1,-1,-1,-1,1,0,2,0,-1,1,-2,1,1,0,1,-1,0
2025-05-27 17:18:49.35,open,-5,-6,-3,-3,-1,0,-1,1,-1,-1,1,1,0,1,1,2,0,0,-1,1,0,1,0,-1,0,0,3,2,0,-2,0,-1,-1,-2,0,0,-1,0,0,-1,2,-2,0,0,-1,1,-2,1
2025-05-27 17:18:49.37,open,-5,-2,-2,-1,-1,1,-1,-1,0,-1,0,1,-1,0,0,-1,-2,0,0,2,2,2,0,-1,-1,0,2,2,0,-2,-1,-1,-1,0,0,-2,-1,1,2,-2,1,-1,1,1,0,0,-1,-1
2025-05-27 17:18:49.38,open,1,5,0,3,3,2,-1,3,0,-1,1,2,2,0,0,0,-2,0,0,3,2,2,-1,1,1,0,2,2,-1,-2,1,-1,-2,-2,1,1,-1,0,0,0,1,-1,0,0,0,0,-2,1
2025-05-27 17:18:49.39,open,-4,-2,-3,0,0,-1,-2,0,-1,-2,1,1,-1,0,1,-1,-1,1,0,1,1,2,0,-1,-1,2,1,1,-1,-2,1,-2,-2,0,1,0,-1,0,1,-1,1,-1,1,0,1,1,-1,-1
2025-05-27 17:18:49.40,open,-5,-1,-3,-5,-1,1,-3,0,-1,-4,0,2,0,-2,-1,0,-2,-1,0,1,3,0,-1,0,-1,0,1,2,1,-2,0,-1,-1,-2,1,-2,0,2,1,1,2,-1,1,-1,-1,1,-1,1
2025-05-27 17:18:49.41,open,-4,3,0,1,-1,3,-1,1,1,-1,1,2,-1,-2,1,0,-1,0,0,1,1,0,-2,1,1,0,1,0,-1,-1,1,-2,-4,-2,2,-2,-1,1,1,-1,0,-1,-1,1,0,0,-2,0
2025-05-27 17:18:49.42,open,-3,1,-1,-1,0,3,-1,1,1,-1,0,1,1,0,0,2,0,0,-1,0,0,2,0,0,0,-1,0,1,0,-2,0,-1,-1,-1,1,0,0,1,1,0,2,-1,1,1,1,1,-1,0
2025-05-27 17:18:49.43,open,-5,-2,-3,-3,-2,-2,-1,0,-1,-2,1,0,-1,0,2,-1,-2,0,0,2,0,0,-2,1,-1,0,1,2,0,-2,0,-1,0,-2,0,-2,-2,1,2,-2,1,-1,0,0,-1,0,-1,-1
2025-05-27 17:18:49.44,open,-3,-4,-2,-3,-2,-2,-1,-1,0,0,0,-1,0,0,-1,0,-1,0,-1,-1,0,-1,-2,1,0,0,0,2,-1,-2,-1,0,-4,0,1,0,-1,0,0,-2,0,-1,0,0,-1,-1,-1,-1
2025-05-27 17:18:49.46,open,1,5,2,1,1,3,-1,2,1,-2,1,2,0,-1,2,-1,-1,1,1,1,1,0,-2,0,0,-1,1,0,0,-1,0,0,-1,-3,1,0,-1,1,2,-1,1,-2,1,0,0,0,-1,0
2025-05-27 17:18:49.47,open,-2,-1,-3,-2,-2,-2,-2,-1,0,-2,0,-1,-1,0,1,-1,-2,0,0,1,1,0,-2,0,0,0,0,-2,0,-2,-1,-1,-2,-2,1,0,-1,1,0,-1,2,-2,1,0,-1,1,0,-2
2025-05-27 17:18:49.48,open,-4,-1,-2,-3,0,0,-2,1,-1,-1,0,-1,-1,-2,1,-1,-1,0,0,-1,0,-1,-1,0,0,-1,3,2,-1,-2,0,0,-1,-2,-1,-2,-1,1,1,-1,0,-2,1,1,-1,1,-2,-1
2025-05-27 17:18:49.49,open,-6,1,-2,-4,-2,1,-1,2,0,-1,-1,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-2,1,1,0,1,-2,-1,0,1,-3,-2,0,2,0,-1,1,1,-8,1,-1,1,0,0,0,0,1
2025-05-27 17:18:49.50,open,-2,0,-3,0,-1,0,0,0,-1,-2,0,-1,0,-1,0,0,-1,0,-2,-1,1,2,1,0,-1,1,2,-1,-2,-2,1,-2,0,0,1,-2,0,0,1,0,2,-2,0,0,0,1,0,0
2025-05-27 17:18:49.52,open,-3,0,-2,-3,-1,1,-2,2,-1,-1,1,0,-1,-2,0,-1,-2,-2,-1,0,1,0,-1,-1,0,0,0,-1,0,0,0,-1,-2,-1,-1,-2,-1,1,0,0,1,-2,0,1,-1,1,-2,0
2025-05-27 17:18:49.53,open,-5,-4,-5,-4,0,-2,-3,1,0,-2,-1,0,0,-2,0,0,0,0,-2,-1,1,2,0,-1,0,0,1,1,0,-2,0,-1,-1,0,1,-1,0,1,1,-1,2,-1,0,0,0,1,-2,-1
2025-05-27 17:18:49.54,open,-6,-3,-2,-2,-2,1,-1,0,0,-2,-1,-1,1,-2,0,0,-1,-1,0,-1,2,0,-1,0,2,0,0,-1,0,-2,0,-1,-2,0,1,-1,-1,1,0,-1,0,-1,0,0,0,1,-1,1
2025-05-27 17:18:49.55,open,-3,-1,-4,-2,-2,-3,-1,0,-1,-2,-1,-3,0,-1,0,0,0,0,-1,-2,-1,0,0,-1,0,0,1,-1,-2,-2,-1,-2,-2,-2,-1,-2,-1,1,2,-1,1,-2,0,0,-1,0,-1,-2
2025-05-27 17:18:49.56,open,-5,-1,-2,-2,-1,-2,-3,2,-1,-2,-1,-1,0,-1,-1,-1,-1,0,-1,-2,-1,0,-1,0,0,-1,1,0,0,-2,-1,0,-1,0,0,-1,-1,0,1,-2,1,-1,0,0,-1,0,0,0
