timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-05-28 17:03:45.99,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-28 17:03:46.00,open,4,2,3,0,1,0,0,-1,0,0,-1,1,2,0,-1,0,1,0,-1,-1,-2,0,-1,1,1,1,0,0,0,0,3,0,-1,1,1,0,0,2,2,0,-1,0,1,2,0,0,-1,0
2025-05-28 17:03:46.01,open,5,5,3,3,4,1,0,1,-1,-3,-1,2,3,-2,0,-1,2,0,-2,-2,-3,-1,0,1,-1,-1,-3,-1,1,1,1,-1,1,1,-1,0,1,1,0,1,1,0,0,0,0,0,-1,0
2025-05-28 17:03:46.02,open,1,-2,-2,0,3,-1,-3,-2,-1,-2,-1,1,0,-2,-1,-1,0,-1,-1,0,0,0,-1,-1,0,0,-1,0,0,0,2,-1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,-1,-2
2025-05-28 17:03:46.03,open,0,0,-3,-1,2,-1,-3,-1,-1,-3,0,2,1,-2,-2,0,0,-2,1,0,-1,1,0,0,0,1,1,0,0,1,3,-1,0,1,0,0,0,0,1,0,-1,0,1,1,-1,0,-1,-2
2025-05-28 17:03:46.04,open,4,2,0,0,3,0,-3,-1,-1,-3,-2,2,3,-2,-3,1,1,-2,-2,-2,-2,1,1,0,0,-2,-2,-1,1,1,2,-1,0,1,1,0,-1,1,1,0,0,0,1,2,0,0,-2,0
2025-05-28 17:03:46.05,open,2,-3,-3,-2,3,-3,-3,-2,-2,-3,-2,1,1,-2,-3,0,-1,-3,-2,0,-1,0,1,-1,-2,2,0,0,0,0,2,-1,-1,1,0,0,0,0,1,1,0,0,0,1,0,1,-1,-2
2025-05-28 17:03:46.07,open,0,-3,-1,0,1,-3,-2,-3,-2,-2,0,2,1,-2,-2,-1,0,-2,-1,0,0,0,0,-1,-1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,-1,0,1,0
2025-05-28 17:03:46.08,open,1,3,3,1,1,0,0,-2,0,-1,-1,1,3,-1,-2,1,1,-2,-1,-1,-2,1,1,0,-1,0,1,2,0,1,2,0,0,0,0,1,0,1,0,2,1,1,1,1,-1,0,-1,0
2025-05-28 17:03:46.09,open,1,-2,0,1,1,-2,-1,-1,-2,-3,-1,2,1,-3,-1,-1,0,0,-1,0,-2,-1,0,1,0,0,0,0,-1,1,2,-1,-1,0,0,0,-1,0,0,2,-1,-1,1,2,-1,0,-1,-1
2025-05-28 17:03:46.10,open,4,2,2,2,2,-1,0,-2,-2,-1,-1,1,2,-1,-2,0,1,0,-1,-2,-3,0,0,0,-1,0,-2,0,1,2,2,-1,-1,0,0,1,1,0,0,0,1,0,1,0,-1,0,-1,-1
2025-05-28 17:03:46.11,open,3,6,4,1,5,2,0,0,1,-2,-1,3,2,-1,-2,0,0,-2,-1,-2,-2,0,1,1,0,0,-2,0,0,1,1,0,0,1,0,0,0,1,2,0,-1,0,1,1,-1,0,1,-1
2025-05-28 17:03:46.12,open,4,3,1,0,3,2,1,-3,0,0,-1,1,1,-1,-1,-1,0,1,-1,1,-2,-1,0,0,-1,0,1,0,1,0,0,1,1,1,0,-1,0,1,1,0,-1,0,1,1,-1,0,-2,-1
2025-05-28 17:03:46.13,open,3,3,0,0,3,1,-1,-1,-1,-2,-2,2,1,-2,-2,0,1,0,-2,-2,-2,-1,0,0,0,0,-2,-1,0,1,3,-1,-1,1,0,0,0,0,2,0,0,0,1,1,-1,0,-2,0
2025-05-28 17:03:46.14,open,4,4,4,1,4,3,0,-1,0,-1,-1,1,2,0,-1,1,0,-1,-1,-2,-3,0,0,1,-1,-1,-2,0,1,2,1,-1,1,3,1,1,-1,1,2,0,0,0,2,2,0,0,-1,-1
2025-05-28 17:03:46.15,open,0,-1,2,-2,3,1,-1,-1,-1,-3,-2,1,2,-1,-2,0,1,0,-1,-2,-2,0,0,0,-1,-2,-2,0,1,1,1,-1,0,1,-1,0,0,0,1,0,-1,0,1,0,0,0,1,0
2025-05-28 17:03:46.17,open,1,3,0,-1,1,2,1,0,-1,-2,-1,1,1,-1,-2,1,1,0,-1,-1,-3,0,-1,0,0,1,-2,0,-1,0,2,-1,-1,0,0,1,1,1,0,2,0,0,0,0,0,1,1,0
2025-05-28 17:03:46.18,open,4,2,3,0,1,2,-1,-1,1,-1,-1,3,3,-1,-1,1,1,0,-1,-2,-2,0,1,1,0,0,-1,-1,0,1,1,0,0,0,-1,1,1,1,0,1,-1,1,1,0,-1,0,1,0
2025-05-28 17:03:46.19,open,2,-2,-2,0,2,1,-1,-1,1,-1,-1,1,3,-1,-2,1,2,0,0,-2,-2,0,0,1,0,-1,-1,-1,1,1,2,-1,-1,1,3,0,0,1,1,2,0,0,0,1,0,0,-1,-2
2025-05-28 17:03:46.20,open,0,-4,-2,0,1,-2,0,-4,-1,-1,-1,1,3,-1,-2,1,1,0,-1,-2,1,0,1,-1,0,1,-1,1,0,1,2,0,0,0,-1,1,0,1,0,2,0,0,1,0,-1,1,1,0
2025-05-28 17:03:46.21,open,3,-1,-1,0,2,0,-1,-2,0,-2,0,3,2,-2,-1,1,0,0,-1,-1,-1,1,2,0,0,-1,0,2,1,1,1,0,1,1,1,1,1,1,0,2,1,1,1,1,0,1,1,-2
2025-05-28 17:03:46.22,open,3,4,2,0,1,1,0,-2,0,0,0,2,1,-2,0,0,0,0,-1,1,0,-1,1,0,0,1,1,0,0,1,2,0,1,1,-1,1,2,1,0,2,0,1,0,1,0,0,-1,0
2025-05-28 17:03:46.23,open,5,4,4,3,3,2,1,-1,0,0,-1,1,0,-1,0,0,2,0,-1,-2,-2,-1,1,0,0,-2,0,0,1,1,2,0,1,0,0,0,0,1,1,1,-1,1,1,0,0,0,1,0
2025-05-28 17:03:46.25,open,0,2,3,1,3,2,1,0,2,-1,-1,2,2,-1,-2,1,1,0,0,-2,-2,0,1,1,0,0,-1,-1,0,1,3,-1,-1,0,1,-1,-1,2,1,0,0,0,0,0,0,0,1,0
2025-05-28 17:03:46.26,open,3,4,1,2,3,0,1,-2,0,0,-1,1,0,-1,-1,0,0,1,0,0,-2,0,1,1,0,0,-2,0,3,1,1,1,1,0,-1,0,0,1,2,1,0,1,1,0,-1,0,1,-1
2025-05-28 17:03:46.27,open,1,2,2,-1,2,2,0,0,0,-2,-2,2,3,-1,-1,1,0,-2,-1,0,0,0,2,0,-1,-2,-1,1,2,1,1,-1,0,1,0,0,-1,0,1,0,0,0,1,1,-1,1,-2,0
2025-05-28 17:03:46.28,open,1,2,1,0,1,2,-1,-1,0,-1,-1,2,3,-2,-2,0,0,-2,-2,0,0,0,1,-1,0,1,0,0,0,2,2,-1,0,1,0,1,0,1,2,0,-1,0,1,1,-1,0,-1,-1
2025-05-28 17:03:46.29,open,3,0,1,1,3,0,0,0,-1,-2,-1,3,1,-2,-1,0,0,-1,-1,-1,-2,1,1,0,-1,0,-1,0,2,1,1,0,1,1,0,0,1,1,2,1,0,0,2,2,0,0,-1,-2
2025-05-28 17:03:46.31,open,1,0,1,-1,1,2,0,-1,0,-1,-1,1,1,0,-1,1,2,0,-2,-1,-2,0,1,0,0,0,0,-1,1,2,2,-2,0,1,0,0,0,0,2,1,-1,1,1,0,-1,0,-1,-1
2025-05-28 17:03:46.32,open,4,5,4,2,2,3,1,-2,0,1,0,1,0,1,0,-1,1,1,0,0,-2,-1,0,0,-1,0,-2,0,1,1,1,-1,0,1,0,0,0,1,1,2,0,1,1,2,-1,0,-1,-2
2025-05-28 17:03:46.33,open,4,5,3,1,3,3,2,1,1,1,-1,3,2,0,-1,1,1,0,-1,1,0,0,1,0,-1,1,1,1,1,1,0,0,2,1,0,0,1,1,1,0,-1,0,1,0,-1,0,-1,0
