timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-05-28 17:06:15.65,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-28 17:06:15.66,open,2,6,3,3,2,2,0,0,0,0,0,0,-1,-1,0,-1,0,-1,-1,1,0,-2,0,-1,1,2,2,-3,-2,1,2,-2,-2,-3,1,0,-2,-1,-1,1,0,-1,-2,1,-2,-1,0,3
2025-05-28 17:06:15.67,open,0,0,-2,-1,-1,2,0,-2,1,1,0,-1,-2,2,1,-1,1,1,0,0,0,0,0,0,3,2,2,-1,0,1,1,-1,0,-1,2,1,0,0,0,2,1,1,-1,2,-1,1,2,0
2025-05-28 17:06:15.68,open,1,4,-1,-2,0,1,0,0,0,0,1,1,0,0,1,-1,1,0,0,1,-1,0,0,0,0,0,0,-2,0,2,1,-2,-2,0,1,0,-2,-1,0,1,0,0,-2,1,-2,0,2,1
2025-05-28 17:06:15.70,open,-2,-1,-3,-2,-1,-2,-2,-4,1,0,-1,-3,-1,1,-1,-1,0,1,0,0,-1,-3,-1,1,2,1,1,-2,-2,0,1,-2,-3,-3,2,0,-1,-1,1,0,0,0,0,2,-2,1,2,1
2025-05-28 17:06:15.71,open,2,7,3,0,0,3,2,0,1,2,0,0,-1,2,2,-1,1,1,0,2,1,-2,0,0,3,2,1,-3,1,2,1,-2,-1,0,1,0,1,0,0,0,-1,1,0,2,-1,0,1,1
2025-05-28 17:06:15.72,open,0,2,-2,-1,0,0,-2,-3,0,-1,0,-1,-1,0,1,-1,2,1,0,0,-1,-2,-1,2,2,1,0,-3,1,1,1,-2,-2,-1,1,0,-1,-1,0,1,0,0,-1,2,-2,-1,0,-1
2025-05-28 17:06:15.73,open,1,4,-1,-2,0,2,-1,0,0,-1,-1,0,0,0,-1,-1,1,-1,-1,0,-1,-2,0,2,0,0,0,0,0,0,0,-1,-1,-2,1,1,-1,0,-1,3,1,-1,-1,2,-1,1,1,1
2025-05-28 17:06:15.74,open,-2,3,0,-4,0,3,0,0,2,1,-1,-1,0,2,0,0,2,1,1,1,-1,-3,-1,0,2,1,1,-2,0,2,0,-1,0,-2,0,2,-1,-1,-1,1,0,-1,-2,2,-1,0,-1,1
2025-05-28 17:06:15.75,open,2,7,3,0,0,4,2,-1,1,2,1,-1,-1,1,2,-1,0,0,0,2,0,-2,-1,0,0,1,1,-1,-1,0,0,-1,-1,-2,0,0,0,-1,-1,1,0,0,-1,2,-2,0,2,1
2025-05-28 17:06:15.76,open,-1,4,-1,-3,0,2,-1,0,1,-1,0,0,-1,0,1,-1,0,0,-1,0,0,-1,0,0,0,0,1,-2,2,1,0,0,0,-2,1,0,-1,0,0,0,-1,1,-1,1,-2,-1,1,2
2025-05-28 17:06:15.78,open,-6,-1,-2,-5,-3,0,-3,-2,1,-1,-1,-1,0,0,-2,0,1,0,0,-1,0,-2,0,0,1,0,1,-2,0,1,0,-1,-1,-2,1,-1,-1,-1,1,0,0,-1,-1,2,-3,0,2,3
2025-05-28 17:06:15.79,open,-5,0,-2,-3,0,0,-2,0,0,2,0,-2,-1,1,2,-1,1,1,0,1,0,-3,-1,0,2,1,2,-1,0,1,0,-1,0,-2,1,0,0,0,0,0,-1,0,0,2,-2,1,2,3
2025-05-28 17:06:15.80,open,1,4,-2,-3,-1,1,-2,-2,0,-2,1,-1,-2,-1,1,-2,0,0,-1,0,-1,-2,-1,0,1,2,2,-2,-2,0,0,-2,-2,-3,1,0,-1,-1,0,1,0,0,0,1,-1,0,0,0
2025-05-28 17:06:15.81,open,-4,0,-2,-5,0,1,-2,0,1,-2,-1,0,-1,0,2,-2,1,0,1,0,-1,-3,-2,2,2,1,1,-3,-1,2,2,-2,0,0,1,0,-1,-1,1,1,1,0,-1,2,-1,0,1,0
2025-05-28 17:06:15.82,open,0,3,-1,0,0,1,1,-3,2,0,-1,-3,0,1,0,-1,2,1,0,-1,-1,-2,0,1,1,0,0,-2,1,1,1,-2,-2,-2,1,0,-1,-1,1,0,1,0,-1,2,-2,0,0,0
2025-05-28 17:06:15.83,open,-4,-2,-2,-4,-3,1,-1,-3,2,0,-1,-3,-1,1,0,0,1,1,0,0,-1,-2,-2,2,2,1,1,-3,-2,0,0,-2,-1,-3,0,0,-1,-2,0,0,-1,0,0,1,-2,0,2,1
2025-05-28 17:06:15.84,open,-2,-2,-4,-4,-2,-1,-1,0,0,-1,0,-2,-2,2,1,-1,2,1,0,-1,-2,-1,0,0,0,1,2,-2,-1,0,0,-1,0,-2,0,0,-1,0,0,-1,-1,0,-1,1,-2,0,1,0
