timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-16 15:59:00.33,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-16 15:59:00.34,open,-3,0,-4,-7,1,-5,-1,-4,-3,2,-4,4,-3,0,-2,3,-3,-3,2,-3,-4,4,-1,2,0,-1,5,-3,-2,4,-4,1,-3,0,1,0,-4,3,1,1,2,0,-2,4,-1,-1,3,-1
2025-04-16 15:59:00.35,open,-4,-3,-8,-8,-2,-6,-2,-2,-2,-2,-2,0,-4,1,-5,0,-3,-3,1,-5,-4,3,-3,-2,1,0,2,-1,-2,1,-3,0,-1,0,0,2,-3,0,1,-3,2,2,-3,4,-1,-1,1,0
2025-04-16 15:59:00.37,open,-5,-1,-7,-10,-1,-7,-3,-4,-4,-2,-5,2,-6,0,-5,2,-4,-4,0,-5,-5,2,-2,0,0,-2,2,-3,-3,3,-6,0,-1,-2,2,-1,-5,2,-2,1,2,-1,-1,1,-4,3,1,0
2025-04-16 15:59:00.38,open,-1,-7,-7,-11,-5,-4,-7,-4,-6,0,-6,-1,-4,-3,-3,0,-3,-3,-5,-4,-3,-2,-5,-4,-3,-1,1,-7,0,1,-8,2,-4,-1,2,-2,-6,2,-2,0,2,-1,-1,3,-4,3,1,-1
2025-04-16 15:59:00.39,open,-5,-5,-10,-6,-7,-6,-7,-3,-8,-3,-8,-3,-5,-4,-5,1,-4,-8,-3,-7,-6,1,-4,-3,-2,-1,-1,-5,-3,0,-6,0,-1,-3,-1,0,-6,0,1,-5,0,1,-4,2,-1,-1,2,-1
2025-04-16 15:59:00.40,open,-4,-7,-6,-13,-4,-6,-10,-7,-5,-4,-9,-2,-8,-3,-7,0,-4,-8,-3,-8,-7,1,-6,-2,-1,-1,-2,-5,-4,2,-7,0,-2,-2,-2,0,-4,-2,1,-5,-2,1,-3,1,0,-1,1,-1
2025-04-16 15:59:00.41,open,-5,-5,-11,-12,-7,-9,-7,-4,-7,-6,-6,-6,-6,-5,-9,-3,-4,-7,-7,-8,-4,-2,-7,-6,-4,0,-2,-9,-2,2,-9,1,-5,-3,1,-2,-4,-3,0,-4,0,0,-5,3,-1,-1,1,-1
2025-04-16 15:59:00.42,open,-6,-7,-11,-12,-7,-9,-7,-4,-7,-6,-7,-6,-8,-4,-11,-4,-5,-6,-6,-10,-5,1,-8,-5,-4,-3,-2,-9,-3,2,-10,1,-6,-1,1,-3,-3,-2,-4,-3,-3,0,-3,-2,-4,1,-1,0
2025-04-16 15:59:00.43,open,-5,-9,-8,-16,-6,-10,-12,-9,-8,-6,-11,-2,-11,-3,-12,-2,-8,-9,-7,-10,-6,-1,-9,-6,-5,-2,-3,-11,-2,1,-10,1,-6,-3,1,-4,-7,1,-3,6,-1,-3,-3,2,-3,0,2,-1
2025-04-16 15:59:00.45,open,-6,-8,-12,-14,-9,-8,-12,-8,-11,-5,-11,-5,-11,-5,-10,-1,-7,-11,-6,-10,-8,-1,-8,-5,-3,-3,-3,-9,-5,2,-10,2,-6,-2,1,-3,-5,1,-3,0,0,-2,-1,0,-4,2,-1,-1
2025-04-16 15:59:00.46,open,-6,-11,-11,-16,-10,-8,-13,-8,-12,-6,-12,-9,-11,-7,-10,-2,-6,-12,-9,-8,-8,-4,-7,-10,-2,-1,-6,-7,-5,1,-10,0,-3,-3,0,0,-6,-3,-2,-3,1,-2,-3,4,-3,0,2,-1
2025-04-16 15:59:00.47,open,-7,-8,-12,-15,-10,-10,-13,-7,-13,-7,-12,-10,-12,-8,-11,-3,-6,-13,-11,-8,-7,-6,-10,-10,-6,-1,-5,-10,-5,1,-11,2,-6,-3,2,-1,-7,-2,-4,-2,0,-3,-2,3,-3,3,1,-1
2025-04-16 15:59:00.48,open,-6,-9,-8,-17,-7,-10,-14,-9,-12,-7,-13,-7,-13,-8,-12,-2,-7,-14,-8,-9,-7,-6,-8,-13,-2,-1,-6,-8,-2,-2,-10,0,-4,-1,0,1,-2,-5,-5,-5,-3,1,-1,2,-2,3,0,0
2025-04-16 15:59:00.49,open,-3,-10,-7,-16,-8,-10,-15,-10,-13,-7,-14,-8,-14,-9,-12,-3,-7,-14,-11,-10,-9,-5,-9,-11,-3,-1,-6,-7,-5,-2,-9,-2,-5,-1,-2,2,-4,-5,-1,-6,0,0,-5,3,1,-1,-1,0
2025-04-16 15:59:00.50,open,-5,-11,-8,-19,-8,-12,-15,-11,-10,-10,-12,-9,-16,-6,-16,-2,-9,-13,-8,-11,-10,-3,-12,-9,-5,-3,-4,-7,-6,2,-12,-2,-3,-4,1,3,-5,-4,-2,-6,0,-1,-5,5,-1,0,-1,-1
2025-04-16 15:59:00.51,open,-6,-11,-9,-20,-8,-12,-16,-11,-11,-10,-13,-9,-17,-7,-16,-4,-11,-14,-10,-12,-9,-3,-12,-10,-7,-3,-5,-9,-4,-1,-13,1,-7,-2,1,-1,-4,-4,-5,-3,-3,0,-1,1,-3,4,0,0
2025-04-16 15:59:00.53,open,-7,-13,-11,-20,-7,-14,-14,-11,-11,-11,-12,-11,-16,-8,-18,-5,-9,-11,-10,-13,-8,-4,-12,-11,-8,-3,-4,-10,-5,1,-11,2,-5,-4,2,2,-4,-6,-2,-5,0,-2,-5,6,0,0,1,-1
2025-04-16 15:59:00.54,open,-7,-8,-12,-15,-11,-12,-15,-8,-14,-9,-12,-13,-13,-10,-15,-5,-7,-14,-13,-8,-8,-7,-10,-14,-5,0,-9,-7,-4,-3,-11,0,-6,-1,-1,3,-4,-5,-6,-5,-3,0,-2,2,1,1,-2,-1
2025-04-16 15:59:00.55,open,-6,-12,-10,-21,-8,-15,-16,-12,-12,-12,-14,-10,-18,-7,-17,-4,-11,-15,-10,-13,-11,-4,-13,-11,-5,-3,-5,-8,-6,0,-14,2,-7,-3,2,1,-7,-3,-5,-2,-2,-3,-2,3,-3,4,1,-1
2025-04-16 15:59:00.56,open,-8,-10,-11,-18,-9,-14,-14,-9,-14,-12,-11,-12,-16,-8,-19,-6,-12,-12,-12,-13,-8,-5,-14,-12,-7,-3,-6,-9,-4,-1,-14,1,-7,-1,1,0,-2,-7,-6,-5,-4,0,-3,1,2,1,-1,0
2025-04-16 15:59:00.57,open,-11,-10,-13,-18,-8,-15,-16,-13,-12,-12,-13,-13,-18,-8,-19,-7,-12,-12,-13,-14,-8,-5,-15,-14,-8,-4,-7,-11,-5,-2,-15,3,-8,-3,1,0,-6,-4,-4,-4,-2,-4,-1,4,-1,2,1,0
2025-04-16 15:59:00.58,open,-9,-10,-11,-22,-8,-16,-16,-13,-13,-12,-14,-11,-18,-8,-20,-6,-12,-13,-13,-13,-8,-5,-15,-13,-8,-4,-5,-9,-8,0,-14,1,-7,-4,2,1,-6,-4,-4,-5,0,-3,-5,6,-2,1,2,-1
2025-04-16 15:59:00.59,open,-8,-8,-13,-17,-10,-14,-16,-9,-14,-13,-13,-14,-17,-8,-20,-6,-12,-15,-12,-14,-10,-5,-15,-13,-8,-4,-5,-9,-8,0,-15,1,-8,-2,0,-1,-3,-6,-7,-6,-4,0,-3,1,1,1,-3,-1
2025-04-16 15:59:00.61,open,-6,-13,-9,-22,-9,-14,-19,-14,-14,-11,-16,-12,-18,-10,-17,-4,-9,-16,-10,-13,-12,-7,-10,-16,-4,-1,-9,-9,-4,-2,-14,0,-7,-2,-1,1,-2,-7,-6,-7,-4,0,-5,1,0,2,-3,-1
2025-04-16 15:59:00.62,open,-6,-13,-11,-22,-9,-17,-19,-13,-14,-12,-16,-12,-18,-9,-18,-4,-11,-16,-11,-13,-12,-5,-14,-12,-7,-3,-8,-8,-8,0,-13,0,-6,-6,-1,2,-7,-5,-4,-5,-3,-4,-3,3,-3,3,-1,-1
2025-04-16 15:59:00.63,open,-8,-9,-10,-17,-10,-15,-15,-9,-14,-13,-11,-16,-15,-9,-20,-6,-12,-12,-14,-14,-8,-6,-15,-14,-9,0,-9,-9,-4,-3,-14,0,-6,-3,-1,1,-4,-7,-7,-5,-4,-1,-2,1,-1,3,-3,-1
2025-04-16 15:59:00.64,open,-8,-12,-10,-21,-8,-15,-17,-12,-13,-12,-14,-13,-18,-8,-21,-6,-12,-14,-14,-15,-9,-5,-15,-13,-9,-3,-5,-11,-7,0,-15,1,-7,-6,1,1,-7,-5,-4,-6,0,-3,-5,3,-1,0,0,0
2025-04-16 15:59:00.65,open,-9,-9,-13,-18,-10,-15,-17,-12,-14,-12,-14,-13,-18,-8,-20,-6,-13,-14,-14,-14,-9,-5,-15,-13,-9,-2,-8,-11,-4,-2,-15,1,-7,-3,-2,1,-2,-8,-6,-8,-4,-1,-6,2,0,0,-1,-1
2025-04-16 15:59:00.66,open,-8,-16,-11,-21,-13,-13,-20,-10,-17,-10,-14,-16,-16,-10,-20,-7,-9,-16,-15,-12,-9,-7,-14,-15,-8,-3,-6,-11,-5,-1,-15,1,-8,-4,1,-1,-3,-6,-8,-5,-5,-2,-3,-1,-1,2,-4,0
2025-04-16 15:59:00.67,open,-5,-16,-11,-20,-11,-14,-20,-12,-16,-10,-16,-12,-17,-13,-18,-4,-11,-17,-15,-9,-12,-8,-15,-16,-9,0,-10,-8,-5,-4,-14,-1,-8,-3,-2,1,-3,-8,-7,-8,-5,-1,-5,0,0,0,-4,-1
2025-04-16 15:59:00.69,open,-8,-12,-14,-19,-14,-14,-20,-10,-18,-11,-13,-14,-17,-10,-21,-8,-12,-14,-13,-14,-11,-4,-16,-13,-9,-1,-9,-11,-5,-2,-15,0,-8,-4,-2,0,-3,-8,-7,-8,-5,-1,-5,0,-4,3,-3,-1
2025-04-16 15:59:00.70,open,-8,-12,-12,-20,-14,-13,-20,-10,-18,-11,-16,-12,-16,-12,-18,-8,-11,-15,-16,-13,-9,-7,-15,-14,-9,-3,-8,-11,-5,-2,-15,1,-8,-7,1,-1,-8,-8,-6,-8,-2,-3,-6,-3,-2,-1,-1,-2
2025-04-16 15:59:00.71,open,-4,-16,-9,-21,-11,-14,-21,-12,-17,-10,-17,-11,-17,-12,-17,-4,-10,-18,-13,-11,-10,-8,-14,-16,-8,-1,-10,-8,-4,-4,-14,-1,-7,-6,-2,1,-2,-7,-7,-9,-5,-4,-3,-1,-4,2,-4,-1
