timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-16 16:24:21.90,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-16 16:24:21.91,open,-6,0,-1,-3,3,-3,1,0,0,-1,1,-1,-1,-1,0,0,0,0,-2,0,-1,2,0,3,1,-2,1,1,-3,1,3,-2,3,-4,2,5,-4,0,5,1,3,-1,-1,4,-1,-3,3,3
2025-04-16 16:24:21.92,open,-5,2,-3,-1,1,-1,1,0,-1,2,0,0,-1,-1,2,1,0,-1,0,1,-1,0,2,0,0,1,0,1,0,-1,1,-2,2,-2,1,0,0,-2,1,-1,0,1,-1,0,0,-2,0,1
2025-04-16 16:24:21.93,open,-6,6,-4,-3,4,-4,1,-4,2,0,-2,3,-5,3,1,5,-3,-2,2,-2,-3,4,2,4,2,0,1,1,-4,2,5,-2,4,-3,-1,3,-4,-2,5,-1,4,0,-2,4,0,-4,3,2
2025-04-16 16:24:21.94,open,-3,3,1,-7,4,-4,2,-4,3,-1,-1,1,-5,3,-1,1,-2,2,1,0,-1,4,1,3,0,-2,2,0,-2,2,1,0,-1,-1,3,1,-3,1,2,2,0,2,0,0,3,-2,0,2
2025-04-16 16:24:21.95,open,-1,4,3,-4,3,-2,0,-3,2,1,-2,4,-5,3,-1,4,-2,1,3,-1,-3,4,3,3,3,1,-2,2,-3,0,4,-2,4,-3,-1,3,-2,-2,6,0,3,1,-3,3,1,-4,2,1
2025-04-16 16:24:21.97,open,-2,10,3,-4,5,-4,2,-3,1,-1,1,0,-1,2,0,2,-2,1,-1,-1,-6,2,1,2,0,1,-1,0,-1,-1,4,-2,1,1,2,2,0,-1,4,0,1,2,-2,2,2,-3,2,2
2025-04-16 16:24:21.98,open,0,9,3,-4,5,-2,1,-2,3,0,0,3,-3,4,0,3,-2,2,3,-1,-3,4,3,5,2,-1,2,0,-2,2,1,0,0,0,3,0,-2,1,3,4,1,0,1,1,-2,-1,2,3
2025-04-16 16:24:21.99,open,-2,7,2,-5,3,-2,0,-4,2,1,-3,5,-3,3,2,5,-1,-2,2,-1,-3,4,3,5,3,-2,1,-1,-4,2,4,-3,4,-3,0,5,-2,0,6,0,4,-1,-2,5,-1,-3,5,1
2025-04-16 16:24:22.00,open,-1,12,2,-4,3,-1,0,-2,2,1,-2,4,-3,4,2,4,-2,-1,3,-1,-2,4,5,3,4,1,-2,3,-3,0,6,-4,4,-3,2,3,-4,1,5,4,3,-2,0,2,-2,-1,3,2
2025-04-16 16:24:22.01,open,2,19,4,3,3,2,3,2,-1,4,-2,3,-2,1,3,5,-2,-2,2,0,-2,4,4,2,4,1,-1,2,-3,1,6,-2,3,-2,0,3,-1,-2,2,2,1,3,-1,1,3,-3,1,1
2025-04-16 16:24:22.02,open,-1,14,4,-4,5,-3,2,-2,3,0,0,4,-4,5,1,3,-3,2,2,-2,1,3,2,5,0,0,1,-1,-1,1,3,0,0,0,2,0,0,0,3,1,1,3,0,1,3,-3,1,2
2025-04-16 16:24:22.03,open,-2,17,4,-5,5,-3,2,-2,2,1,-2,6,-3,4,1,5,-2,-1,3,-2,0,4,3,7,1,-1,1,-1,-3,4,3,0,0,-3,2,2,-5,2,5,5,2,-2,0,1,-2,0,2,3
2025-04-16 16:24:22.05,open,0,16,3,-2,1,1,1,0,0,4,-2,5,-1,2,6,6,1,-2,2,1,-2,2,6,4,4,1,-1,3,-2,-1,7,-4,4,-3,0,5,-2,-1,7,1,3,1,-2,4,0,-4,5,1
2025-04-16 16:24:22.06,open,-2,10,3,-3,1,0,1,-1,0,3,-2,4,-2,2,5,6,-1,-2,3,0,-2,5,5,9,3,0,2,1,-4,3,5,-1,3,-4,2,2,-4,2,4,4,2,-1,1,1,-2,-1,3,1
2025-04-16 16:24:22.07,open,-3,8,2,-4,5,-2,6,-2,3,0,0,3,-3,4,2,3,-2,3,1,-2,2,2,3,5,1,1,-1,0,0,0,5,-2,3,0,0,5,-1,-1,4,0,1,2,-1,1,0,-1,1,3
2025-04-16 16:24:22.08,open,-1,2,3,-2,1,0,2,0,2,2,-2,4,-1,3,5,6,0,-1,3,0,-1,2,6,5,4,1,0,2,-3,1,5,-3,3,-4,2,3,-4,1,5,3,3,-1,0,1,-2,0,2,1
2025-04-16 16:24:22.09,open,-5,0,-1,0,3,-2,5,2,2,0,1,0,1,1,3,2,1,2,0,1,-1,1,5,5,3,2,-2,3,-1,-1,5,-4,4,-3,0,3,-4,0,7,-1,1,2,-2,4,2,-4,3,1
2025-04-16 16:24:22.10,open,0,-4,2,-2,3,1,1,-1,1,3,-2,5,-2,3,5,5,-2,0,4,0,-2,5,3,9,3,0,1,1,-3,3,3,0,2,-3,4,2,-5,3,4,2,3,-1,0,4,-1,-2,5,0
2025-04-16 16:24:22.11,open,2,-2,1,4,4,1,7,3,2,2,2,1,1,1,6,4,1,0,-1,2,-2,2,7,5,4,1,-1,3,-2,-1,5,-3,4,-3,0,3,-4,0,6,-1,2,1,-2,4,2,-4,3,0
