timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-06-06 15:42:11.41,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-06 15:42:11.42,open,-19,-2,-7,-6,-3,1,0,0,-4,-5,-5,-5,-7,-1,0,-2,-5,-4,-5,-4,-3,0,-1,0,-1,-1,-1,0,0,-1,0,0,-2,-1,-1,-2,-2,-2,-2,-1,0,-1,-1,-1,-4,-1,-4,0
2025-06-06 15:42:11.43,open,29,5,6,9,12,7,7,5,0,4,1,7,8,4,5,2,1,4,-1,0,-1,2,-2,0,1,0,0,0,2,-3,0,4,-1,0,1,1,-3,3,-2,1,-4,2,-3,0,-2,1,-3,5
2025-06-06 15:42:11.44,open,1,2,-2,0,0,1,1,2,-4,1,-4,2,0,2,1,2,-1,5,0,2,1,4,0,1,1,0,0,2,2,-2,1,4,-2,2,1,1,-1,2,-2,5,0,2,0,1,0,1,0,1
2025-06-06 15:42:11.45,open,-20,1,-6,-6,-2,1,1,1,-6,-5,-6,-8,-7,-1,0,-1,-7,-5,-6,-4,-3,0,-2,-2,-1,0,-1,-1,-1,-1,-1,-5,-1,-2,-2,-2,-2,-2,-1,0,-1,-1,-2,0,-5,1,-5,-2
2025-06-06 15:42:11.46,open,19,4,1,3,7,3,4,3,-3,2,-1,5,3,3,3,1,0,4,-2,0,-1,2,-2,0,1,0,0,-1,2,-2,0,3,0,0,0,1,-2,2,-2,2,-3,2,-3,1,-4,2,-3,1
2025-06-06 15:42:11.47,open,26,2,3,8,10,5,4,3,2,2,3,3,7,4,4,1,3,2,2,1,1,2,2,1,1,1,0,1,2,-1,0,3,-2,2,0,0,-1,2,-2,2,-1,1,-2,0,-1,1,-1,3
2025-06-06 15:42:11.48,open,-21,1,-11,-8,-3,1,1,1,-7,-4,-7,-4,-8,0,1,0,-5,-1,-4,-3,-4,1,-3,-2,0,0,0,-1,0,-2,-1,-1,-2,0,-2,-1,-4,0,-3,-1,-1,0,0,-1,-1,-2,-1,-1
2025-06-06 15:42:11.49,open,17,3,1,1,6,3,2,3,-3,1,-2,3,2,2,2,2,-1,3,-2,1,-2,2,-2,-1,1,0,0,1,2,-2,0,3,-1,0,0,0,-3,2,-1,2,-3,2,-3,0,-4,2,-4,2
2025-06-06 15:42:11.51,open,17,1,-1,1,6,3,2,2,2,-1,1,1,7,2,4,2,3,3,2,2,1,2,1,3,2,1,-1,2,0,-1,1,2,1,0,2,1,4,0,2,6,0,1,0,1,-1,0,0,2
2025-06-06 15:42:11.52,open,-7,0,-2,-1,-2,1,0,1,-3,-4,-4,-5,-7,0,1,-1,-4,-3,-5,-3,-3,-1,-1,0,-1,1,-1,-1,0,0,0,-3,-1,-1,0,-2,0,-1,0,0,-1,0,-1,0,-1,-1,-1,-1
2025-06-06 15:42:11.53,open,14,3,-3,0,3,2,2,2,-4,0,-4,2,1,2,1,0,-2,1,-2,-2,-2,1,-3,-1,0,-1,-1,0,0,-3,-1,2,-1,0,-1,0,-3,2,-3,0,-3,1,-3,-3,-2,-2,-3,0
2025-06-06 15:42:11.54,open,21,2,3,3,11,5,4,4,2,0,3,3,9,2,5,0,4,2,2,0,0,1,-1,1,1,0,-1,1,1,-1,1,4,-2,2,2,3,1,3,1,9,0,4,2,2,2,1,1,3
2025-06-06 15:42:11.55,open,-19,-2,-7,-6,-3,0,0,1,-2,-4,-2,-2,-5,1,-1,0,-1,0,-4,0,-1,0,-2,0,0,2,-2,-1,1,-1,1,-1,1,-1,1,-1,0,-1,1,2,0,0,-1,0,-3,2,-3,0
2025-06-06 15:42:11.56,open,14,3,-3,2,0,2,-1,1,-4,-1,-5,0,-7,1,-1,-1,-8,-3,-9,-6,-4,-1,-2,-1,-4,1,-3,-2,-1,-2,-1,-8,-1,-3,-1,-3,-2,-2,-2,0,-1,2,-3,-1,-6,1,-5,0
2025-06-06 15:42:11.57,open,20,2,6,7,17,8,9,10,7,7,9,10,19,9,10,2,8,7,5,4,3,4,2,3,2,1,1,4,2,-1,1,4,-2,3,2,2,-2,3,-1,7,-1,2,-1,0,0,1,1,2
2025-06-06 15:42:11.58,open,-5,-1,-2,-1,-1,0,0,1,-1,-4,0,-3,-3,-1,0,0,-1,-1,-1,-1,-1,1,0,0,0,0,-1,0,0,-1,0,-1,-1,0,1,-1,0,0,0,0,0,0,-1,0,-1,-1,-1,0
2025-06-06 15:42:11.60,open,-20,1,-13,-10,-6,1,1,1,-8,-5,-9,-3,-8,1,-1,0,-7,-1,-8,-3,-3,1,-3,0,-1,1,-1,-1,0,-2,-1,-1,-2,-1,-2,-1,-4,1,-3,-2,0,0,-1,-2,-2,-2,-3,-2
2025-06-06 15:42:11.61,open,29,6,7,12,14,7,8,7,2,6,3,5,11,4,6,2,3,5,2,2,1,4,0,1,1,0,0,2,3,-2,1,7,-1,3,2,3,0,4,0,9,-2,4,-2,2,-1,3,-3,8
2025-06-06 15:42:11.62,open,-5,-1,-3,-1,-1,1,-1,0,-1,-3,-1,-1,-4,0,0,0,-1,0,-2,0,-1,1,-1,1,0,1,-2,0,1,-1,1,0,2,-1,1,-1,1,-1,1,1,-1,0,-1,1,-2,1,-3,0
2025-06-06 15:42:11.63,open,-19,-1,-7,-8,-2,0,0,1,-5,-6,-5,-6,-7,0,1,-1,-6,-4,-6,-5,-5,0,-3,-2,-1,0,-1,-1,-1,-3,-1,-5,-2,-1,-3,-3,-3,-1,-3,-1,0,-1,-1,-1,-1,-2,-1,0
2025-06-06 15:42:11.64,open,25,6,6,9,15,7,8,7,1,5,3,9,11,6,8,1,5,6,4,3,2,4,2,1,2,1,0,2,2,-2,1,3,-2,2,1,1,-2,2,-2,3,-3,1,-3,0,-2,1,-4,5
2025-06-06 15:42:11.65,open,-3,2,-3,0,0,1,2,2,-4,1,-2,0,0,1,2,0,0,1,-1,0,-1,1,-1,-1,0,-1,-1,1,0,-3,0,3,-1,2,0,0,0,2,-2,1,0,2,0,1,1,1,1,-1
2025-06-06 15:42:11.66,open,-20,-1,-7,-2,-5,2,-1,0,-5,-1,-7,-2,-7,2,-1,0,-4,1,-5,-1,-3,0,-2,0,-1,1,-2,-2,-1,-1,-1,-5,-1,-2,-1,-1,-3,-2,-2,0,-3,4,-2,0,-5,1,-6,-1
2025-06-06 15:42:11.67,open,25,3,4,7,9,6,3,3,0,2,0,5,4,4,2,0,1,3,-1,1,-1,1,0,0,0,1,-2,3,1,-1,1,1,1,-1,2,-1,1,-1,1,1,0,1,0,0,0,-1,-1,5
2025-06-06 15:42:11.68,open,8,1,2,3,4,1,0,1,3,3,3,6,6,5,4,0,4,4,2,2,1,3,1,2,2,2,-2,1,3,-1,2,2,1,0,2,0,1,1,1,7,-1,2,-1,2,-4,3,-3,-1
2025-06-06 15:42:11.70,open,-20,1,-14,-12,-4,2,0,0,-8,-5,-8,-4,-8,0,-1,0,-7,-1,-6,-3,-4,1,-3,-1,-1,0,1,-1,1,-3,-1,0,-1,-1,-1,0,-3,1,-2,2,-3,1,-3,0,-5,1,-4,-1
2025-06-06 15:42:11.71,open,20,3,2,6,6,3,2,3,-2,3,-1,4,1,2,2,1,-1,3,-2,1,-1,2,-1,0,0,1,-1,0,2,-2,1,2,1,-1,1,0,-2,2,0,3,-3,2,-2,1,-4,3,-4,2
2025-06-06 15:42:11.72,open,22,2,5,6,8,5,4,3,3,1,3,3,6,3,2,1,2,2,0,2,0,1,0,1,0,3,-2,0,2,-1,0,2,1,0,2,1,0,0,1,5,-2,3,-2,2,-2,3,-3,2
2025-06-06 15:42:11.73,open,-20,1,-10,-4,-3,1,1,2,-6,-1,-5,-1,-6,1,2,0,-5,0,-5,-1,-3,1,-4,-1,-1,0,0,-2,1,-3,-1,0,-1,0,-2,-1,-4,1,-3,0,-4,1,-3,-2,-1,-1,-3,-1
2025-06-06 15:42:11.74,open,21,1,3,9,4,3,1,2,-1,3,-2,4,1,3,1,2,-1,3,-3,0,-1,1,-1,0,0,1,-2,0,0,-1,1,-1,1,-1,1,-1,0,-1,0,2,-1,-1,-2,1,-4,2,-4,1
2025-06-06 15:42:11.75,open,18,3,-1,5,6,5,3,4,0,3,0,5,6,4,5,3,0,6,-1,4,0,4,0,2,2,1,-1,1,3,-1,1,3,1,0,2,0,0,0,1,5,-1,2,-2,1,-3,2,-3,2
2025-06-06 15:42:11.77,open,-21,1,-10,-6,-4,1,1,1,-7,-2,-6,-3,-8,1,2,0,-4,-2,-4,-2,-4,1,-4,-2,0,-1,0,0,0,-2,0,1,-3,0,-2,-1,-4,1,-3,0,-3,1,-1,-1,-1,0,-1,-1
2025-06-06 15:42:11.78,open,13,2,-1,1,1,2,1,2,-4,1,-4,1,-2,1,2,0,-1,1,-1,-1,-1,2,-2,-1,0,0,0,0,-1,-2,-1,-1,-2,0,-2,-1,-5,-1,-4,-1,-2,0,-2,-2,-2,-2,-3,1
2025-06-06 15:42:11.79,open,22,2,3,5,8,5,4,2,1,0,1,3,3,3,0,1,0,2,-1,3,1,3,2,3,4,2,-1,3,5,-1,4,8,1,3,4,1,3,1,2,10,0,3,-1,2,-1,4,-1,3
2025-06-06 15:42:11.80,open,-20,2,-7,-1,-3,2,-1,0,-3,0,-2,0,-5,2,-1,0,-3,1,-4,0,-1,0,-1,0,0,2,-2,-1,1,0,0,-1,1,-1,1,-1,1,-2,2,2,-1,0,-1,1,-2,0,-1,-1
2025-06-06 15:42:11.81,open,5,1,-7,-7,-2,-1,0,1,-8,-7,-7,-8,-7,0,1,-2,-6,-5,-6,-4,-4,-1,-1,-1,-2,0,-1,-2,-1,0,-2,-7,-1,-2,-3,-3,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-2,0
2025-06-06 15:42:11.82,open,36,10,11,14,18,11,10,10,5,7,4,9,10,7,8,2,5,8,2,5,2,5,2,3,2,1,0,1,3,-1,3,6,1,1,2,4,-1,2,0,7,-3,2,-1,1,-1,2,-1,10
2025-06-06 15:42:11.84,open,-14,1,-6,1,-2,2,-1,-1,-4,1,-4,2,-5,1,-1,1,-3,3,-4,0,-2,1,-1,0,0,1,-3,-1,0,-2,1,2,1,-1,1,0,0,1,0,3,-3,1,-3,1,-4,1,-4,0
2025-06-06 15:42:11.85,open,-21,1,-11,-8,-4,1,1,1,-8,-4,-7,-3,-8,1,1,1,-7,-1,-5,-2,-4,1,-3,-1,-1,0,1,-2,-1,-3,-2,-4,-1,-1,-2,-2,-5,1,-4,-1,-4,1,-3,-1,-6,0,-6,-2
2025-06-06 15:42:11.86,open,29,4,7,6,14,5,6,4,1,1,4,4,11,4,6,2,4,4,3,2,3,3,2,3,2,1,0,4,3,-1,1,5,-2,3,2,1,0,2,0,6,0,1,0,1,1,0,1,7
2025-06-06 15:42:11.87,open,-10,1,-5,0,-2,2,-2,0,-1,0,-1,2,-2,1,1,2,-3,1,-2,0,-1,2,-2,0,1,0,0,0,2,-3,0,3,-1,2,1,1,-3,2,-2,2,-3,2,-3,0,-2,1,-3,-1
2025-06-06 15:42:11.88,open,-20,1,-12,-8,-4,2,-2,0,-7,-5,-8,-3,-9,0,-1,-1,-8,-2,-6,-4,-5,0,-4,-1,-1,0,1,-1,0,-3,-1,-4,-1,-3,-2,0,-2,0,0,2,-2,1,-2,0,-5,0,-6,-1
2025-06-06 15:42:11.89,open,26,6,5,8,15,8,8,8,0,5,2,8,9,5,6,3,3,7,0,3,0,4,0,0,1,1,0,0,2,-2,1,3,1,0,1,1,0,1,0,3,-3,2,-2,1,-4,2,-4,5
2025-06-06 15:42:11.90,open,8,-1,-1,2,1,1,-1,1,0,-1,0,-1,0,1,1,0,0,2,-2,0,-1,1,0,1,1,2,-2,1,2,-1,3,3,1,1,2,2,1,2,1,6,-2,3,-2,2,-2,3,-3,-1
2025-06-06 15:42:11.92,open,-20,1,-10,-4,-3,1,-1,2,-5,-1,-5,0,-5,0,1,0,-6,-2,-6,-4,-5,0,-4,-1,-3,0,0,-2,0,-1,-1,-4,-1,-2,-2,-1,-3,0,-3,0,-4,1,-2,-1,-5,0,-5,-3
2025-06-06 15:42:11.93,open,20,3,3,1,9,3,4,4,-2,1,-1,4,5,2,3,2,-1,2,-1,0,-1,2,-1,0,1,0,0,1,1,-3,0,3,-1,0,-1,1,-3,1,-2,0,-1,1,-3,-1,0,0,0,3
2025-06-06 15:42:11.94,open,16,3,2,6,8,5,5,5,1,2,1,6,6,4,4,3,1,6,1,2,1,4,0,0,1,1,0,1,2,-3,1,4,-1,0,1,1,-2,2,-2,3,-3,2,-2,0,0,0,0,2
