timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-05-20 16:40:06.11,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-20 16:40:06.12,open,-2,-6,-6,-5,-4,-2,-2,-2,-2,0,-1,-3,-4,-3,-2,-1,-2,-3,-4,-3,-3,-5,-3,-2,-4,-4,-4,-5,-6,-3,-3,-3,-1,-1,-1,-1,-2,-2,-1,1,0,-4,-6,-4,-5,-4,-2,-2
2025-05-20 16:40:06.13,open,3,-6,-3,-3,1,-2,2,2,2,1,4,5,4,4,5,6,5,3,3,2,2,1,2,3,2,2,1,-1,-1,0,-1,1,2,1,1,0,-1,-1,0,4,1,-1,2,1,1,2,4,5
2025-05-20 16:40:06.14,open,-1,-7,-3,-5,-3,-4,-2,1,0,-1,1,-1,-1,0,2,0,0,0,0,-1,1,0,5,4,2,2,3,1,0,4,3,5,5,4,2,2,4,3,2,5,5,4,6,3,2,3,5,1
2025-05-20 16:40:06.16,open,1,-3,-2,-3,1,1,0,0,-1,0,0,0,-2,-3,-1,-2,-2,-4,-5,-5,-4,-5,-2,-1,-3,-3,-4,-6,-7,-3,-2,-6,-3,-4,-7,-8,-9,-9,-8,-6,-10,-12,-14,-9,-9,-9,-6,-2
2025-05-20 16:40:06.17,open,1,-5,-4,-2,0,0,0,1,1,2,1,2,0,1,3,3,3,2,1,1,1,0,1,1,0,0,1,0,-1,1,0,0,1,1,1,1,0,-2,1,3,2,0,3,1,1,1,1,2
2025-05-20 16:40:06.18,open,1,-5,-2,-2,1,-1,-1,3,2,2,2,1,0,3,5,4,4,3,3,2,3,2,6,5,3,3,3,3,1,2,1,2,3,1,1,1,2,2,2,3,1,-1,2,1,2,2,5,4
2025-05-20 16:40:06.20,open,-3,-8,-8,-5,-4,-3,-5,-3,-5,-3,-4,-6,-7,-6,-5,-5,-5,-5,-5,-5,-4,-5,-3,-1,-3,-3,-3,-3,-5,-3,-3,-5,-2,-3,-5,-6,-6,-4,-5,-1,-4,-5,-10,-4,-5,-5,-3,-3
2025-05-20 16:40:06.21,open,1,-4,-2,-2,0,-1,-1,1,0,1,0,1,0,1,2,3,1,1,1,0,1,0,1,2,0,0,0,-1,-2,-1,0,2,3,0,0,-1,-1,-1,-1,3,0,-1,0,0,0,-1,1,2
2025-05-20 16:40:06.22,open,4,-1,0,0,1,2,2,1,1,2,1,1,0,1,3,4,2,2,2,1,1,1,3,1,0,1,1,0,-1,2,2,3,4,4,2,1,1,0,1,6,5,3,6,3,5,4,5,3
2025-05-20 16:40:06.23,open,-3,-9,-9,-6,-3,-3,-2,-2,-4,-1,-2,-3,-5,-4,-3,-2,-2,-2,-4,-4,-4,-5,-2,-1,-3,-4,-4,-6,-5,-4,-4,-6,-3,-4,-7,-4,-5,-3,-3,-2,-3,-4,-4,-1,-1,-1,0,-2
2025-05-20 16:40:06.24,open,1,-3,-3,-2,-1,0,2,1,0,1,1,0,-1,0,2,3,1,0,-1,-1,-1,-1,0,0,-3,0,-1,-1,-2,0,0,0,1,0,-1,-2,-3,-4,-5,-1,-5,-7,-11,-5,-7,-8,-3,1
2025-05-20 16:40:06.25,open,3,0,1,2,2,0,2,2,1,2,1,3,2,3,5,4,3,3,1,1,1,0,1,2,-1,0,0,0,0,2,3,8,8,9,10,10,10,7,11,13,12,9,11,7,6,8,8,2
2025-05-20 16:40:06.26,open,-5,-9,-7,-6,-4,-6,-4,0,0,-1,-1,-3,-3,0,2,1,0,0,1,0,0,0,2,1,-1,-1,-1,-2,-3,-2,-2,-1,0,-1,-1,-1,-2,-1,-1,1,-1,-3,-1,0,0,-1,2,-2
2025-05-20 16:40:06.27,open,2,-5,-5,-1,0,-2,-2,-1,-1,0,-2,-4,-5,-2,0,-3,-5,-4,-5,-5,-5,-5,-3,-2,-3,-3,-2,-4,-6,-3,-5,-6,-4,-5,-7,-6,-8,-6,-7,-5,-8,-8,-12,-5,-5,-5,-2,2
2025-05-20 16:40:06.28,open,3,-5,-1,0,2,3,4,7,4,6,5,4,4,6,10,6,5,4,4,4,5,5,7,9,6,8,8,8,6,9,7,13,11,9,9,8,7,6,5,8,7,6,10,6,6,5,7,4
2025-05-20 16:40:06.30,open,-1,-7,-6,-4,0,-1,0,-1,0,1,1,-2,-2,0,3,1,0,0,0,0,0,-1,1,0,-2,-2,-2,-5,-3,0,0,-2,1,-1,-1,0,-1,-2,-2,0,0,-2,-1,0,0,0,1,-1
2025-05-20 16:40:06.31,open,-3,-9,-8,-4,-2,-5,-4,-1,-2,-3,-4,-4,-5,-3,0,-3,-3,-2,-3,-4,-3,-4,-1,-1,-2,-2,-2,-3,-5,-3,-3,-4,-1,-2,-5,-5,-6,-5,-5,-2,-4,-5,-8,-3,-4,-4,-3,-2
2025-05-20 16:40:06.32,open,9,5,4,4,4,5,5,5,3,3,3,4,3,5,6,6,5,4,3,3,4,4,6,5,3,3,3,1,1,5,5,7,6,7,5,6,5,5,5,7,7,6,9,7,8,6,7,9
