timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-05-20 16:39:22.39,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-20 16:39:22.40,open,-1,1,-2,1,0,-2,-3,-1,0,-1,-2,-4,-4,-2,-3,-4,-1,-2,-3,-3,-4,-4,-5,-6,-4,-4,-3,-6,-6,-3,-4,-3,-1,0,0,-1,-1,-1,-2,-2,-3,-5,-11,-4,-7,-5,-7,-3
2025-05-20 16:39:22.41,open,6,7,7,5,4,4,3,3,3,4,4,2,4,6,3,5,6,2,4,3,1,3,1,2,0,0,1,-1,-1,0,-1,0,1,1,1,1,1,1,0,3,3,3,2,3,2,2,2,4
2025-05-20 16:39:22.42,open,0,0,0,-1,-1,-1,0,-1,0,0,-1,-2,-1,0,0,-1,2,0,0,1,1,1,1,2,3,3,3,1,0,2,1,4,3,3,4,4,2,5,4,3,5,4,5,4,4,5,3,1
2025-05-20 16:39:22.44,open,-1,1,2,2,2,1,-1,1,0,2,1,-4,-5,-7,-3,-5,-3,-5,-5,-6,-7,-6,-6,-4,-3,-4,-2,-5,-5,-5,-6,-11,-6,-7,-8,-8,-8,-8,-10,-13,-12,-14,-16,-11,-12,-9,-8,-3
2025-05-20 16:39:22.45,open,2,3,2,0,0,1,-1,0,0,1,2,-1,-2,-1,0,1,1,0,0,0,-2,0,0,-1,0,0,0,-2,-3,-2,-3,0,0,0,2,2,2,4,0,0,1,2,0,2,1,1,0,1
2025-05-20 16:39:22.46,open,2,4,4,4,5,3,0,2,3,3,2,0,0,3,2,2,2,1,1,2,1,2,1,4,4,3,4,0,0,0,-2,1,1,2,2,2,1,2,0,4,3,3,3,2,2,3,3,2
2025-05-20 16:39:22.47,open,-2,0,-2,-4,-3,-3,-4,-4,-5,-4,-5,-8,-8,-8,-7,-6,-6,-6,-5,-5,-5,-6,-5,-4,-4,-4,-4,-6,-6,-5,-4,-6,-4,-4,-4,-5,-5,-3,-4,-4,-4,-6,-11,-5,-7,-6,-6,-3
2025-05-20 16:39:22.48,open,1,2,1,0,0,1,0,0,0,2,2,-1,-1,0,0,0,1,0,0,0,-1,0,0,1,1,1,1,-3,-2,-1,-2,-2,-1,-1,1,1,0,0,-1,1,1,1,-1,-1,-2,-1,0,1
2025-05-20 16:39:22.49,open,5,3,3,4,2,0,-1,2,1,2,1,-3,-2,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,2,1,3,2,2,2,3,2,4,4,5,6,6,8,3,4,4,2,2
