timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-05-20 16:40:55.88,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-20 16:40:55.89,open,7,3,2,1,2,3,0,4,2,-1,0,1,1,2,0,-2,0,0,1,1,-1,2,3,4,5,5,6,8,10,8,9,14,10,11,12,15,14,13,11,15,16,17,26,14,17,16,14,3
2025-05-20 16:40:55.90,open,-1,-1,-1,-3,-2,2,-2,0,1,-1,0,-1,-2,1,-1,-2,0,0,0,0,-1,0,-1,-2,0,-1,-1,-1,1,-1,2,2,2,3,4,4,5,5,7,5,5,5,10,5,6,5,2,-4
2025-05-20 16:40:55.91,open,-1,-3,-3,-3,-3,1,-3,-2,-1,-3,-2,-3,-3,-1,-3,-5,-2,-3,-2,-3,-5,-2,-3,-5,-3,-3,-4,-4,-3,-6,-4,-5,-3,-2,-1,1,0,1,2,2,2,3,4,1,2,3,3,-2
2025-05-20 16:40:55.93,open,5,6,6,3,3,4,3,4,3,1,2,6,5,6,5,8,9,7,6,6,6,9,9,8,7,7,6,7,8,7,9,12,9,9,9,10,13,12,12,11,14,14,23,11,13,11,10,6
2025-05-20 16:40:55.94,open,1,1,0,0,1,4,-1,0,1,-1,0,-1,-1,1,-1,-1,0,-1,1,1,-1,0,0,0,1,0,1,0,1,0,2,2,2,3,4,4,7,6,7,7,8,6,14,5,7,6,4,-1
2025-05-20 16:40:55.95,open,-3,-1,-2,-3,-3,-1,-4,-1,-1,-4,-3,-3,-3,-1,-2,-3,-1,-1,-1,-2,-2,0,-2,-3,-1,-3,-3,-2,-1,-4,-1,-2,0,2,1,2,0,1,3,3,3,1,1,1,1,0,0,-4
2025-05-20 16:40:55.96,open,4,3,1,1,3,4,0,4,3,0,1,5,4,5,3,5,6,4,5,4,3,5,3,4,4,3,4,4,6,3,7,11,9,10,12,12,13,12,13,15,16,16,25,12,13,12,9,5
2025-05-20 16:40:55.97,open,1,4,3,4,3,4,-1,3,1,-3,0,1,0,1,0,1,2,1,2,1,-1,1,-1,-1,2,0,1,1,3,0,3,3,3,3,4,6,5,6,6,6,9,8,15,6,7,7,9,-1
2025-05-20 16:40:55.99,open,-3,-1,-1,-1,-2,-1,-2,-1,-3,-2,-2,-1,-4,-2,-2,-3,-3,-2,-1,-2,-4,-2,-3,-3,-1,-3,-2,-3,-1,-2,1,3,3,4,4,4,3,2,2,2,1,1,1,-1,0,-2,-1,-3
