timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-11 16:12:33.33,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-11 16:12:33.34,open,6,5,0,3,3,1,-1,3,-3,2,0,-3,1,4,-2,2,1,1,3,-1,1,1,-2,4,5,1,0,0,0,2,3,2,0,1,3,4,-2,3,3,1,4,0,1,3,2,1,2,-2
2025-04-11 16:12:33.35,open,10,9,4,8,5,-1,3,3,-3,4,2,0,-1,4,0,-1,1,1,1,0,-1,2,0,4,6,-1,-1,0,4,3,1,1,3,2,1,5,-4,2,3,2,2,3,4,5,3,3,3,1
2025-04-11 16:12:33.36,open,1,6,1,-1,3,0,0,0,-3,4,1,-2,0,5,-4,-1,-2,3,1,-2,0,-1,-2,2,4,0,-1,-1,-1,-1,-1,1,1,-1,0,3,-2,1,0,3,1,-1,0,1,1,1,1,1
2025-04-11 16:12:33.37,open,9,11,6,8,6,2,0,4,-2,1,0,2,2,1,-1,1,0,0,1,-1,2,-2,1,1,5,0,-1,-1,-1,2,0,2,1,1,0,4,-3,2,2,0,2,2,1,1,1,2,0,-2
2025-04-11 16:12:33.39,open,10,10,11,10,6,0,4,5,-3,5,1,-3,3,3,-1,4,1,4,1,-1,2,2,-1,4,6,0,-1,0,0,4,2,1,3,3,1,4,-2,2,3,8,4,4,3,3,1,6,6,2
2025-04-11 16:12:33.40,open,6,8,2,3,2,2,1,4,-1,4,0,-3,2,3,-2,-2,1,2,-2,-2,1,1,-2,0,1,2,0,0,1,2,0,1,-1,3,1,4,-3,-1,-1,1,2,1,0,0,-1,2,0,0
2025-04-11 16:12:33.41,open,8,8,4,5,4,0,3,3,-1,3,0,-1,0,4,0,-1,2,3,-1,0,0,-1,-2,2,4,0,1,-1,-3,1,2,0,-1,0,0,2,-2,1,1,0,-1,2,1,1,0,2,0,-1
2025-04-11 16:12:33.42,open,2,6,3,4,6,0,0,4,-2,1,-1,1,2,4,-2,3,0,4,1,-1,0,2,0,3,6,0,3,2,1,3,0,5,5,4,2,4,-2,1,2,4,3,4,2,2,1,4,4,1
2025-04-11 16:12:33.43,open,9,10,7,4,6,1,1,4,0,2,-1,0,1,3,-3,2,1,3,0,-2,-1,-1,0,2,3,0,0,0,0,1,-1,2,1,-1,0,4,-1,2,2,0,2,2,1,1,1,0,4,1
2025-04-11 16:12:33.44,open,5,4,0,4,4,-1,2,1,0,2,-2,1,1,3,-2,-1,0,4,-1,-4,-1,2,0,0,3,1,-2,1,2,2,1,0,3,2,0,1,-4,2,1,0,1,2,1,1,0,1,4,-2
2025-04-11 16:12:33.45,open,9,7,8,6,4,1,0,3,-4,0,2,-1,1,4,0,-1,1,3,2,2,1,1,0,2,5,3,1,-1,0,3,5,4,3,1,3,5,1,2,3,4,2,2,2,5,3,4,4,2
2025-04-11 16:12:33.46,open,6,4,2,4,3,0,-2,4,-1,3,-1,0,2,3,-1,0,-1,3,1,0,1,1,0,0,3,2,1,0,-1,3,4,3,0,4,2,4,-2,1,0,4,4,3,3,1,-2,4,4,-2
2025-04-11 16:12:33.48,open,2,1,-1,3,3,0,2,0,-1,2,-2,0,1,2,-3,0,0,2,0,-2,-1,-1,0,-2,4,0,-1,-1,-2,1,0,2,1,2,1,3,-3,2,1,1,1,2,2,1,0,0,2,1
2025-04-11 16:12:33.49,open,10,10,8,8,5,3,4,3,1,1,2,-1,-1,4,0,1,0,4,1,-1,-1,3,1,1,3,2,0,2,2,4,1,5,3,2,1,3,-2,3,4,5,2,2,0,3,1,4,6,2
