timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-16 15:55:05.04,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-16 15:55:05.05,open,1,-2,-1,-2,1,-1,-2,-1,1,-1,-1,-1,-1,-3,-1,0,1,-2,-2,-1,-1,-2,1,-5,1,3,-6,0,1,-3,0,-3,1,0,-5,2,1,-5,2,-5,0,4,-2,-2,3,-4,-1,0
2025-04-16 15:55:05.06,open,-3,6,1,1,4,-4,2,0,3,-4,2,-5,1,-3,-6,-6,1,1,-7,-1,2,-5,-1,-9,-3,2,-7,-4,1,-3,-3,-1,-3,1,-4,-1,3,-6,1,-5,-1,4,-2,-3,3,-5,-1,0
2025-04-16 15:55:05.07,open,-3,4,-1,0,3,-5,0,0,2,-6,1,-3,-3,-2,-6,-3,0,-2,-5,-1,-2,-3,-1,-12,1,1,-9,-4,0,-5,-2,-1,-1,0,-7,-1,2,-6,1,-5,0,3,-4,-3,2,-5,-1,0
2025-04-16 15:55:05.09,open,1,-1,-1,-2,0,-2,-5,0,-1,-2,-1,-4,-1,-6,-6,-2,1,-3,-7,-1,-2,-5,-4,-17,1,2,-10,-6,-1,-5,-3,-3,0,1,-6,-4,3,-7,-2,-5,-2,3,-2,-7,1,-3,-3,0
2025-04-16 15:55:05.10,open,-1,2,2,-2,3,-4,-5,-3,4,-4,-1,-3,-1,-4,-7,-4,1,-4,-6,-3,-3,-4,-4,-18,1,1,-10,-7,-3,-5,-4,-3,0,-3,-7,-4,-1,-7,1,-6,0,2,-4,-3,-1,-5,0,1
2025-04-16 15:55:05.11,open,0,1,-3,0,-1,-2,-3,0,1,-5,0,-7,-1,-4,-10,-7,-1,-1,-6,-6,-2,-3,-8,-17,-2,-1,-7,-10,-4,-1,-7,1,-4,-2,-5,-7,-2,-5,-3,-3,-2,0,-2,-7,-2,-3,-1,0
2025-04-16 15:55:05.12,open,-1,0,1,-3,3,-4,-5,-3,2,-3,-3,-3,-3,-5,-7,-4,-1,-4,-6,-5,-3,-3,-7,-18,0,1,-10,-8,-3,-4,-5,-3,0,-3,-7,-4,-1,-7,0,-5,1,-1,-5,-5,1,-6,-1,0
2025-04-16 15:55:05.13,open,-4,6,-4,-1,0,-5,-3,0,-1,-4,-2,-7,-3,-4,-11,-7,-2,-2,-9,-6,0,-5,-9,-21,-3,0,-10,-12,-1,-4,-9,0,-4,0,-7,-8,-1,-6,-3,-5,-2,2,-2,-9,-2,-2,-4,1
2025-04-16 15:55:05.14,open,0,5,-2,-1,1,-5,-5,1,0,-5,-2,-5,-4,-3,-11,-6,-2,-3,-6,-6,-3,-3,-9,-22,-1,-1,-9,-11,-4,-2,-7,0,-2,-4,-6,-6,-2,-8,0,-6,0,2,-6,-9,1,-5,-3,1
2025-04-16 15:55:05.15,open,0,-1,-2,-4,0,-4,-7,-4,1,-4,-4,-5,-2,-8,-8,-5,1,-3,-11,-4,-2,-8,-7,-28,-3,3,-14,-11,-1,-6,-9,0,-4,-1,-8,-10,2,-7,-4,-7,-4,2,-5,-11,-2,-3,-4,0
2025-04-16 15:55:05.16,open,-5,3,-3,-6,1,-7,-6,-3,2,-6,-2,-6,-4,-4,-12,-7,-2,-3,-9,-8,-2,-5,-11,-26,-3,0,-11,-14,-1,-6,-9,0,-5,-2,-10,-11,0,-8,-4,-6,-3,0,-5,-11,-2,-3,-3,0
2025-04-16 15:55:05.18,open,1,5,-2,-1,-1,-3,-7,0,-1,-2,0,-8,0,-6,-9,-9,1,-4,-10,-5,-3,-7,-7,-30,0,1,-15,-11,-3,-6,-5,-3,-1,-4,-11,-7,-1,-10,-1,-8,-1,-1,-7,-9,0,-7,-1,0
2025-04-16 15:55:05.19,open,-4,1,-1,-5,3,-6,-5,-3,1,-4,-3,-5,-5,-4,-10,-6,-2,-4,-9,-9,-4,-4,-11,-27,0,0,-15,-12,-5,-6,-6,-2,-3,-4,-11,-7,-2,-9,0,-7,0,-2,-8,-8,-3,-6,-1,1
2025-04-16 15:55:05.20,open,-4,-1,-3,-7,1,-6,-7,-4,0,-4,-3,-5,-3,-5,-9,-5,-1,-6,-8,-8,-4,-5,-12,-29,-1,0,-14,-13,-5,-6,-6,-3,-3,-6,-12,-10,-1,-12,-2,-10,-3,1,-8,-13,-1,-6,-4,0
2025-04-16 15:55:05.21,open,-3,6,-5,0,-1,-5,-4,0,0,-7,1,-7,0,-5,-10,-7,-2,-4,-10,-9,-4,-4,-12,-29,-2,-2,-13,-16,-6,-3,-8,0,-4,-8,-10,-13,-3,-8,-2,-7,0,-4,-8,-10,-4,-6,-3,1
2025-04-16 15:55:05.22,open,-3,2,-4,-1,-1,-4,-3,-2,2,-7,-1,-7,-3,-4,-10,-6,-2,-4,-10,-10,-3,-6,-12,-29,-3,-2,-13,-18,-3,-3,-10,0,-5,-4,-12,-15,-1,-11,-6,-6,-3,-4,-8,-15,-5,-4,-4,1
2025-04-16 15:55:05.23,open,2,2,0,1,-1,-2,-6,-1,-1,-4,-1,-8,-1,-6,-6,-7,2,-7,-11,-6,-4,-8,-9,-32,1,0,-17,-13,-5,-7,-7,-3,-3,-8,-14,-13,-4,-11,-2,-8,-1,-3,-10,-12,-5,-7,-2,0
2025-04-16 15:55:05.24,open,-2,-1,0,-6,1,-5,-7,0,-1,-2,-3,-6,-2,-5,-8,-9,1,-4,-14,-9,-2,-5,-13,-31,-4,-2,-14,-18,-6,-3,-8,-1,-5,-9,-10,-15,-4,-11,-1,-7,-1,-4,-9,-11,-2,-9,-3,1
2025-04-16 15:55:05.26,open,-3,-1,-5,-2,-2,-4,-6,-1,-2,-3,-2,-7,-1,-7,-7,-6,1,-6,-13,-6,-5,-8,-9,-34,0,1,-17,-14,-3,-7,-6,-3,-5,-6,-14,-13,-1,-12,-3,-9,-3,-1,-9,-15,-1,-9,-5,1
