timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-11 15:53:45.21,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-11 15:53:45.23,open,-3,5,5,6,0,-4,2,1,4,3,2,1,0,2,0,4,2,-1,-3,0,0,-2,2,3,2,0,0,2,-1,3,1,4,1,6,0,-2,1,1,1,3,0,0,-3,2,6,5,4,-2
2025-04-11 15:53:45.24,open,-6,-1,-2,-2,-8,-8,-7,-6,-7,-5,-4,-2,-11,-10,-9,-6,-4,-8,-10,-9,-7,-7,-2,-5,-4,-2,-8,-10,-10,-7,-7,-6,-7,-4,-10,-8,-5,-6,-4,-3,-2,-6,-6,-6,-4,-5,-6,-9
2025-04-11 15:53:45.25,open,-5,3,0,1,-4,-8,-7,-3,-3,0,-2,2,-6,-8,-4,0,-4,-6,-11,-6,-6,-5,-3,-1,0,0,-6,-9,-9,-3,0,-4,-4,-3,-7,-10,-3,-3,-1,-2,-2,-5,-6,0,2,0,-1,-2
2025-04-11 15:53:45.26,open,10,8,7,10,0,-8,-3,-2,2,5,0,2,-9,-6,-4,3,-2,-2,-9,-5,-5,-3,2,1,0,0,-7,-3,-4,4,5,5,1,6,-7,-7,1,-2,2,5,3,-3,-3,3,3,5,7,3
2025-04-11 15:53:45.27,open,-4,-2,-2,0,-5,-12,-11,-7,-6,-3,-5,-2,-15,-14,-11,-4,-7,-8,-16,-11,-13,-10,-6,-8,-7,-5,-14,-15,-15,-8,-7,-5,-12,-9,-19,-17,-7,-9,-6,-3,-7,-11,-12,-5,-2,-6,-5,-6
2025-04-11 15:53:45.28,open,-3,0,-1,1,-5,-8,-8,-4,-3,1,-1,-2,-11,-8,-7,0,-3,-8,-11,-9,-11,-8,-4,0,-2,-2,-13,-13,-13,-6,-2,0,-7,-6,-14,-12,-4,-6,-1,0,-5,-12,-13,-7,-2,-7,-7,-4
2025-04-11 15:53:45.29,open,6,8,7,8,-4,-4,-5,0,0,5,2,3,-10,-8,-4,5,-3,-6,-12,-8,-8,-5,1,-2,-3,-2,-9,-9,-10,-1,-1,2,-5,-4,-12,-9,3,-1,5,10,7,2,0,7,11,9,8,-1
2025-04-11 15:53:45.31,open,-1,0,-1,1,-8,-12,-14,-7,-2,0,-2,-5,-15,-12,-10,-2,-4,-8,-16,-10,-13,-10,-3,-2,-4,-4,-12,-13,-13,-6,-5,-2,-10,-10,-16,-14,-5,-6,-22,-2,-7,-11,-13,-5,0,-4,-3,-7
2025-04-11 15:53:45.32,open,5,11,11,13,0,-9,-8,-2,-1,1,-4,1,-16,-14,-12,-5,-7,-9,-18,-15,-17,-12,-5,-8,-9,-6,-15,-19,-21,-9,-7,-4,-12,-12,-21,-21,-12,-11,-3,-3,-9,-16,-16,-10,-6,-7,-6,-3
