timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-11 16:13:53.28,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-11 16:13:53.29,open,-2,4,2,-2,-1,-1,-1,0,-5,2,-2,-2,-1,3,-1,-3,-2,-5,0,-3,-2,-1,-1,0,-3,-2,-5,-1,1,-4,-3,-5,3,-5,-5,0,0,-1,-2,-5,-4,-2,-3,-3,-5,1,-2,0
2025-04-11 16:13:53.30,open,-5,-4,-2,-1,-6,-3,1,-5,-4,2,-2,-5,-3,1,-6,-1,-2,-4,-2,-4,-4,-5,-2,-1,-4,-4,-6,-4,-4,-5,-5,-1,0,-6,-7,-2,-2,-2,-2,-6,-5,-4,-2,-5,-6,-3,-4,-1
2025-04-11 16:13:53.31,open,5,4,8,2,0,5,4,-1,-3,3,-1,-2,-2,3,-5,1,-1,0,-1,-1,-2,-2,-2,1,0,-1,-4,-2,-2,-3,-1,-2,2,0,-3,-1,-1,0,2,-3,0,0,-2,-1,-4,2,1,3
2025-04-11 16:13:53.32,open,-4,1,2,-2,-5,1,0,0,-1,2,-2,-3,-2,0,-3,-3,-3,-3,-1,-2,-4,-4,-3,-4,-4,-1,-3,-4,-1,-8,-4,-3,-1,-3,-1,0,-3,-4,-3,-1,-1,-2,-3,-2,-2,-1,-4,1
2025-04-11 16:13:53.33,open,-4,0,-2,-3,-5,-2,-3,-3,-2,1,-4,-3,0,-2,-6,-4,-5,-5,-4,-5,-2,-2,-3,-4,-5,-3,-6,-6,-3,-7,-6,-1,-2,-6,-5,-6,-5,-5,-3,-5,-4,-5,-4,-3,-4,-2,-4,-1
2025-04-11 16:13:53.34,open,3,6,3,2,0,0,-1,-2,-3,2,-4,0,-2,0,-3,-2,-4,-2,0,-3,-4,-5,1,-3,0,-3,-6,-2,-1,-6,-5,0,4,-6,-5,-4,-4,-1,0,-3,0,-3,-5,-4,-1,-1,-2,2
2025-04-11 16:13:53.35,open,-3,3,3,0,-5,1,1,-2,-3,2,-1,-2,-2,1,-6,-3,-2,-2,-3,-4,-5,-4,-2,-2,-4,-6,-5,-2,-5,-10,-4,-2,2,-2,-4,-3,-1,-2,-1,1,1,0,-4,-2,-4,1,-2,0
2025-04-11 16:13:53.37,open,-5,0,1,-3,-5,-2,0,-1,-3,1,-4,-2,0,0,-6,-2,-2,-5,-2,-4,-6,-7,-3,-5,-6,-8,-6,-8,-6,-11,-9,-3,-1,-9,-6,-4,-4,-7,-5,-4,-6,-5,-8,-6,-5,-3,-3,-1
2025-04-11 16:13:53.38,open,3,1,4,2,-1,-1,1,-1,-5,1,-2,-4,0,1,-6,-3,-2,-2,-2,-4,-4,-4,-3,-2,-4,-4,-8,-6,-3,-8,-6,-2,1,-5,-7,-4,-1,-4,-2,-3,-3,-1,-4,-3,-6,-2,-3,-2
