timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-11 16:21:21.63,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-11 16:21:21.64,open,-1,1,0,-2,4,4,4,-1,3,4,3,5,5,7,4,3,1,3,0,5,7,6,4,8,2,5,5,4,2,4,4,7,4,1,4,6,5,6,3,3,2,2,4,4,4,3,4,-1
2025-04-11 16:21:21.66,open,-1,0,-5,0,1,1,-3,-4,2,2,2,-3,2,1,2,0,-3,-1,0,4,2,2,1,5,1,2,3,1,0,0,-1,3,4,0,1,3,3,0,2,-2,0,1,3,3,3,1,1,-4
2025-04-11 16:21:21.67,open,-2,-1,-4,-3,-2,-2,-4,-2,-3,3,2,-2,-1,1,-1,-2,-3,1,0,2,3,5,1,2,-1,1,3,1,3,2,-1,1,3,-1,-3,-1,2,1,1,-2,-2,1,-1,-2,0,2,-2,-5
2025-04-11 16:21:21.68,open,6,4,6,4,4,3,4,-1,0,6,3,3,1,3,4,3,1,-1,0,5,7,5,3,5,3,5,4,3,3,2,3,6,5,2,1,4,6,6,3,3,1,2,4,5,5,4,3,-1
2025-04-11 16:21:21.69,open,1,0,-2,3,1,3,-2,-4,1,3,1,-3,3,2,-2,-2,0,1,0,3,4,3,2,4,0,1,3,3,2,0,2,4,3,-1,1,5,5,4,2,0,0,4,6,3,3,3,3,-3
2025-04-11 16:21:21.70,open,-5,-4,-2,-4,-2,0,-1,-5,-1,4,1,-1,-1,-1,1,0,-3,-1,0,1,5,1,0,4,0,-1,0,2,1,0,-3,1,1,0,0,1,3,2,1,0,-2,2,4,2,3,2,1,0
2025-04-11 16:21:21.71,open,5,8,2,4,5,5,2,0,0,4,7,3,4,3,4,1,3,3,0,2,4,7,3,6,3,3,3,4,4,4,2,5,4,0,3,3,4,3,1,0,-1,2,3,3,4,3,3,2
2025-04-11 16:21:21.72,open,-2,1,2,-2,0,1,1,-4,2,2,5,-1,1,2,0,1,2,3,0,4,4,1,0,5,3,3,3,3,4,4,2,5,5,1,1,7,8,5,3,4,3,2,4,5,4,5,4,-1
2025-04-11 16:21:21.74,open,-3,-2,-7,-4,-1,-1,-3,-2,-3,4,2,-2,1,3,0,-2,-3,-2,0,1,2,2,-3,-1,-3,-3,0,0,1,-1,-1,1,3,-2,-2,1,3,0,-4,-4,-1,0,1,0,-3,-2,0,-2
2025-04-11 16:21:21.75,open,4,4,1,-1,2,2,0,0,1,5,4,1,2,1,4,1,2,1,0,4,6,5,3,4,2,4,4,4,3,2,0,4,4,-1,0,2,5,2,1,-1,0,4,4,2,0,3,2,1
2025-04-11 16:21:21.76,open,3,8,5,2,4,6,5,0,3,6,7,-1,4,4,3,2,0,1,0,6,5,5,6,5,2,4,4,3,4,1,3,5,5,2,1,1,5,4,2,2,1,1,3,2,5,1,1,2
2025-04-11 16:21:21.77,open,-3,-4,-5,-3,-1,-1,-4,-5,0,1,1,-1,0,0,2,-2,-3,-2,0,3,4,1,1,3,-2,0,1,4,2,8,-1,2,3,-2,1,0,0,3,-1,-1,-1,0,1,1,1,-1,7,-5
2025-04-11 16:21:21.78,open,0,0,1,0,2,0,1,-2,1,5,6,1,0,3,2,2,0,0,0,2,6,4,3,4,1,3,5,0,2,4,0,5,2,0,2,2,5,3,1,-1,-2,2,4,2,2,1,-1,1
2025-04-11 16:21:21.79,open,1,7,5,3,2,2,2,-1,1,2,4,-1,1,2,-1,3,2,1,0,5,8,6,4,4,2,4,5,5,3,2,3,6,6,3,3,5,8,4,1,4,3,4,3,5,3,2,4,-1
