timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-22 15:57:18.18,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-22 15:57:18.19,open,-2,-13,-9,-6,-7,-5,-4,-4,-6,-2,1,-4,-2,2,0,1,-2,-1,0,-2,0,1,-4,2,-2,-2,-1,-2,2,-2,0,-1,-2,0,-1,0,-1,2,1,3,0,-4,4,-3,-1,3,2,0
2025-04-22 15:57:18.20,open,-3,-10,-7,-7,-8,-3,-4,-2,-1,1,2,-1,0,0,1,-2,-1,0,-3,1,1,0,-1,4,-2,1,0,0,0,-2,3,-2,1,-1,-2,1,1,-2,3,0,-1,-1,-1,-1,0,2,2,1
2025-04-22 15:57:18.21,open,-1,-5,-1,-1,-1,-1,3,0,1,-1,3,-4,0,0,1,-1,1,0,-1,0,2,2,0,4,0,0,-1,1,1,-2,2,-1,-1,3,-3,2,1,0,1,1,-1,-3,3,-5,0,1,1,1
2025-04-22 15:57:18.22,open,-4,-7,-14,-6,-7,-8,-1,-2,-4,-4,3,-6,1,-1,1,-3,0,1,-3,0,2,-1,-3,1,-2,1,-3,2,1,-2,0,-1,-2,1,-1,0,1,-2,3,0,-1,-2,3,-5,-1,1,2,1
2025-04-22 15:57:18.23,open,-3,-12,-14,-8,-10,-10,-2,-5,0,-2,2,-4,-4,4,-3,-1,-2,1,-3,1,4,-1,-1,0,-1,-1,0,0,-1,-3,2,-2,-2,2,-2,-3,2,-1,2,-1,0,-3,3,-3,-2,-1,2,1
2025-04-22 15:57:18.25,open,-1,-4,-8,-1,-7,-2,0,0,-2,1,3,-6,2,0,-1,-2,0,3,-1,-1,5,4,-2,3,-2,1,-1,2,0,-4,3,-2,3,-1,1,1,-1,2,0,3,-1,1,4,-4,-1,2,2,1
2025-04-22 15:57:18.26,open,-1,-1,-7,0,-5,-1,-2,-2,-5,0,2,-5,-1,1,-3,0,-4,1,-4,0,4,-1,-2,1,-1,1,-2,-1,1,-3,1,-3,1,-2,0,0,0,3,1,4,0,-6,5,-2,-2,4,2,1
2025-04-22 15:57:18.27,open,-7,-35,-31,-19,-20,-13,-9,-5,-3,-3,2,-6,-3,1,-1,1,-2,-1,-2,0,1,-3,-2,1,-4,-1,-1,-2,-3,0,0,-2,1,0,-3,2,0,-2,2,-2,2,-1,0,-1,-3,1,0,-1
2025-04-22 15:57:18.28,open,10,7,7,8,3,6,3,6,-1,4,1,-1,1,0,0,-2,-1,0,-1,-1,0,2,-3,2,-3,1,-3,0,1,-2,2,0,-2,3,-1,-1,1,-3,3,2,-1,0,0,0,0,-1,0,2
2025-04-22 15:57:18.29,open,-1,-5,-9,-1,-5,-1,-1,-2,-5,0,1,-4,1,-2,1,0,-1,-2,-2,-1,2,-1,-3,2,-4,1,-4,-1,0,-4,1,-2,0,1,-1,-1,-1,0,1,0,1,-4,1,-2,-1,-1,3,1
2025-04-22 15:57:18.30,open,-6,-17,-16,-10,-13,-8,-8,-7,-3,-2,0,-3,-4,1,-4,-2,-3,-1,-5,-1,-2,-1,-4,2,-2,-1,-1,1,-2,-2,-1,-2,2,-1,-1,2,0,-1,3,0,1,-4,3,-1,-2,0,2,1
2025-04-22 15:57:18.32,open,-1,2,1,0,2,0,6,6,4,0,0,-1,-3,4,-1,0,-2,2,0,-1,1,3,0,4,0,1,-1,0,-2,1,3,-2,2,0,-2,1,1,-2,1,2,0,-4,4,-1,-4,2,-1,3
2025-04-22 15:57:18.33,open,-1,-3,-6,1,-5,-1,-1,-2,-1,-1,2,-5,0,0,-3,0,-3,-1,0,-1,1,-2,-3,1,-4,1,-2,1,1,-3,-2,-1,-1,-1,0,-1,-2,2,1,-1,2,-2,0,-1,0,-2,0,0
2025-04-22 15:57:18.34,open,-4,-18,-16,-11,-12,-9,-9,-9,-3,-4,1,-5,-3,1,0,1,-3,-1,-1,-4,1,2,-3,3,-4,-1,-2,-2,1,-2,-3,0,-3,0,-1,-1,1,-3,3,-1,0,-2,0,-1,-1,0,2,0
2025-04-22 15:57:18.35,open,0,-4,-1,-3,-2,-1,-1,0,3,-2,2,-4,0,0,1,-2,0,1,-2,-4,3,-1,0,1,-1,0,-1,1,-1,-2,3,-3,1,0,-3,1,0,0,2,0,1,-4,3,-2,-4,1,0,1
