timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-22 16:08:20.69,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-22 16:08:20.70,open,-7,-8,-3,-8,-1,-7,2,0,-12,-4,0,-4,2,-2,5,-1,1,-3,2,-1,-3,2,-2,1,-1,2,4,-4,3,2,-7,2,-1,4,-2,-1,3,-2,-3,-1,-1,3,-4,2,1,-2,1,0
2025-04-22 16:08:20.72,open,-11,-7,-7,-5,-3,-3,-1,2,5,1,-3,1,1,-1,5,4,1,1,1,1,-3,0,0,1,0,1,5,-1,1,4,-3,2,-1,6,-2,3,2,-3,2,-1,1,2,0,1,0,3,0,0
2025-04-22 16:08:20.73,open,-1,1,2,1,2,-4,5,1,0,0,2,1,-1,1,2,0,3,2,1,2,-2,0,2,2,0,0,6,0,1,4,-4,2,0,7,1,-1,3,0,0,-1,0,6,-1,1,2,0,1,0
2025-04-22 16:08:20.74,open,-12,-7,-6,-10,-1,-7,1,0,-11,-3,0,-2,4,-1,3,-2,3,0,4,1,-4,2,2,4,1,0,5,3,1,3,-2,-1,4,4,-1,4,1,1,1,-1,4,6,-2,3,0,3,2,0
2025-04-22 16:08:20.75,open,-11,-12,-5,-9,-3,-5,2,0,7,-1,2,-2,4,1,3,3,2,0,5,0,0,1,0,4,-3,2,6,-2,3,1,-3,0,2,3,1,2,1,-2,3,0,2,6,-2,2,0,0,4,-1
2025-04-22 16:08:20.76,open,0,-5,0,-6,1,-3,4,3,2,0,2,1,0,1,1,2,3,4,6,1,0,5,2,5,0,1,4,3,4,3,1,2,3,7,1,5,2,2,2,1,4,5,3,2,1,4,0,0
2025-04-22 16:08:20.77,open,-1,-6,0,-5,-3,-2,1,-1,-11,0,-4,2,1,2,2,2,1,3,2,2,0,0,2,2,1,1,7,1,2,1,-1,0,4,3,1,3,1,2,1,1,2,4,2,2,2,0,2,0
2025-04-22 16:08:20.78,open,-35,-22,-16,-19,-9,-11,-2,-4,-1,-2,2,0,0,2,3,3,-1,3,0,3,-3,2,1,5,-1,1,7,2,2,0,0,-1,3,6,0,0,2,1,-2,0,0,6,-1,-1,2,1,0,-1
2025-04-22 16:08:20.79,open,8,6,4,6,4,4,6,8,12,1,4,-1,5,0,2,2,4,3,2,3,-3,3,3,2,3,1,5,3,2,2,2,0,2,7,3,0,6,-1,1,0,2,5,-1,3,2,0,4,1
2025-04-22 16:08:20.80,open,-2,-3,-2,-5,0,-2,1,2,-10,2,-2,2,1,-2,5,3,2,1,1,2,-4,3,0,5,-1,-1,8,1,2,1,-2,0,3,5,0,3,0,0,4,1,1,4,-1,2,2,0,4,0
2025-04-22 16:08:20.81,open,-34,-10,-11,-7,-6,-6,-3,-4,-4,0,-2,2,0,1,0,0,3,3,1,1,-2,0,3,1,1,1,7,0,2,3,-5,2,-1,6,1,1,3,1,0,1,0,2,1,0,3,3,1,0
2025-04-22 16:08:20.82,open,-1,1,2,-3,5,-1,6,8,15,1,4,-1,4,0,2,2,2,6,2,3,1,0,4,4,2,1,8,-1,4,3,3,-1,4,4,1,1,3,1,1,1,1,5,-3,4,3,0,0,0
2025-04-22 16:08:20.84,open,-6,-2,-5,-2,-1,-1,0,-1,-5,1,-3,3,0,-1,9,0,2,4,2,3,-2,-1,2,2,-2,2,5,2,3,1,-1,0,3,7,0,3,5,-2,2,0,-1,8,-1,3,4,2,0,0
2025-04-22 16:08:20.85,open,-32,-13,-7,-9,-8,-4,-4,-4,-8,-2,2,-2,4,-1,5,2,2,1,5,1,-1,2,0,3,-1,-1,6,1,4,0,-5,2,1,3,2,1,0,1,0,1,-1,8,-2,2,2,-1,0,0
2025-04-22 16:08:20.86,open,-6,-3,-3,-2,-1,1,2,5,14,4,0,1,5,-1,7,0,4,3,4,3,-3,3,0,4,-1,2,5,-2,4,0,4,0,5,3,0,0,5,-2,1,-1,3,4,-1,2,3,-2,2,1
2025-04-22 16:08:20.87,open,-3,-3,1,-2,-1,-1,2,3,-6,4,1,1,3,-2,7,3,4,2,6,2,-2,3,3,6,0,-1,7,0,2,1,-3,-1,4,4,0,3,1,1,2,0,2,4,-2,0,1,1,-1,0
2025-04-22 16:08:20.89,open,-16,-12,-7,-11,-3,-9,1,-3,-10,-3,2,0,-1,1,2,0,1,3,2,-1,0,-1,3,5,-2,0,6,-2,3,0,-4,2,4,3,-2,0,0,-1,-1,1,0,4,-1,0,0,0,0,0
2025-04-22 16:08:20.90,open,-6,-7,-3,-8,0,-4,1,5,9,3,0,3,1,3,3,2,2,4,1,3,-1,1,3,5,1,0,8,1,1,3,1,3,-1,7,-1,0,3,-1,-3,0,-2,5,-3,1,2,-1,1,0
2025-04-22 16:08:20.91,open,0,-2,3,-3,4,-3,6,5,-3,4,-2,3,0,2,3,3,2,4,2,1,-2,2,0,4,-1,1,3,3,2,3,-1,2,0,6,0,-1,5,0,0,0,1,1,1,1,0,2,0,0
