timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-22 16:28:17.69,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-22 16:28:17.70,open,1,5,5,3,3,3,2,10,17,0,4,-4,4,-3,6,0,3,-1,1,3,10,2,-3,4,-3,-1,2,0,0,0,2,0,-3,4,0,-3,2,-5,-1,-2,1,1,-1,-1,-3,1,-1,2
2025-04-22 16:28:17.71,open,1,4,10,2,8,2,7,5,12,-1,5,-1,3,-2,6,-2,4,1,0,4,5,0,1,2,-1,-1,-1,2,-2,-4,4,0,-1,3,-2,-2,-2,-1,-2,-1,0,-1,3,-5,-3,2,-3,1
2025-04-22 16:28:17.72,open,4,5,9,1,5,4,2,1,1,2,2,0,2,-3,-1,-2,0,-2,-3,2,0,2,-3,1,-3,-3,0,-3,-1,-3,1,-2,0,1,-4,-1,-1,-7,0,-2,-1,-2,3,-4,-6,0,-1,1
2025-04-22 16:28:17.73,open,2,0,5,0,3,2,2,8,10,1,1,0,2,0,5,1,1,-3,0,3,8,2,-1,1,-1,0,-4,1,-4,-2,4,-2,0,0,-3,-3,-1,-4,-3,-2,0,0,0,-3,-6,2,-4,0
2025-04-22 16:28:17.74,open,3,4,11,3,5,5,5,9,9,3,4,-1,2,-1,5,-1,1,1,-1,4,9,1,1,2,-1,-1,0,-2,0,-2,4,1,-3,2,-4,-5,-2,-4,-2,-2,0,-1,1,-3,-3,-2,1,0
2025-04-22 16:28:17.75,open,1,1,5,3,3,3,3,2,0,3,2,0,0,0,2,1,-1,0,1,-1,-2,3,-2,2,-4,-2,0,-2,0,-2,2,0,-1,0,-3,-7,1,-4,-2,-1,-4,0,0,-5,-6,1,-2,1
2025-04-22 16:28:17.76,open,1,-1,1,1,2,-2,4,8,9,1,2,0,2,-4,6,0,1,-2,0,3,6,1,0,3,-2,-1,1,0,-4,-3,2,-1,0,1,-3,-1,-2,-4,1,-4,0,2,-2,-2,-5,2,1,0
2025-04-22 16:28:17.77,open,2,0,6,2,6,-1,6,9,10,4,4,1,3,-2,9,-1,4,3,0,7,12,2,1,3,-2,1,0,2,-3,-1,2,1,0,0,1,-2,-3,0,-3,-2,-3,4,-1,-3,-4,-1,-1,2
2025-04-22 16:28:17.78,open,2,4,7,3,6,3,6,1,7,0,1,0,2,-4,4,-2,3,-1,1,2,0,3,1,0,-1,-3,3,0,-4,1,2,0,3,3,0,-1,0,-4,-1,-4,1,0,3,-3,-5,0,0,0
2025-04-22 16:28:17.79,open,-1,-10,-1,-8,2,-6,0,-2,7,-1,-1,-1,-2,0,3,1,3,-2,0,2,-1,3,-1,0,0,0,-1,2,-3,-3,1,-2,2,3,0,-3,-3,-3,-3,-1,-3,5,0,-2,-4,0,-1,0
2025-04-22 16:28:17.80,open,3,4,14,4,9,7,8,15,17,6,3,2,1,1,9,1,4,1,3,4,11,2,2,5,-1,-1,3,1,-4,-4,6,0,1,3,-1,-3,-3,-5,-2,-1,-1,1,3,-3,-5,-4,-1,1
2025-04-22 16:28:17.81,open,2,3,9,1,8,0,8,4,8,1,5,-3,4,-1,4,-2,4,-1,2,1,2,4,-3,1,-2,-1,2,-4,-1,0,-1,1,2,4,-1,-1,-2,-4,-3,-1,-1,1,3,-5,-5,0,-4,1
2025-04-22 16:28:17.82,open,3,0,6,-1,6,-1,5,1,7,-2,4,-3,-1,0,1,-1,-1,2,-1,0,2,-1,-1,-2,0,-1,3,-2,-5,-2,1,-2,1,0,0,-5,-3,-5,-4,-2,-1,1,5,-4,-7,0,-4,1
2025-04-22 16:28:17.83,open,3,5,14,6,6,7,8,17,18,4,5,2,4,0,9,2,2,5,3,1,14,3,-1,4,-4,0,2,-5,-2,-3,6,1,-2,5,-2,-6,0,-7,-3,-5,0,1,1,-4,-5,0,-1,1
2025-04-22 16:28:17.84,open,3,2,9,2,6,2,3,4,6,0,5,-3,4,-1,5,0,3,0,-1,1,4,1,-1,-1,-1,0,-2,-1,-3,-2,4,-2,-1,2,0,-6,-2,-4,-3,-2,-3,1,1,-7,-4,-4,-2,1
2025-04-22 16:28:17.85,open,0,3,3,1,2,0,2,0,0,-1,3,-4,3,-1,-1,-3,2,1,-3,1,-1,0,-1,-1,-1,0,-2,0,-6,1,-2,1,-1,0,1,-5,-3,-6,-3,-5,-1,3,-1,-4,-4,-2,-4,1
2025-04-22 16:28:17.87,open,1,3,5,4,5,0,6,13,17,0,5,0,1,3,7,0,1,5,2,5,13,3,2,3,1,-1,5,1,-1,-1,8,-2,3,2,3,-3,1,-3,-3,0,2,3,4,-1,-4,2,-2,2
2025-04-22 16:28:17.89,open,1,6,6,6,6,6,6,9,7,4,3,0,4,-2,6,-2,3,-1,3,1,3,4,-1,2,-3,-2,2,-2,-4,1,1,-2,2,1,1,-2,0,-5,-1,-5,1,0,3,-2,-6,1,-3,1
2025-04-22 16:28:17.90,open,1,0,3,2,3,2,2,2,-1,3,2,1,0,0,2,-1,1,1,0,-3,1,0,0,-1,-2,0,-1,1,-3,0,2,0,-1,4,-2,-2,-3,-3,-2,-2,0,1,-2,-2,-5,-1,-4,0
2025-04-22 16:28:17.91,open,1,5,5,5,5,5,5,10,18,3,4,2,2,3,9,0,3,3,1,5,11,2,3,5,0,0,2,0,-4,4,5,-2,2,3,-1,-1,-2,0,0,-1,1,2,4,-5,-4,0,-2,4
2025-04-22 16:28:17.92,open,2,12,14,4,9,6,6,6,14,1,6,-3,4,0,6,0,3,-1,4,1,4,4,0,3,-1,-2,3,-2,-4,2,2,1,-1,4,0,-7,-3,-4,-2,-3,0,1,-1,-3,-6,-4,0,1
2025-04-22 16:28:17.93,open,2,8,10,5,8,3,8,0,3,-1,6,-2,-1,1,1,-1,-1,2,-1,0,0,1,-2,-2,0,1,0,-2,-6,1,-3,1,-1,3,0,-7,-5,-4,-4,-3,-2,3,1,-7,-5,-4,-6,0
2025-04-22 16:28:17.94,open,0,5,7,3,4,4,6,11,13,2,4,-1,4,0,10,-1,5,1,3,1,9,3,-1,5,-2,-1,3,-5,-2,0,2,1,-1,5,1,-7,-2,-6,-3,-7,0,2,-1,-6,-5,-5,-5,2
2025-04-22 16:28:17.95,open,1,12,11,8,7,6,9,11,12,1,6,0,2,0,3,-2,3,3,2,1,8,1,-3,2,-3,1,-2,-1,-6,0,2,-2,2,3,-1,-5,-2,-6,-2,-5,-1,3,1,-6,-3,-4,-6,0
2025-04-22 16:28:17.96,open,2,1,6,1,5,0,6,2,1,-2,3,-5,3,-1,-1,-4,3,0,0,-3,0,1,-4,0,-4,-1,2,-5,-4,-2,-2,1,-2,5,0,-3,-2,-7,-7,-5,-2,5,1,-3,-6,-6,-3,0
2025-04-22 16:28:17.97,open,2,-2,7,-2,4,3,2,5,12,-1,4,-4,3,-3,6,-3,3,2,-1,2,4,-1,-5,-4,-5,0,2,-2,-3,-2,-1,1,-1,5,1,-2,-1,-8,-3,-5,-1,4,3,-3,-6,-2,-3,1
2025-04-22 16:28:18.16,open,1,1,4,2,6,-1,8,11,16,2,5,0,4,-1,6,-2,1,4,2,2,12,1,-3,-1,1,-1,4,-4,-1,-3,2,-1,2,3,2,-1,-3,-3,-4,-3,-1,6,4,-3,-5,0,-4,1
2025-04-22 16:28:18.17,open,4,6,10,3,6,2,6,0,6,0,4,-1,-1,0,-1,0,0,0,1,-1,1,1,-4,-1,-3,0,2,-3,-1,-4,2,-2,1,0,3,-3,-3,-3,-3,-2,0,1,5,-3,-5,-4,-1,1
2025-04-22 16:28:18.18,open,-2,-2,0,0,-1,0,1,3,5,-2,3,-5,2,-5,4,0,3,-3,0,-1,-3,2,-2,-4,-1,1,-1,-2,-3,-4,1,-2,-1,2,-2,-2,-4,-5,-4,-5,0,0,-1,-3,-4,-5,-6,1
2025-04-22 16:28:18.19,open,2,11,9,9,7,4,11,17,18,3,6,-2,6,0,10,1,5,0,3,3,11,2,-2,1,0,1,0,-1,-3,0,4,2,-2,5,-2,-3,-2,-6,-6,-4,-1,0,1,-7,-7,-1,-5,1
2025-04-22 16:28:18.20,open,3,7,13,3,7,7,7,4,7,3,3,2,1,2,2,-1,3,1,0,2,2,1,0,3,-1,-2,3,-3,-3,0,-1,1,0,5,-5,-3,-2,-5,-3,-2,-2,2,-1,-7,-6,-4,-3,1
2025-04-22 16:28:18.21,open,2,3,5,2,5,-2,6,1,3,1,4,-4,2,0,1,-1,-1,1,-1,1,-2,0,-1,0,-2,-2,-1,-1,-4,-2,1,0,0,2,-5,-6,-3,-6,-2,-5,0,-1,1,-8,-5,-1,-5,0
2025-04-22 16:28:18.22,open,4,8,11,7,6,8,8,16,21,3,6,2,2,3,8,-1,3,3,2,4,13,2,2,3,-2,0,-2,-2,-3,-2,5,0,0,0,-4,-8,-7,-6,-4,-4,-2,-1,-1,-10,-6,-2,-4,1
2025-04-22 16:28:18.23,open,2,7,7,6,5,6,8,7,6,3,4,-2,4,-1,1,-3,3,-2,-2,1,2,0,-3,3,-2,-1,-3,-4,-3,-5,-1,0,-2,4,-3,-9,-3,-6,-3,-4,-2,1,0,-9,-7,-4,-6,1
2025-04-22 16:28:18.24,open,2,0,8,-1,6,0,7,3,2,2,4,-4,2,-3,4,-3,3,-2,-2,-1,-2,1,-5,-4,-1,0,-1,-4,-5,-4,1,0,2,0,-3,-7,-6,-5,-4,-3,0,1,-3,-6,-6,-6,-5,0
2025-04-22 16:28:18.25,open,-1,0,2,1,2,3,4,12,16,2,1,1,1,2,5,-3,1,-2,-4,3,7,2,-3,2,-2,-2,0,-5,-7,-2,2,1,-2,4,-4,-7,-4,-6,-5,-5,-3,3,0,-9,-7,-2,-6,1
2025-04-22 16:28:18.26,open,4,7,14,6,8,6,6,6,12,2,3,0,3,-3,5,-3,0,-1,-3,2,4,-1,-1,-1,1,-1,0,-5,-8,-2,-1,1,-2,4,-4,-7,-4,-10,-4,-10,0,-1,0,-7,-8,-4,-2,1
2025-04-22 16:28:18.27,open,1,-3,4,-1,4,2,3,2,-1,0,1,-2,-1,-1,-1,-4,-1,-3,-4,-3,-3,-3,-3,-5,-1,-1,-3,-2,-8,-3,-2,2,-2,3,-4,-8,-6,-6,-6,-6,1,0,-5,-7,-8,-7,-4,0
2025-04-22 16:28:18.28,open,1,1,6,2,5,2,5,11,13,1,2,1,1,1,7,-3,4,-2,-1,3,6,2,-1,-1,0,-2,-3,-4,-6,-4,4,-2,0,0,-2,-7,-4,-5,-6,-4,-1,3,0,-7,-5,-5,-6,2
2025-04-22 16:28:18.29,open,2,5,6,4,5,4,4,6,12,2,2,2,1,1,3,-3,1,-1,-3,2,4,-1,-2,-4,-1,1,-3,-3,-7,-5,0,1,-3,4,-4,-8,-4,-9,-4,-9,0,1,-1,-7,-6,-4,-6,1
2025-04-22 16:28:18.30,open,3,9,11,5,4,6,5,2,0,1,1,0,1,-4,3,-1,1,-6,0,-2,-3,0,-6,-4,-3,-2,-1,-6,-3,-4,-2,0,-2,0,-3,-8,-5,-6,-7,-5,-3,3,0,-8,-9,-2,-4,1
2025-04-22 16:28:18.31,open,1,3,7,0,5,1,7,8,16,-1,5,-3,3,-3,6,-3,3,-2,-1,2,5,3,-3,1,-3,-2,0,-5,-2,-4,3,0,-1,4,-4,-6,-2,-7,-6,-5,-3,2,-1,-9,-5,-6,-3,1
2025-04-22 16:28:18.32,open,3,4,10,2,8,1,8,8,12,-2,4,1,0,1,3,-3,0,-1,-1,3,5,0,-3,-3,-1,0,-2,0,-4,-3,0,-1,0,1,-2,-5,-4,-5,-6,-3,-1,3,1,-8,-3,-4,-6,1
2025-04-22 16:28:18.33,open,2,4,10,3,6,2,7,3,1,2,3,-4,2,-3,2,-3,0,-2,-3,2,-3,1,-3,-5,0,-1,2,-3,-2,-3,-1,-2,2,2,-1,-4,-5,-5,-5,-5,-2,3,4,-7,-4,-2,-7,1
2025-04-22 16:28:18.34,open,1,-2,7,-1,4,-1,6,8,10,0,1,0,-1,-1,3,-2,-3,-3,0,0,1,0,-3,-1,-2,-1,0,0,-6,-6,1,-1,2,4,-3,-3,-3,-9,-4,-9,1,3,0,-3,-6,-5,-5,0
2025-04-22 16:28:18.35,open,3,7,16,6,10,8,12,16,17,0,8,1,1,2,5,-3,-1,1,1,5,11,1,-1,3,-1,1,-1,1,-4,-4,4,-2,2,0,2,-6,-5,-5,-7,-6,-1,5,1,-5,-4,-5,-5,1
2025-04-22 16:28:18.36,open,2,6,6,5,3,4,5,4,2,2,1,2,0,0,2,0,1,-5,2,1,-2,0,-3,-1,-4,-1,-1,-2,-3,-6,0,-2,2,2,-2,-7,-3,-8,-10,-9,-1,5,1,-6,-8,-3,-6,1
