timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-22 15:44:18.68,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-22 15:44:18.69,open,3,12,13,12,11,11,5,6,10,1,5,-2,3,-3,4,2,5,0,0,5,2,0,4,1,2,1,-3,-2,3,-1,1,-2,1,-2,-2,3,-1,-1,-2,-2,-1,-2,0,-1,-5,1,-5,1
2025-04-22 15:44:18.70,open,8,17,11,13,6,14,6,7,10,3,1,3,0,0,2,1,2,0,4,1,2,1,4,3,1,-2,-1,1,2,3,1,-1,4,2,1,3,0,5,-2,4,2,-1,5,1,1,5,4,1
2025-04-22 15:44:18.71,open,1,4,-1,5,0,6,2,1,6,2,0,2,0,0,2,0,4,0,0,5,1,2,3,3,2,1,-1,0,1,3,1,-2,1,-4,1,-1,0,3,-1,3,0,-2,3,0,-2,1,-3,-1
2025-04-22 15:44:18.73,open,2,10,10,9,3,10,4,4,3,-3,0,-4,-1,-3,-3,-2,-1,-2,-2,2,0,-4,0,1,-3,1,-5,1,0,-2,1,-2,3,-4,-2,1,-3,-1,-2,-2,0,-2,2,-1,-3,1,-1,0
2025-04-22 15:44:18.74,open,32,34,29,27,22,27,17,16,13,8,5,5,4,0,8,2,10,0,6,6,3,3,6,7,9,1,0,2,0,3,3,0,1,3,-2,5,1,2,-1,2,1,-1,3,0,-2,3,-1,3
2025-04-22 15:44:18.75,open,1,4,5,3,2,5,5,-1,6,-3,2,-1,-1,-2,-1,0,2,-2,2,1,0,1,3,0,2,0,-3,0,0,-1,2,-1,2,-2,-3,1,0,-2,-1,-2,1,-1,2,1,-2,1,-1,0
2025-04-22 15:44:18.76,open,0,-9,-4,-4,-6,-3,0,0,-1,-1,-3,-2,-3,-2,-1,0,0,-2,-2,-1,1,-3,2,2,-1,-1,-4,-4,1,-2,0,-1,0,-1,-2,-1,-4,2,-3,-1,0,0,0,1,-2,0,-1,-3
2025-04-22 15:44:18.77,open,22,27,21,20,17,17,15,10,11,2,5,-1,3,-1,3,2,4,1,2,5,4,1,4,4,5,0,-1,-1,1,3,2,-1,3,1,1,1,-1,4,-1,1,2,-1,2,1,-3,3,-1,5
2025-04-22 15:44:18.78,open,-1,6,1,5,-1,6,3,3,4,0,3,-4,2,-4,3,3,2,-2,4,2,0,0,1,3,-1,1,-4,2,0,-1,2,-1,1,-2,-1,-2,1,0,-4,0,2,-1,1,1,-2,1,0,0
2025-04-22 15:44:18.79,open,-1,-7,-10,-7,-6,-6,-1,-3,0,-4,2,-6,-1,-6,2,0,-1,-3,-2,1,-2,-1,-1,2,-1,-1,-2,-3,-2,-1,1,-4,3,-3,-4,1,-4,2,-3,2,-2,-1,1,-2,-5,1,-5,-1
2025-04-22 15:44:18.80,open,27,31,25,25,19,22,15,15,12,8,4,4,2,-2,6,3,3,1,3,4,5,0,4,3,1,0,-2,0,0,0,2,-2,4,-3,1,0,-2,3,-3,3,-2,3,0,2,1,0,-1,3
2025-04-22 15:44:18.82,open,-1,9,6,7,3,5,6,1,7,-1,4,-2,1,-2,5,3,6,-3,4,2,2,0,3,3,0,1,0,1,2,0,2,-2,4,-2,-1,5,-2,4,-3,3,-1,0,4,1,-2,3,-1,0
2025-04-22 15:44:18.83,open,-1,2,0,1,-1,0,3,-1,5,-4,2,-2,-3,-3,-1,0,-1,-2,0,-1,-2,-1,-1,1,-3,0,-2,-1,-2,0,1,-4,4,-3,-3,3,-2,1,-1,-1,0,-2,2,0,-4,1,-4,-1
2025-04-22 15:44:18.84,open,8,20,13,18,11,15,10,9,11,2,6,1,0,0,3,3,3,1,3,1,4,-1,5,2,3,1,-3,2,1,-1,3,-2,5,-2,-2,4,1,2,0,-1,4,-1,4,0,-3,3,-1,1
2025-04-22 15:44:18.85,open,7,17,9,13,6,10,4,7,5,3,1,2,-1,-1,1,0,5,0,3,5,1,1,6,1,2,0,-1,0,0,0,1,1,1,-2,1,0,0,4,-3,2,-2,3,0,2,-2,4,0,2
2025-04-22 15:44:18.86,open,-3,-1,-4,0,-6,1,-4,-2,1,0,3,-2,-1,-3,0,0,0,0,2,1,3,-4,3,-2,1,1,-3,2,0,1,3,-1,0,-2,0,-1,1,-1,0,0,-1,2,1,1,-2,0,-1,0
2025-04-22 15:44:18.87,open,4,18,10,18,8,13,7,11,8,5,4,2,0,-2,1,1,3,-3,5,2,2,0,0,2,-1,1,-1,0,1,1,4,-2,3,0,2,3,0,3,0,-1,1,-1,0,-2,1,1,-4,2
2025-04-22 15:44:18.88,open,3,12,11,9,9,8,4,6,7,0,6,0,3,-3,-2,-1,5,0,3,4,3,1,2,4,2,0,-3,3,0,1,3,-4,3,-2,-2,5,0,4,0,0,2,1,2,2,-2,4,-3,0
2025-04-22 15:44:18.90,open,-1,-1,0,-2,-1,0,-7,-5,4,-1,2,-1,1,-6,1,0,3,-4,4,4,-1,0,3,1,1,-1,0,1,0,-2,0,-2,4,-3,-3,3,1,1,0,0,-1,2,2,-2,1,3,-3,-1
2025-04-22 15:44:18.91,open,1,12,6,14,6,9,3,7,6,3,2,3,0,-3,2,1,3,-2,4,4,1,-2,1,-2,0,1,-3,4,2,-2,4,-3,3,0,-2,4,-3,3,-3,0,-4,1,-1,1,0,0,-1,1
2025-04-22 15:44:18.92,open,8,16,11,16,8,12,3,7,7,4,4,4,3,-2,2,3,5,-1,5,5,0,2,4,3,4,0,2,3,2,4,4,-2,7,0,3,5,2,3,3,4,4,0,6,1,1,6,3,1
2025-04-22 15:44:18.94,open,1,4,4,3,3,4,-5,0,3,2,1,2,2,-4,3,-1,5,-2,4,5,1,0,3,-3,1,1,-1,0,3,-1,0,-2,1,-4,1,4,-2,4,-1,4,-2,3,4,0,0,3,-1,0
2025-04-22 15:44:18.95,open,0,7,1,7,-1,3,-6,0,0,0,-1,0,-3,-3,-2,-1,-2,0,2,1,-1,1,0,-1,0,-1,-2,3,-1,2,0,0,0,0,-3,4,-3,4,-2,2,-3,3,3,-1,0,3,-1,1
2025-04-22 15:44:18.96,open,38,37,33,28,25,25,13,14,16,5,9,3,6,-2,6,2,6,0,8,6,3,1,4,1,5,-1,0,2,3,0,4,-2,6,0,-2,5,0,1,1,0,0,3,2,0,1,3,-1,6
2025-04-22 15:44:18.97,open,1,0,4,2,3,2,0,2,4,-1,2,0,1,-2,-2,0,3,1,3,2,1,1,0,1,1,0,1,0,1,1,2,-4,2,0,-2,4,1,3,-3,1,-2,2,3,-1,-2,5,-2,-1
2025-04-22 15:44:18.98,open,-3,-6,-6,0,-5,-5,-2,-1,3,0,1,2,0,-7,1,2,2,-2,0,4,0,-4,3,-2,1,0,-1,-2,2,-1,-1,-1,-1,-1,-4,3,-1,1,-3,2,-4,2,-1,0,-1,0,-3,-1
2025-04-22 15:44:18.99,open,20,25,17,22,14,17,7,8,12,4,4,4,1,-1,2,1,5,3,3,7,3,0,7,3,8,1,1,3,1,1,3,-1,5,0,-1,4,1,2,-1,0,0,2,2,2,-2,6,0,4
2025-04-22 15:44:19.00,open,2,5,8,5,6,5,3,1,8,-1,5,2,0,-1,1,0,4,0,2,6,2,-3,5,2,2,1,-1,3,1,0,2,-1,1,1,-1,3,1,2,-1,0,-2,0,3,-2,-4,3,-4,0
2025-04-22 15:44:19.01,open,-3,-7,-10,-3,-9,0,-7,-5,3,-4,2,-2,0,-6,2,2,1,-5,3,1,0,-1,-1,-1,-2,1,-5,3,0,-2,2,-3,0,1,-3,3,0,2,-3,2,-3,2,2,-1,-3,3,-4,0
2025-04-22 15:44:19.02,open,26,30,22,25,18,18,15,13,14,3,7,2,6,-3,6,0,7,1,5,6,3,-1,4,3,1,2,-3,4,1,3,5,-2,1,2,-1,4,2,1,0,0,3,0,4,2,-1,4,-2,5
2025-04-22 15:44:19.03,open,1,6,8,6,6,5,6,3,5,1,1,3,0,-2,3,1,4,-1,2,4,2,1,5,5,3,-2,0,0,0,3,3,-4,4,-3,1,0,-3,3,-3,3,0,1,4,0,-3,3,-4,0
2025-04-22 15:44:19.05,open,-1,4,3,2,1,2,2,2,0,0,-1,1,-1,-3,0,0,-1,-3,-2,2,1,-5,3,0,-1,1,-3,-2,0,0,-1,0,0,-3,-1,0,0,1,-3,0,-3,3,0,1,-1,-1,-1,0
2025-04-22 15:44:19.06,open,11,15,14,18,10,17,9,11,9,4,2,3,2,-1,3,3,3,0,1,4,3,-1,3,4,0,-1,-2,-3,2,-1,1,-3,5,-3,-3,1,1,-1,-1,0,0,0,2,2,-3,3,-1,2
2025-04-22 15:44:19.07,open,7,15,8,13,7,11,6,8,5,3,3,0,1,-1,1,0,4,-1,0,4,2,-3,5,1,4,0,-1,-1,1,-1,0,-1,0,0,-3,3,-1,-1,0,2,2,0,1,-2,1,3,-1,2
2025-04-22 15:44:19.08,open,0,-9,-5,-4,-6,0,-5,-4,4,-2,-2,0,-1,-5,2,1,3,-4,1,1,0,-1,1,1,1,2,-5,1,-1,-3,2,-2,1,-2,-4,0,-1,0,-3,0,-1,2,-1,-1,0,1,-5,-2
2025-04-22 15:44:19.09,open,4,11,11,10,8,12,4,7,7,4,2,1,2,-5,4,2,4,-4,3,1,2,2,1,4,1,-1,-2,-3,1,0,2,-1,1,-5,-1,0,-4,3,-3,2,-3,3,0,-4,-3,2,-3,2
2025-04-22 15:44:19.10,open,3,10,8,11,5,11,3,5,7,3,1,2,1,-2,6,1,6,-1,0,6,2,2,4,6,4,0,0,1,1,3,4,-3,5,0,-1,1,1,2,-3,2,0,-1,4,-1,0,0,-2,1
