timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-22 15:47:59.63,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-22 15:47:59.64,open,1,1,3,5,-1,5,5,1,4,2,4,3,-2,4,4,1,3,1,-3,5,0,1,1,4,0,0,1,1,2,2,-1,-2,1,0,2,2,3,3,0,4,-2,1,0,2,2,-1,1,0
2025-04-22 15:47:59.66,open,0,-7,-2,-1,-5,-2,-1,-2,-3,-3,-2,-4,-3,-3,0,0,1,-3,-6,-2,-3,0,-1,1,-4,-2,2,-5,0,2,-1,0,-1,-3,4,1,1,-1,-3,0,-3,-1,2,0,1,-3,2,-2
2025-04-22 15:47:59.67,open,1,-1,0,2,-4,-2,1,-3,2,-2,-1,0,-1,-4,2,1,1,-4,-2,2,-2,0,1,1,-2,0,1,-4,1,2,1,0,0,-1,0,-2,-1,-3,-1,0,-6,-6,-2,-1,-3,-1,1,-2
2025-04-22 15:47:59.68,open,1,8,3,10,0,2,5,4,1,-3,3,-1,-2,1,-2,2,0,-3,-5,-2,-1,0,3,4,1,-1,3,0,2,2,0,3,2,-2,6,2,2,3,4,5,2,1,2,2,4,2,11,0
2025-04-22 15:47:59.69,open,1,-2,1,2,-5,0,-1,0,-1,-2,-2,0,-4,0,0,-1,0,-4,-8,0,-5,-3,-3,-2,-4,-1,1,-6,-2,0,-1,-1,-1,0,3,-2,0,3,0,3,0,0,1,-1,0,2,4,-1
2025-04-22 15:47:59.70,open,0,-6,-7,-7,-8,-7,-9,-8,-7,-11,-8,-4,-10,-7,-2,-1,-2,-9,-10,-4,-7,-8,-2,-5,-3,-1,-5,-6,-2,-1,-4,0,-4,-6,1,-3,-2,-2,1,1,-2,-5,-4,-1,0,-2,-1,0
2025-04-22 15:47:59.71,open,11,10,12,11,7,8,5,7,2,2,4,4,-2,3,2,2,0,-3,-7,1,-5,-4,0,0,0,1,-1,-9,-2,-1,0,0,-2,-2,2,-4,-1,0,0,1,-2,0,1,-3,-1,1,3,4
2025-04-22 15:47:59.72,open,0,-1,0,1,-4,-4,-1,-2,-1,-1,-2,0,-3,-3,-2,-1,-2,-4,-9,0,-7,-4,1,0,-3,-1,-2,-10,-2,-2,-4,2,-4,-4,0,-5,-2,-5,-3,1,-5,-2,-5,-3,-1,-4,-1,0
2025-04-22 15:47:59.73,open,-1,-5,-7,-1,-7,-4,-6,-3,-3,-7,-5,-1,-8,-2,-1,0,-5,-6,-9,-4,-7,-5,-2,-3,-5,0,-3,-11,-7,-6,-4,1,-7,-7,-3,-10,-6,-5,-7,-3,-5,-7,-5,-8,-6,-9,-4,-2
2025-04-22 15:47:59.74,open,3,5,1,9,0,6,6,6,3,-2,5,1,2,2,5,1,1,0,-5,3,0,-1,4,2,1,1,-2,-5,0,0,0,0,-2,-3,-2,-4,-2,-4,-5,4,-2,-6,-3,-4,-3,-6,1,0
2025-04-22 15:47:59.76,open,0,-6,1,1,-6,2,1,0,-2,0,-1,3,-2,0,2,0,-3,-3,-4,-2,-5,-3,3,1,-2,0,-2,-6,0,0,0,-1,-2,-3,-2,-7,0,-4,-6,4,-3,-7,-4,-4,-2,-5,-2,-1
2025-04-22 15:47:59.77,open,0,-7,-4,-2,-9,-1,-2,-4,-3,-7,-1,-2,-5,-1,-1,1,-1,-7,-8,1,-7,-5,0,-2,-3,0,2,-4,-4,-3,1,-1,-2,-2,-2,-7,-5,-5,-6,0,-4,-6,-4,-8,-6,-9,-5,-4
2025-04-22 15:47:59.78,open,4,6,8,8,3,7,7,6,4,-1,1,5,-1,1,1,0,-3,-3,-5,2,-4,-4,2,0,-2,-1,-1,-5,0,0,-1,2,-3,-4,-3,-3,-2,-5,-7,4,-4,-5,-1,-7,-6,-6,-9,4
2025-04-22 15:47:59.79,open,1,4,1,6,-1,0,5,1,1,-2,-1,4,-3,1,4,0,1,-3,-7,3,-3,0,2,0,-3,-1,1,-6,-1,0,-4,0,-3,-3,-1,-6,-4,-7,-5,0,-4,-3,-4,-5,-4,-6,-1,-1
2025-04-22 15:47:59.80,open,-2,-1,-4,2,-5,-2,-3,-6,-1,-7,-6,-1,-6,0,0,1,-3,-8,-7,-2,-7,-5,-2,0,-4,0,-5,-5,-3,-4,-4,-2,-3,-5,-6,-5,-4,-7,-5,-1,-4,-3,-5,-7,-6,-7,-5,-1
2025-04-22 15:47:59.81,open,1,-3,1,3,-4,0,5,0,2,-4,1,1,-4,-1,3,0,-1,-2,-5,0,-5,-5,1,0,-4,1,0,-6,-4,-4,0,0,-1,-1,-3,-4,-2,-7,-6,4,-2,-3,-5,-4,-3,-6,-3,-1
2025-04-22 15:47:59.82,open,2,2,5,5,2,4,5,3,3,0,1,1,-1,1,5,3,1,0,-3,3,-1,-2,2,4,-1,0,2,-4,-1,1,1,-1,1,0,-2,-1,0,-3,-5,5,-2,-1,1,-4,-4,-3,1,1
2025-04-22 15:47:59.84,open,0,-4,-4,-2,-5,0,1,-3,1,-3,-3,0,-3,0,0,2,0,-3,-5,6,-2,-2,1,0,-2,1,2,-2,-1,2,0,0,0,0,1,-1,-3,-4,-4,2,-4,0,-5,-3,-3,-6,-5,-2
2025-04-22 15:47:59.85,open,-1,0,-2,5,-3,0,4,-2,3,-2,-1,4,-2,-1,4,3,3,1,0,4,-2,2,4,6,-3,-1,6,0,3,4,-1,2,0,1,7,1,-2,16,2,9,-3,1,0,0,-1,-4,1,1
2025-04-22 15:47:59.86,open,1,5,3,3,2,2,7,6,2,0,5,4,-2,2,6,3,3,6,1,4,3,5,4,7,-2,-2,6,3,2,6,3,3,0,3,4,5,2,0,4,9,-2,6,0,0,0,0,0,-1
2025-04-22 15:47:59.87,open,-1,-4,-5,0,-6,-4,1,-6,0,-4,-3,0,-5,1,1,6,0,-2,3,4,-2,0,1,3,-2,0,5,4,3,6,2,0,1,6,5,5,2,4,2,12,-2,4,4,3,1,1,2,-3
2025-04-22 15:47:59.88,open,1,-3,-1,3,-5,1,1,-2,0,-3,3,0,-1,0,3,3,3,4,2,5,1,5,6,6,-2,1,7,2,3,7,3,0,1,4,9,3,0,6,5,10,-2,3,0,2,0,2,3,-1
2025-04-22 15:47:59.89,open,3,2,3,9,1,2,7,1,4,0,3,4,-2,3,2,5,1,6,3,7,4,5,4,9,0,0,7,8,4,10,7,3,5,7,9,5,6,9,9,13,3,7,6,11,5,8,17,0
2025-04-22 15:47:59.90,open,-1,0,-3,3,-4,2,0,2,-2,0,1,1,-1,2,2,5,1,4,2,4,4,3,5,6,-5,0,6,4,5,7,2,1,2,3,10,5,2,8,7,12,0,7,3,5,4,3,8,-1
2025-04-22 15:47:59.91,open,-3,-6,-9,-2,-11,-3,-5,-8,-2,-8,-4,-2,-4,-2,-2,5,1,-2,-1,7,-1,3,5,4,-5,-1,6,2,-1,4,4,0,1,5,5,6,4,4,6,12,-4,6,-1,7,3,6,4,-2
2025-04-22 15:47:59.92,open,13,15,14,17,10,7,9,6,8,2,4,7,2,6,7,5,5,6,3,10,5,4,8,8,0,2,6,4,6,7,2,2,0,8,8,5,3,9,8,16,0,6,2,4,7,9,11,6
2025-04-22 15:47:59.94,open,0,-3,-3,5,-4,4,2,1,0,-2,-2,4,-4,1,3,3,3,1,0,8,3,3,4,7,-4,-1,7,3,2,8,2,-1,1,2,8,5,2,4,5,14,-2,3,3,5,3,6,6,-1
2025-04-22 15:47:59.95,open,1,-4,-3,-2,-5,-4,0,-4,-2,-3,-3,3,-5,0,3,2,3,-1,-2,6,-1,4,3,4,-3,-1,6,2,1,7,2,0,1,2,4,4,2,4,6,13,-5,2,-2,1,2,6,3,-2
2025-04-22 15:47:59.96,open,3,1,6,6,1,4,7,5,3,-1,3,7,-1,5,4,7,7,5,3,11,6,7,7,9,5,0,5,8,3,7,3,3,-1,7,5,7,5,4,8,16,-1,5,2,4,4,5,5,2
2025-04-22 15:47:59.97,open,0,1,-2,5,-2,0,4,-2,0,-2,1,0,-1,-1,3,3,0,2,2,9,1,2,3,7,-4,-1,7,5,1,3,4,2,0,4,6,5,2,6,9,13,-1,6,-1,2,4,6,5,-2
2025-04-22 15:47:59.98,open,0,-9,-6,-2,-9,-3,-2,-4,-3,-5,-3,-3,-3,-3,0,1,2,-1,-2,8,0,2,2,4,-3,1,3,4,3,6,3,2,-2,4,5,1,2,3,4,15,-6,1,-1,0,1,3,3,-4
