timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-22 16:02:51.75,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-22 16:02:51.76,open,5,24,16,17,14,7,13,13,21,1,5,1,4,0,6,0,4,0,3,0,1,3,-2,4,-1,-1,6,-4,4,2,2,-2,1,-1,3,-2,-1,2,-3,2,-3,4,-2,2,1,-1,0,2
2025-04-22 16:02:51.77,open,1,9,11,6,10,1,6,4,-5,-1,1,-1,1,1,-1,-1,0,1,1,0,3,-2,0,2,0,-1,5,-2,0,3,-3,1,1,-1,3,0,-2,2,-3,3,-2,4,0,2,4,0,-3,1
2025-04-22 16:02:51.78,open,-4,-6,-7,-1,-1,-1,-3,-4,-4,-3,2,-1,0,0,3,0,1,-3,3,-2,0,-1,0,1,-4,1,1,-2,0,3,-2,-2,-2,1,1,-2,0,0,-2,0,1,1,1,1,0,3,-2,2
2025-04-22 16:02:51.80,open,0,9,8,9,7,4,4,6,20,1,3,1,3,0,5,2,1,-1,4,-1,1,2,-2,1,1,-1,4,-2,1,3,2,-2,0,0,1,1,0,-2,0,1,0,2,-1,1,3,0,-4,1
2025-04-22 16:02:51.81,open,3,11,13,8,11,2,7,7,-5,3,2,-1,2,1,1,0,0,-2,4,-1,1,3,-2,4,-2,-2,6,-3,4,2,-1,0,0,1,3,3,-1,3,1,2,1,2,-1,3,2,3,-1,1
2025-04-22 16:02:51.82,open,-1,0,-1,0,1,0,-2,-1,-11,1,-1,2,0,-2,3,2,-1,-3,4,0,1,-1,-2,1,0,0,5,-1,2,2,-3,0,-2,3,4,1,1,0,1,0,3,2,3,2,1,3,-3,1
2025-04-22 16:02:51.83,open,1,6,4,6,6,0,5,7,17,-3,4,-1,2,1,2,0,0,0,1,0,4,0,-2,3,-2,-2,6,-1,1,4,2,1,-3,1,5,2,0,4,-1,3,-1,1,4,1,3,5,-3,1
2025-04-22 16:02:51.84,open,2,10,10,8,6,5,2,3,1,-3,3,-1,1,0,2,-1,1,-2,4,-2,1,3,-2,4,-4,-2,4,0,3,1,1,-3,1,2,5,3,0,2,0,4,3,5,3,4,1,4,-1,2
2025-04-22 16:02:51.85,open,2,4,7,1,7,-2,2,2,-10,-4,2,1,-2,3,1,1,-3,0,2,-1,1,0,0,1,-1,-1,6,-3,0,2,-5,1,-4,4,3,4,1,-1,0,2,-1,5,1,3,4,4,-4,1
2025-04-22 16:02:51.86,open,0,2,5,1,2,2,0,3,18,-2,2,-1,1,3,-1,0,-3,0,1,-2,3,1,-4,2,-4,-2,4,-6,0,2,0,0,-3,1,5,-1,2,-1,0,1,1,1,4,4,2,0,-5,1
2025-04-22 16:02:51.88,open,2,18,16,11,9,8,5,7,2,2,-1,2,-1,1,1,2,-4,0,1,-3,3,-2,-1,1,-5,0,0,-2,2,0,-2,1,-4,2,4,3,2,-1,-3,1,1,3,2,4,1,3,-4,2
2025-04-22 16:02:51.89,open,0,0,3,-1,5,-2,2,-2,-12,-4,0,-2,-1,0,0,1,-6,-4,-2,-4,3,-2,-2,1,-2,0,1,-4,0,1,-6,1,-4,0,3,0,1,-2,-1,-1,1,-1,3,2,0,2,-3,0
2025-04-22 16:02:51.90,open,1,1,4,-1,7,-1,3,0,14,-4,2,-3,0,1,0,1,-6,-4,-1,-7,-2,0,-6,0,-6,-1,1,-7,2,-3,0,1,-4,-4,4,-3,0,-2,-5,0,-3,0,1,-2,2,-1,-6,1
2025-04-22 16:02:51.91,open,1,10,15,9,13,7,5,11,10,-1,4,-2,4,1,0,1,-4,-3,1,-7,2,-1,-3,1,-4,0,0,-6,2,-1,2,-2,-2,-4,5,0,-2,2,-5,2,-1,-1,1,-1,1,3,-3,1
2025-04-22 16:02:51.92,open,1,3,8,2,6,0,1,1,-13,0,0,-4,-1,-2,2,-1,-3,-5,-1,-5,-2,1,-4,0,-2,0,-1,-3,1,-1,-3,-2,-2,-3,4,1,1,-1,-3,1,-3,1,1,1,2,2,-3,1
