timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-22 16:17:13.20,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-22 16:17:13.21,open,1,12,7,14,4,5,3,3,-20,3,-2,1,-1,-1,-1,1,-1,1,1,-2,-4,-3,3,-2,4,0,2,0,1,2,-2,2,-3,1,2,0,2,-1,-2,-3,0,1,-3,3,0,0,2,1
2025-04-22 16:17:13.22,open,0,3,0,7,1,1,-2,-7,-28,1,-4,-2,-1,-2,1,-2,0,-3,-2,-5,-11,-3,0,-2,-1,-2,3,-1,3,3,-3,3,-4,-3,3,1,0,0,1,-1,2,-1,-1,4,-4,1,1,0
2025-04-22 16:17:13.23,open,1,-2,1,4,-1,1,-1,1,-3,-1,1,-2,-2,0,0,1,-1,0,0,-2,1,-2,0,1,0,-2,5,-2,0,3,2,0,0,-2,-1,1,-1,-1,0,-1,2,-2,-1,2,-2,-1,1,-1
2025-04-22 16:17:13.24,open,0,6,1,9,-1,4,-1,-1,-16,0,1,0,-1,0,1,1,-3,2,-1,0,-3,-1,1,-1,-1,-2,5,-4,2,3,-1,4,-4,-2,2,-1,3,-1,0,0,2,-1,-4,4,-1,0,3,1
2025-04-22 16:17:13.25,open,1,0,2,8,-1,5,0,-7,-28,-1,-3,-4,-1,-4,0,-4,-1,-4,-3,-2,-13,-4,-1,-3,0,-2,3,-3,1,3,-2,1,-1,-2,-1,-1,0,-1,-3,-2,-1,1,-5,-1,0,0,0,-1
2025-04-22 16:17:13.26,open,1,-3,1,3,0,1,-2,-1,-6,1,-2,-1,0,-1,1,-3,0,-3,1,-1,-2,-2,1,1,0,-2,3,-2,0,4,1,-1,-1,-2,-2,2,0,1,2,-4,2,-1,-4,3,-2,3,2,-1
2025-04-22 16:17:13.27,open,2,7,7,6,5,3,2,1,-13,1,1,0,0,-2,2,-3,2,0,-1,0,-2,-1,0,-1,1,0,3,1,0,4,2,0,0,0,0,4,3,2,0,-2,1,1,-2,0,0,2,2,0
2025-04-22 16:17:13.28,open,1,5,0,9,-1,6,-3,-6,-32,2,-4,1,0,-3,-2,-3,0,-2,-4,1,-12,0,3,0,3,-2,5,-1,0,2,0,0,0,-3,3,1,1,1,0,0,2,0,-5,4,0,2,-1,-1
2025-04-22 16:17:13.29,open,1,-2,3,4,1,1,0,-3,-9,0,0,-2,1,-2,0,1,0,-3,-3,-1,-5,-5,3,-2,3,0,1,-1,0,1,1,0,-1,-2,-1,1,1,-4,2,-4,0,1,-2,1,0,1,1,-1
2025-04-22 16:17:13.30,open,2,12,14,15,11,10,7,9,-5,2,3,0,0,1,2,0,2,1,0,2,0,-3,4,0,6,-1,2,0,1,1,4,2,-2,1,3,0,4,3,-2,-2,0,2,-4,4,1,4,0,-1
2025-04-22 16:17:13.31,open,2,3,5,6,2,5,-2,-5,-27,3,-2,1,-1,-4,1,0,-1,-2,1,0,-11,-2,1,-1,4,0,5,-3,3,2,-1,0,0,0,-1,3,1,-1,2,-2,2,1,-4,6,0,0,4,0
