timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-22 16:21:52.47,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-22 16:21:52.48,open,-5,-20,-16,-12,-14,-8,-7,-1,1,-7,1,-5,0,0,-3,-2,-1,1,2,-2,2,-1,1,0,-1,1,2,-1,4,3,-3,1,0,-1,1,1,1,2,1,1,0,0,-1,-2,0,2,-2,-3
2025-04-22 16:21:52.49,open,0,4,3,5,-2,2,2,12,27,2,2,-2,3,1,2,-2,1,5,3,4,12,2,1,3,0,2,3,-4,2,3,-1,1,-2,3,2,-1,1,3,1,1,2,1,-1,1,-1,1,1,-2
2025-04-22 16:21:52.50,open,-1,-1,-7,0,-3,-5,2,-1,2,-4,3,-2,-1,3,1,-1,1,2,3,0,1,4,0,1,3,0,4,0,5,1,-3,2,-1,-1,2,0,2,-2,2,-1,-1,4,-3,-2,1,2,-1,-2
2025-04-22 16:21:52.51,open,-4,-2,-7,-4,-5,-5,1,-1,0,-4,2,-3,1,0,-2,-3,0,0,2,-2,2,1,1,1,-3,1,5,0,2,2,-1,0,1,1,1,4,0,2,0,-3,1,4,-2,0,-1,2,-1,-3
2025-04-22 16:21:52.52,open,-1,4,1,2,0,1,5,13,34,0,2,2,3,1,3,-3,3,5,6,1,14,10,2,7,4,1,5,-3,6,2,0,2,0,1,1,4,0,4,1,0,3,1,-2,3,0,1,-2,-2
2025-04-22 16:21:52.53,open,-2,-1,-3,0,-2,-2,-3,3,2,-4,2,-2,1,3,-1,-1,1,1,3,2,4,1,-2,0,0,0,5,0,3,1,-3,2,-1,-1,2,1,0,3,-1,-1,1,2,-4,1,1,0,0,-2
2025-04-22 16:21:52.54,open,-2,-8,-7,-6,-6,-9,-2,-3,-7,-3,0,-1,1,-1,0,-3,3,0,3,0,-2,4,-3,2,0,-1,5,0,4,1,-2,2,0,1,-2,4,1,-2,3,-2,1,5,-2,0,1,0,0,-3
2025-04-22 16:21:52.55,open,-1,-8,-7,-1,-7,-2,-2,9,31,-4,3,-3,4,0,1,-2,5,3,3,5,12,1,2,2,2,1,4,-3,4,2,2,2,-2,3,2,4,-1,3,2,-3,3,1,-1,1,-1,3,-2,-2
2025-04-22 16:21:52.56,open,-1,-3,-8,0,-6,-1,-2,2,8,-3,4,-1,2,3,-1,1,3,3,4,2,7,2,-1,5,0,0,5,1,1,3,-2,1,0,1,3,3,1,1,-1,-1,1,5,-1,0,0,3,-1,-3
2025-04-22 16:21:52.57,open,-1,-9,-11,-4,-9,-7,0,-3,-6,-4,2,-1,-2,2,-1,0,2,1,4,-2,-1,3,0,3,3,1,3,1,2,2,-2,0,2,3,2,3,0,2,2,2,1,1,-3,1,2,2,-2,-2
2025-04-22 16:21:52.58,open,-4,-3,-7,-2,-8,-2,-2,10,23,-1,1,0,1,0,1,-3,4,1,5,2,9,1,0,3,0,1,3,1,4,1,3,0,1,0,2,3,1,3,3,-1,-1,4,-1,-1,0,3,-2,-2
2025-04-22 16:21:52.59,open,0,-1,-3,1,-1,-5,2,4,11,-4,3,-2,3,1,1,-1,1,0,7,1,5,3,0,3,3,0,6,0,4,0,4,-1,3,1,3,3,0,3,1,1,-1,6,-3,3,2,2,-1,-2
2025-04-22 16:21:52.60,open,-1,-2,-5,-5,-2,-6,1,-3,-5,-5,3,-3,-1,1,1,0,-1,2,4,-3,1,2,-2,-2,0,0,3,-1,2,0,-2,2,-3,3,1,-1,2,1,1,-1,3,0,0,1,1,1,-1,-2
2025-04-22 16:21:52.61,open,-2,-5,-7,-5,-8,-3,-3,9,20,-1,2,-3,2,1,2,-2,-1,2,3,-1,10,1,1,1,0,1,4,-4,3,1,-1,0,-2,2,2,0,1,2,3,-2,-1,4,-2,-1,3,0,0,-2
2025-04-22 16:21:52.62,open,0,0,-5,2,-3,0,0,7,12,0,3,-2,3,3,-1,-1,0,2,3,1,5,4,0,2,-1,0,-1,-1,4,0,-1,2,-3,2,-1,1,2,0,-1,-3,0,-1,-4,1,1,0,-3,-2
