timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-22 16:29:57.75,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-22 16:29:57.76,open,0,12,6,9,6,0,3,1,-3,1,2,0,2,1,-6,0,-1,0,1,-6,-2,0,0,-1,1,-1,-3,3,-2,-2,-1,0,-1,2,0,-2,0,3,0,2,0,-4,2,-1,-1,1,4,1
2025-04-22 16:29:57.77,open,-2,5,1,4,1,1,-1,-7,-12,2,0,1,1,1,-7,0,-3,0,-1,-4,-10,-2,1,-6,-1,-1,0,2,-3,-3,-1,0,-3,2,-1,0,2,0,-2,-2,2,-2,0,-1,1,2,2,-1
2025-04-22 16:29:57.78,open,0,0,2,0,3,-3,1,2,1,1,1,2,-1,3,-3,1,-2,-1,3,-5,0,0,0,-3,2,-2,1,1,-1,1,1,-1,0,-1,-3,1,1,2,0,-1,0,-3,0,-1,-1,-1,2,-1
2025-04-22 16:29:57.79,open,0,7,2,7,6,-1,3,0,-2,3,1,1,1,3,-6,0,-2,2,3,-4,-6,1,0,-3,1,0,-3,3,-1,-2,2,-2,0,0,-4,0,0,0,-2,-1,-2,-3,2,-2,-1,0,0,-1
2025-04-22 16:29:57.80,open,0,1,1,1,3,-2,-3,-10,-12,5,-2,1,2,-1,-5,0,-1,-1,-1,-4,-10,0,0,-5,-2,-2,0,2,-1,1,-2,-1,0,-3,0,0,0,0,-1,0,-2,-6,-1,-1,-1,-1,2,-2
2025-04-22 16:29:57.82,open,-2,3,0,5,3,-2,1,0,-2,1,0,2,-1,-1,0,0,-4,0,1,-5,-2,0,1,-4,2,0,-1,3,-3,0,1,-1,1,-3,-3,0,0,2,2,-1,0,-6,-1,-4,-2,-2,4,-1
2025-04-22 16:29:57.83,open,-1,6,1,5,2,-3,1,-4,-1,2,-3,3,-1,1,0,0,0,5,4,-1,-2,1,0,0,0,-2,2,2,-2,2,2,-1,1,-3,0,1,1,1,2,0,0,-3,0,0,0,-1,4,-1
2025-04-22 16:29:57.84,open,0,9,6,4,2,3,0,-6,-7,2,2,0,2,1,-5,0,-1,4,0,-1,-9,-1,3,-5,0,-1,0,3,1,-1,0,0,1,-2,0,-2,3,1,-1,2,2,-6,1,-1,1,2,2,1
2025-04-22 16:29:57.85,open,-4,-8,-11,-4,-5,-4,-4,-9,-7,0,0,1,-3,3,-5,1,-1,-1,5,-4,-8,-2,2,-6,2,0,2,3,-4,2,-2,0,-2,3,0,1,0,5,-1,0,2,-4,2,1,-1,1,4,-1
2025-04-22 16:29:57.86,open,0,11,6,9,9,1,8,5,7,6,4,4,3,4,3,0,1,6,5,3,5,1,2,-1,3,-1,4,5,0,0,4,1,-1,3,1,1,1,5,-2,0,0,-2,1,-2,1,3,4,1
2025-04-22 16:29:57.87,open,0,5,6,5,5,4,4,-4,-6,4,2,3,0,5,0,0,1,5,5,-1,-4,-1,4,-2,2,0,2,2,2,-1,2,1,1,2,1,2,0,3,2,0,-1,-4,2,0,-1,2,4,-1
