timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-22 16:31:11.97,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-22 16:31:11.98,open,0,7,5,6,1,8,1,13,13,3,0,3,3,3,23,-1,1,6,-1,5,13,0,0,-2,1,1,-1,0,-5,2,1,2,0,-1,-2,0,0,2,-1,0,1,-2,1,0,1,1,-1,2
2025-04-22 16:31:11.99,open,0,3,3,-1,2,1,0,2,5,-1,3,4,-1,4,3,-1,1,0,0,4,3,-2,2,-4,1,1,0,2,-1,-2,2,0,1,0,-4,1,1,0,1,1,-1,2,-2,-4,4,0,-3,3
2025-04-22 16:31:12.00,open,0,-3,1,-1,-2,3,-2,-1,-5,0,0,0,-2,3,-3,0,-1,1,-1,1,-2,2,2,-3,0,1,-3,1,-3,-3,-1,0,-1,2,-4,0,3,-1,0,-1,1,0,-3,-1,2,-1,-2,1
2025-04-22 16:31:12.02,open,0,0,4,-1,0,2,0,9,15,-1,-1,5,-2,5,17,1,1,3,0,5,7,2,3,-2,-2,1,-2,0,-4,1,5,1,1,1,-4,-2,0,2,-2,-1,1,0,-3,-1,3,-1,-2,2
2025-04-22 16:31:12.03,open,1,3,3,4,1,7,-1,3,8,1,0,6,0,-1,9,3,1,2,0,2,6,-2,1,-1,-2,3,-4,2,-1,-1,1,3,-1,-1,-5,0,-1,2,-2,0,-2,0,-5,0,1,-1,-2,3
2025-04-22 16:31:12.04,open,-2,-1,-3,0,0,1,-1,-3,-1,-5,1,1,-2,3,-2,3,-1,1,-3,1,0,-1,-1,-2,0,1,-2,-2,-3,-2,1,1,1,1,-5,0,1,1,-3,2,-3,-2,-2,-2,2,-4,1,1
2025-04-22 16:31:12.05,open,0,-1,3,-1,0,-1,-1,7,6,0,-1,2,0,2,16,-2,2,0,-1,2,7,0,0,-1,-2,-1,-3,-2,-2,-1,0,2,-4,2,-3,-2,-1,2,-1,-2,0,-2,-4,-6,4,-4,-1,1
2025-04-22 16:31:12.07,open,0,5,4,4,0,5,-1,7,6,0,0,3,2,0,11,-2,2,0,-2,4,4,-3,-2,-1,-2,0,-2,0,-5,-1,1,1,1,-2,-3,-1,0,1,0,1,-4,1,-3,-5,3,-2,-2,1
2025-04-22 16:31:12.08,open,0,-1,4,-2,3,2,-5,-4,1,-2,-3,4,-2,2,-2,1,0,-1,-6,2,-2,-4,0,-3,0,1,-6,2,-2,-3,-2,4,-3,2,-3,-4,-1,1,-4,1,-5,-1,-2,-5,1,-1,0,1
2025-04-22 16:31:12.09,open,0,-1,0,0,0,1,-1,6,7,0,-1,1,1,1,10,-2,0,1,-3,3,7,-1,-2,-2,-1,1,-6,0,-3,-4,3,1,-3,-1,-5,-2,-2,1,-2,4,0,-4,-2,-2,1,-1,0,3
2025-04-22 16:31:12.10,open,0,6,3,4,0,5,-3,4,10,-1,2,4,-2,4,9,0,0,2,-2,2,5,-1,1,-4,1,1,-2,0,-3,-3,4,0,-2,-1,-6,-1,1,0,-18,0,-1,-1,-4,-2,5,-2,-2,4
2025-04-22 16:31:12.11,open,0,0,3,-3,1,1,-5,-3,-1,0,-1,3,-1,1,0,-2,2,-1,-3,2,-2,-1,-1,-1,-1,-1,-4,-4,-3,-4,1,2,-4,1,-5,-2,2,-3,-4,-1,-2,0,-5,-2,0,-1,-1,1
2025-04-22 16:31:12.12,open,-2,-4,-2,-6,0,-1,-2,5,6,0,0,0,1,1,8,-1,-1,2,-4,3,5,-4,-2,-3,-3,1,-3,-3,-3,-1,-1,2,-4,2,-3,-3,-2,1,-2,-1,1,0,-5,-2,3,-4,-2,1
2025-04-22 16:31:12.13,open,0,-4,3,-2,0,4,-4,4,10,-1,1,4,1,2,14,-1,2,3,0,4,9,-1,1,-3,0,0,-2,-3,-1,-3,0,2,-1,2,-4,-3,-2,1,-3,3,-2,-2,0,-4,1,-2,-4,1
2025-04-22 16:31:12.14,open,2,2,6,0,1,2,-1,1,2,-4,2,0,1,-2,-1,-1,-1,0,-3,3,-2,-1,-1,-1,-1,0,-2,-2,-3,-2,-1,2,0,0,-3,0,0,-1,-3,1,0,2,-3,-2,1,-3,-2,1
2025-04-22 16:31:12.15,open,-3,-10,-3,-6,-6,0,-4,-3,1,-6,0,0,-6,0,0,3,-4,2,-5,1,1,-4,-2,-2,-2,0,-2,-2,-2,-1,-3,2,0,1,-3,-1,-1,-1,-4,0,-3,1,-2,-5,4,-1,-5,1
2025-04-22 16:31:12.17,open,1,3,6,4,3,2,1,12,14,0,2,3,1,1,20,-2,-1,3,-4,6,8,-3,1,-3,-2,1,-2,-1,-4,-4,4,2,-3,0,-2,0,-2,2,-2,3,-2,2,-2,-4,0,0,-1,2
2025-04-22 16:31:12.18,open,0,3,5,1,-1,4,-3,1,5,-2,1,4,-2,2,1,1,1,-1,0,2,-1,0,1,-2,0,0,-1,1,-4,-1,-1,2,-3,3,-3,-2,0,3,-3,2,0,-1,1,-1,0,1,1,1
2025-04-22 16:31:12.19,open,1,-4,1,-2,-2,0,-3,-3,1,-5,1,-1,-2,-1,-3,1,-3,1,-4,1,-2,-4,1,-4,0,1,-5,2,-3,-4,0,2,-1,0,-3,1,-1,0,-1,-1,-2,0,-3,-5,5,-2,-3,0
2025-04-22 16:31:12.20,open,0,4,5,4,1,7,-2,12,14,1,1,2,1,3,19,-1,1,5,-1,2,9,0,2,-3,1,2,-4,1,-5,-3,4,1,0,3,-3,-1,1,2,-1,3,1,0,-1,-1,-1,-1,1,3
2025-04-22 16:31:12.21,open,1,2,3,1,-1,4,-2,2,3,0,1,0,0,0,3,-1,-1,3,-1,-1,3,-2,1,-1,0,1,-2,1,-3,-1,3,1,2,1,-4,1,1,2,-3,2,1,0,0,-2,0,0,-1,1
