timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-22 16:09:24.24,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-22 16:09:24.25,open,-1,-14,-13,-13,-8,-12,-11,-8,3,-6,-3,-4,-2,-2,-1,-1,-2,-2,0,1,-6,2,-1,-1,2,-1,-3,2,2,-2,-2,0,-1,2,-2,-1,-1,0,-1,-2,1,-3,-4,3,0,0,-3,-2
2025-04-22 16:09:24.26,open,0,0,-2,2,-2,1,-2,4,23,3,3,3,3,1,2,0,1,3,2,5,1,1,-2,1,2,0,-3,2,3,1,6,-3,4,0,-2,4,-3,3,2,-2,3,-3,0,0,1,0,-1,1
2025-04-22 16:09:24.27,open,0,0,-3,2,-2,1,-4,0,-2,3,2,1,1,0,2,1,-3,0,1,5,-4,3,0,-1,4,0,-2,0,4,-2,2,-3,2,2,-3,4,0,2,2,-2,3,-2,-1,1,2,-3,0,1
2025-04-22 16:09:24.28,open,-1,-12,-13,-12,-8,-13,-8,-6,-4,-4,0,-7,1,-5,-3,-1,-4,0,-3,4,-2,-1,-1,-1,2,-1,-3,2,3,-2,2,-4,2,0,-3,2,-1,-2,2,-4,2,-1,-1,-1,2,-5,-1,-2
2025-04-22 16:09:24.29,open,3,8,6,9,4,7,2,11,24,6,4,4,3,1,4,2,0,2,0,6,-1,1,-1,-1,3,-2,-3,3,4,1,6,-3,3,2,-1,0,2,2,-1,-2,2,0,-1,3,2,-2,-1,4
2025-04-22 16:09:24.30,open,1,0,-2,-2,1,-3,-1,0,0,-1,4,-2,4,-1,-1,0,-3,1,1,5,-2,2,2,4,0,-2,1,0,2,3,2,-4,3,0,-2,5,0,-1,3,-2,3,-2,2,0,3,0,-2,0
2025-04-22 16:09:24.31,open,0,-2,-11,-4,-7,-7,-7,-7,-5,-3,-3,-4,-1,-2,-1,0,-4,1,0,2,0,0,1,0,3,0,-3,2,4,1,-2,-4,4,2,-2,4,-1,0,1,-3,3,-1,2,3,4,-2,-3,0
2025-04-22 16:09:24.32,open,0,-1,-7,-1,-3,-2,-4,2,21,-1,4,-1,1,1,-1,-2,-4,2,-2,5,-2,0,2,0,1,0,-2,1,4,-1,6,-2,2,2,-1,3,-1,1,-1,-2,-1,1,0,0,1,-2,-3,1
2025-04-22 16:09:24.33,open,1,3,1,5,4,1,2,3,7,-1,6,-1,3,1,2,-1,-4,0,-1,4,-1,0,0,0,-1,0,-3,2,3,0,2,-1,0,3,-1,5,2,1,2,-1,3,0,2,3,0,0,-1,1
2025-04-22 16:09:24.35,open,-4,-6,-12,-4,-6,-3,-8,-4,-9,-3,-2,-1,0,0,-2,1,-6,-1,0,-1,-5,1,-1,3,-1,-2,-2,1,3,1,-2,0,-1,3,-2,5,1,1,-1,-1,3,-1,2,2,0,0,-2,1
2025-04-22 16:09:24.36,open,-3,-5,-8,-2,-5,-3,-6,2,17,-1,1,0,4,-4,3,1,-3,-3,-2,2,-2,0,1,0,-1,-1,-3,-1,2,2,4,0,0,3,0,1,-3,3,1,0,4,0,3,0,3,0,-2,2
2025-04-22 16:09:24.37,open,1,2,-1,-1,3,-2,2,1,8,0,5,0,1,1,2,0,-3,-4,1,2,-5,3,-1,3,0,-1,-3,1,3,0,3,-3,4,4,-1,3,2,-1,4,-1,4,4,2,-1,4,-3,0,3
2025-04-22 16:09:24.38,open,0,-5,-7,-4,-4,-6,-3,-5,-6,-5,0,-5,2,-3,-2,-2,-7,-6,-3,1,-4,-1,-2,1,-2,0,-4,-1,4,-1,1,-2,3,3,0,1,2,-1,2,-2,2,5,2,4,3,0,-1,1
2025-04-22 16:09:24.39,open,0,-3,-3,0,-2,-3,-7,-1,17,-3,3,-1,1,-1,-1,0,-7,-4,-4,2,-4,3,1,0,-1,-1,-3,-2,6,0,2,0,1,2,0,2,2,0,2,-3,5,2,4,4,3,-3,1,1
2025-04-22 16:09:24.40,open,0,6,4,3,4,1,2,4,8,-1,5,-1,4,-2,5,2,-7,-6,0,-2,1,2,2,1,3,-2,-5,-1,2,3,5,-2,6,5,2,6,1,3,5,0,5,5,3,4,5,-2,-1,2
2025-04-22 16:09:24.41,open,-1,0,-2,0,2,-3,1,-2,-3,-3,2,-4,4,-4,3,2,-8,-8,-2,-4,-3,2,-1,3,-1,-2,-1,-5,4,2,-2,0,1,5,3,4,1,0,2,-1,6,4,7,3,4,-1,-2,1
2025-04-22 16:09:24.43,open,-4,-12,-20,-13,-16,-15,-16,-10,2,-9,-3,-6,-3,-1,-1,-1,-9,-6,-4,-4,-2,0,0,0,-2,0,-5,-5,4,0,-1,-2,2,6,4,5,0,3,2,2,4,4,7,3,1,0,0,1
2025-04-22 16:09:24.44,open,10,17,8,14,8,8,6,13,17,7,5,6,5,5,4,0,-6,-3,-4,0,-3,5,1,4,2,0,-2,-5,2,3,3,0,3,6,5,4,2,3,1,2,3,9,4,6,4,-2,3,5
2025-04-22 16:09:24.45,open,1,4,3,4,3,1,2,3,0,-1,4,-2,4,-3,5,1,-7,-8,-2,-2,-5,3,0,5,-1,-2,0,-3,2,3,2,-3,5,4,7,5,0,2,3,1,7,9,4,7,3,1,1,1
2025-04-22 16:09:24.46,open,-3,-12,-12,-9,-8,-6,-9,-5,1,-5,0,-5,9,-3,2,1,-8,-8,-4,-1,-5,0,0,0,-1,-1,-3,-2,1,3,0,1,2,7,6,6,0,2,3,-2,7,8,7,7,4,0,0,0
2025-04-22 16:09:24.47,open,0,6,-1,6,1,7,1,6,23,5,6,6,6,3,7,2,-4,-4,0,2,-1,1,3,2,2,0,1,0,3,2,9,-3,5,10,6,9,2,6,2,2,7,11,7,7,4,2,-2,3
2025-04-22 16:09:24.49,open,0,1,-4,3,1,-2,3,0,-2,-1,4,-1,5,-1,6,1,-7,-3,-3,1,-4,3,2,4,2,-1,0,0,3,1,3,-3,7,8,7,9,4,5,3,1,5,14,7,9,5,1,1,0
2025-04-22 16:09:24.50,open,-1,-14,-16,-9,-12,-7,-8,-3,-7,-2,-4,-4,2,-3,4,-1,-7,-4,-2,-1,-1,2,3,1,2,1,-2,-1,6,4,0,0,6,9,10,6,2,5,3,-2,8,11,10,7,2,5,-1,-1
2025-04-22 16:09:24.51,open,3,10,7,6,6,4,8,8,25,3,5,1,7,3,8,0,-3,-1,1,2,-2,7,2,4,-2,0,1,-1,6,4,7,0,3,12,8,6,3,5,2,-1,8,12,8,6,3,2,-1,4
2025-04-22 16:09:24.52,open,0,1,-5,2,-2,2,1,5,-2,4,2,2,3,4,6,0,-3,-2,-2,1,-1,7,4,3,0,0,-2,1,2,5,3,-1,6,9,10,9,1,6,0,0,6,13,8,9,4,4,0,1
2025-04-22 16:09:24.53,open,0,-6,-7,-5,-5,-5,-7,-4,-6,0,-4,-2,1,0,6,3,-7,-4,-2,-3,-4,3,5,6,0,0,0,-1,3,2,4,-2,6,9,7,10,3,3,3,0,8,9,5,8,5,0,-1,0
2025-04-22 16:09:24.54,open,-1,-2,-2,-4,1,-4,1,2,23,0,3,-3,6,1,6,1,-5,-2,-5,-2,-1,3,3,2,1,-1,-3,-1,3,5,5,0,2,6,7,7,0,7,2,3,2,8,5,7,4,-1,2,1
2025-04-22 16:09:24.55,open,2,3,4,4,1,5,0,3,7,3,5,-1,6,1,5,0,-3,0,-4,-4,-2,8,3,3,2,0,-3,-3,3,8,3,0,1,6,6,7,3,5,6,3,5,1,8,5,3,1,-1,1
2025-04-22 16:09:24.56,open,-1,-5,-7,-4,-7,-1,-3,0,-6,1,0,-5,3,-1,4,1,-5,-4,-3,-7,-1,6,2,4,0,-4,0,-6,6,5,2,0,0,3,6,4,3,5,3,1,4,2,2,6,5,-1,1,0
2025-04-22 16:09:24.57,open,-1,-1,-8,0,-5,0,-3,3,18,0,-2,-1,1,3,2,1,-4,1,-2,-6,2,6,4,3,-1,-1,-3,-1,3,8,6,-2,3,0,6,7,2,6,2,0,4,0,3,6,2,2,0,1
2025-04-22 16:09:24.58,open,1,1,0,1,3,0,2,5,10,0,0,1,4,1,5,3,0,0,0,-2,-1,7,2,4,2,0,-3,-1,2,9,4,-2,3,3,2,9,0,7,3,-2,4,1,2,5,3,0,-2,3
2025-04-22 16:09:24.59,open,-1,-7,-8,-5,-4,-5,-3,-4,-4,-2,-2,-2,0,1,-1,0,-2,-1,-3,-1,-2,2,3,3,2,-1,0,-1,2,8,1,0,1,3,5,5,2,6,-1,-1,2,3,2,4,3,-1,-1,0
2025-04-22 16:09:24.60,open,0,-5,-6,-4,-7,-3,-7,-1,16,-4,1,-3,-1,0,2,2,-3,2,-2,0,-1,3,2,0,3,-2,0,-1,1,5,3,-1,1,-1,2,1,-4,3,-2,0,0,-1,1,-3,2,-2,-4,1
2025-04-22 16:09:24.62,open,1,2,3,4,2,2,1,4,11,-2,3,-4,4,-2,4,2,1,-2,1,-1,0,5,-2,0,2,-1,-3,-1,3,1,5,-2,1,0,-2,5,0,0,2,0,1,-7,2,-1,0,0,-3,1
2025-04-22 16:09:24.63,open,1,0,0,-1,1,-2,-2,-4,-2,-5,2,-4,-2,-3,-3,-2,-5,-4,-6,-6,-5,1,-4,-2,-2,-4,-5,-9,0,1,-5,-2,-5,-5,-7,-1,-1,-1,-1,-2,-3,-11,-6,-2,0,-7,-1,0
2025-04-22 16:09:24.64,open,-4,-16,-24,-18,-19,-22,-20,-12,2,-15,-7,-13,-2,-11,-3,-1,-6,-11,-8,-9,-9,-1,-6,-5,-4,-4,-8,-13,-1,0,-4,-1,-7,-10,-10,-7,-7,-1,-4,0,-5,-20,-6,-9,-3,-4,-5,-1
2025-04-22 16:09:24.66,open,8,12,8,11,5,6,1,8,21,0,6,-1,7,-3,3,0,0,-6,-6,-6,-7,2,-5,-2,-1,-2,-8,-11,-4,-1,1,-4,-5,-17,-11,-8,-6,-3,-5,0,-5,-21,-9,-12,-3,-6,-5,4
2025-04-22 16:09:24.67,open,2,-2,-2,-1,-4,-2,-9,-4,-2,-6,1,-6,0,-7,-2,-4,-5,-12,-8,-9,-11,0,-6,-7,-2,-2,-10,-15,-5,-2,-5,-1,-9,-13,-14,-9,-5,-3,-5,-2,-4,-20,-12,-11,-2,-9,-4,0
2025-04-22 16:09:24.68,open,-1,-15,-15,-12,-11,-13,-11,-9,1,-10,-5,-12,-1,-11,-3,-5,-5,-11,-9,-10,-9,-3,-5,-8,-2,0,-13,-14,0,-5,-2,-3,-4,-16,-14,-7,-7,-4,-1,0,-5,-21,-7,-12,-2,-7,-4,-2
2025-04-22 16:09:24.69,open,2,0,0,1,1,-1,-3,3,22,-1,3,-2,4,-4,3,-2,-3,-4,-6,-4,-5,0,-3,-5,1,-1,-12,-10,-2,0,2,-3,-5,-14,-14,-5,-6,-2,-2,2,-4,-22,-11,-8,-4,-7,-2,1
2025-04-22 16:09:24.70,open,0,3,-5,3,-5,-1,-7,-1,-5,-2,0,-7,3,-6,-3,-2,-6,-6,-8,-6,-7,-3,-6,-5,-4,-2,-7,-14,1,0,-3,-2,-7,-11,-10,-8,-6,-2,-2,2,-6,-17,-9,-11,-2,-9,-1,2
2025-04-22 16:09:24.71,open,-1,-15,-13,-12,-11,-13,-15,-12,-3,-11,-3,-10,-2,-9,-6,-4,-6,-7,-8,-8,-9,-2,-4,-5,-2,-2,-6,-13,-1,-2,-4,0,-9,-10,-14,-6,-6,-6,-2,-1,-2,-20,-11,-10,-5,-7,-4,-3
2025-04-22 16:09:24.72,open,3,2,3,2,-1,1,-6,2,24,-3,3,-4,0,-3,-3,-2,-4,-5,-8,-7,-8,-2,-4,-1,-3,-2,-8,-14,-2,-2,2,-1,-6,-16,-13,-8,-7,-5,-2,-2,-6,-18,-12,-10,-3,-11,-4,4
2025-04-22 16:09:24.74,open,0,0,-6,0,-5,-4,-9,-4,-1,-3,0,-5,3,-6,2,-3,-5,-10,-7,-7,-7,-3,-3,-4,-3,-1,-12,-13,-1,-4,-5,-1,-9,-13,-15,-7,-6,-7,-3,-2,-3,-23,-9,-12,-6,-9,-7,1
2025-04-22 16:09:24.75,open,-3,-6,-12,-5,-13,-10,-13,-9,-8,-8,-4,-10,-1,-10,-4,-2,-7,-14,-10,-15,-11,-4,-9,-5,-4,-2,-10,-16,-4,-5,-4,-3,-6,-18,-14,-9,-8,-6,-3,-3,-4,-24,-10,-12,-5,-9,-4,1
