timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-03 15:40:32.62,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-03 15:40:32.63,open,-14,-10,-7,-5,-4,-4,-3,-4,-6,-2,-2,0,-3,-1,-1,-1,-1,-2,-2,-2,-2,-1,-1,0,2,-1,-2,0,-1,0,-1,-4,-2,-1,-1,-1,0,0,0,-2,-1,0,-1,-2,-2,-2,-3,-3
2025-04-03 15:40:32.64,open,13,8,10,7,6,6,6,4,2,5,5,4,2,0,4,-1,0,0,0,-1,1,3,1,1,2,1,3,3,3,2,1,3,0,0,1,0,0,1,0,0,-1,1,1,0,0,-2,-2,1
2025-04-03 15:40:32.65,open,0,1,2,3,1,0,1,0,0,0,2,1,1,3,1,1,0,0,-1,-1,-1,0,0,1,2,2,3,3,3,1,0,0,-1,1,3,2,3,2,1,-2,0,2,2,1,3,2,2,0
2025-04-03 15:40:32.66,open,-35,-20,-12,-11,-8,-7,-5,-6,-7,-4,-2,-1,-4,-1,0,-1,-1,-2,-1,-1,-1,0,-3,0,-1,0,2,1,2,-1,-3,-3,-3,-2,-2,-2,0,-1,-2,-3,-2,0,-1,-1,-1,-2,-2,-3
2025-04-03 15:40:32.67,open,13,8,7,4,5,3,2,2,0,2,2,3,0,1,1,1,0,0,0,0,0,2,0,0,-1,1,2,2,3,2,0,2,-1,-2,-1,0,0,1,0,0,0,2,1,0,1,-1,-1,0
2025-04-03 15:40:32.68,open,4,2,3,7,4,4,4,7,3,3,5,7,4,4,5,1,5,2,2,1,3,3,0,1,2,2,3,3,4,2,2,2,1,2,2,2,2,0,0,1,0,2,2,2,1,-1,-1,1
2025-04-03 15:40:32.69,open,-33,-26,-20,-15,-10,-10,-9,-7,-7,-6,-4,-4,-4,0,2,-1,-2,-3,-1,-1,0,2,-1,-1,-1,-2,1,2,2,0,-1,-1,-2,-2,-1,-1,0,1,1,-1,-2,0,-1,-1,-1,-2,-1,-5
2025-04-03 15:40:32.70,open,0,0,4,3,0,1,1,1,0,1,1,1,0,4,3,1,0,0,1,1,2,4,1,1,0,1,2,3,4,1,1,1,-1,-1,1,1,2,2,2,-1,-2,0,1,1,2,-1,-1,1
2025-04-03 15:40:32.71,open,17,11,9,8,7,5,5,3,2,3,4,3,-1,0,2,2,-1,-2,-1,-1,1,3,0,1,0,1,2,3,4,2,1,2,1,1,2,1,3,2,2,-1,-1,4,3,2,2,-1,0,1
