timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-06-06 15:32:39.95,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-06 15:32:39.96,open,2,-3,6,0,1,-5,-1,-2,-1,2,-4,0,-4,-1,-3,-5,0,-3,-2,-4,-3,-2,-1,-1,0,0,-1,-3,-1,0,-4,-10,-1,-4,-5,-6,-6,-5,-5,-7,0,-9,0,-10,-4,-12,-8,-1
2025-06-06 15:32:39.97,open,8,-3,7,0,5,0,1,3,-1,4,-2,2,-2,0,3,0,1,-1,3,-3,2,-3,1,0,5,-1,1,-2,3,1,2,1,2,-1,2,-2,1,-1,-1,1,-1,-3,-2,-5,-1,-3,-5,2
2025-06-06 15:32:39.98,open,5,0,5,3,3,-1,2,1,1,4,0,3,0,3,1,0,2,1,1,0,0,1,0,1,7,0,1,1,2,1,1,6,-1,1,1,0,-1,0,-1,6,-1,-1,0,-2,-1,-2,-4,3
2025-06-06 15:32:39.99,open,0,-4,2,-3,0,-4,-3,-4,-5,2,-5,0,-4,-3,-2,-3,-3,-1,-3,-2,-1,-5,-1,-2,0,-2,1,-5,0,-2,-2,-8,0,-3,-3,-6,-2,-6,-1,-7,1,-9,1,-9,-1,-8,-6,0
2025-06-06 15:32:40.00,open,1,-1,2,-3,4,0,2,3,-2,4,-2,3,-2,1,1,-3,2,-1,3,-3,3,-3,2,0,4,0,0,-3,2,0,2,-1,2,-2,2,-5,1,-5,0,-5,1,-5,1,-8,0,-7,-6,4
2025-06-06 15:32:40.01,open,3,0,2,3,1,1,1,3,1,1,1,1,1,0,1,0,0,1,0,-1,1,-2,0,2,4,1,1,0,2,-2,2,6,1,1,1,-1,2,-2,3,7,1,-2,1,-3,2,-4,1,4
2025-06-06 15:32:40.02,open,-1,-4,0,-7,0,-3,-2,-2,-4,2,-5,2,-3,0,-1,-4,1,-4,1,-4,0,-3,-1,-2,1,0,-1,-3,-1,1,-3,-9,-2,-4,-3,-5,-5,-2,-5,-6,-2,-8,-2,-8,-7,-9,-8,1
2025-06-06 15:32:40.03,open,3,-1,2,2,0,0,-1,-1,0,1,0,-1,0,-1,0,0,-1,0,-2,-2,-1,-3,-1,0,-1,0,1,-1,0,-2,0,-1,-1,0,-2,-2,-3,-2,-2,-3,-2,-4,-1,-6,-4,-6,-6,3
2025-06-06 15:32:40.04,open,6,-3,5,-2,4,1,1,3,-2,4,-2,4,-1,1,4,1,0,2,1,2,0,1,0,1,7,1,1,1,4,2,1,6,-1,2,3,0,1,1,0,5,-1,-1,-1,-2,-1,-2,-4,3
