timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-15 15:05:26.06,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-15 15:05:26.07,open,3,1,2,2,4,4,9,3,7,5,11,3,10,5,9,5,11,2,7,8,2,0,7,1,7,0,6,5,2,4,1,0,2,2,3,4,0,3,2,3,4,4,4,3,7,2,4,8
2025-04-15 15:05:26.08,open,0,2,1,-2,3,3,7,4,8,5,10,4,10,5,9,6,11,3,9,11,3,7,7,7,7,6,8,9,6,5,6,3,8,3,7,9,3,9,9,7,12,7,8,11,10,12,25,8
2025-04-15 15:05:26.09,open,2,-2,2,-2,3,1,5,-2,3,2,6,1,2,3,2,3,3,-4,4,3,-3,0,0,-1,-1,-4,1,0,-1,-5,1,1,-1,-1,-2,1,0,-3,6,-1,5,1,0,4,3,3,4,6
2025-04-15 15:05:26.10,open,6,4,5,2,3,4,6,5,5,4,7,3,6,5,5,2,8,0,5,7,2,-1,5,-1,3,-1,1,2,1,2,0,1,2,3,2,1,4,-1,6,0,2,0,-1,-4,1,-7,-4,4
2025-04-15 15:05:26.11,open,7,6,7,9,4,11,7,8,7,10,13,10,13,9,13,7,13,5,10,12,7,6,9,3,5,3,3,6,4,4,6,-2,11,6,12,14,13,18,16,21,21,15,20,20,21,15,35,12
2025-04-15 15:05:26.12,open,0,0,0,1,0,1,5,0,0,0,6,0,3,2,5,2,4,0,3,3,0,0,2,0,1,0,1,1,2,-3,2,-2,3,0,-2,3,-1,1,1,2,3,3,1,1,7,3,3,1
2025-04-15 15:05:26.13,open,1,2,-1,2,1,6,4,3,1,7,3,2,3,-1,3,-1,-1,-7,-5,0,-6,-6,-3,-7,-5,-5,-7,0,-2,-6,0,-3,-1,-5,-5,0,-5,-3,-1,-3,-3,-4,-4,-1,0,-4,1,7
2025-04-15 15:05:26.13,open,2,1,1,8,4,11,10,11,14,17,18,18,17,18,16,13,16,11,11,16,10,8,14,8,13,9,10,14,14,7,11,9,12,7,7,12,9,9,7,8,9,11,6,12,15,9,25,8
2025-04-15 15:05:26.14,open,3,3,3,5,1,8,5,4,0,6,5,6,5,6,5,6,5,2,5,6,1,3,4,3,2,2,3,1,4,1,0,-1,4,0,1,6,2,2,5,2,7,3,4,6,4,6,6,3
2025-04-15 15:05:26.15,open,-1,2,-1,0,-1,4,3,1,0,0,4,0,2,0,1,-2,4,-4,3,4,-1,-1,2,-2,1,-3,-1,2,-2,-4,-1,-1,-4,-4,-7,-2,-6,-6,-2,-7,-3,-5,-7,-5,-2,-9,-3,3
2025-04-15 15:05:26.16,open,3,5,3,3,6,7,11,10,7,12,12,11,10,12,9,7,13,7,11,13,9,5,14,7,12,6,11,10,13,11,9,11,11,8,10,12,8,13,11,14,13,11,13,11,17,9,29,13
2025-04-15 15:05:26.17,open,5,5,7,7,5,8,9,6,4,8,8,7,10,5,9,3,9,0,6,10,3,2,6,2,5,0,4,5,2,3,2,0,2,0,3,3,-1,4,2,3,4,0,5,3,4,4,3,4
2025-04-15 15:05:26.19,open,-1,0,-2,-5,-1,-1,3,-1,-2,-4,2,-7,1,-5,-2,-5,-3,-4,-2,-3,-7,-4,-4,-3,-3,-6,-4,-5,-5,-3,-5,0,-5,-2,-5,-3,-3,2,-1,2,2,-2,0,3,4,-3,-2,0
2025-04-15 15:05:26.20,open,4,2,6,4,7,7,11,11,8,10,17,8,16,12,16,12,15,7,12,12,8,9,8,7,7,7,5,9,10,3,8,1,7,6,4,5,4,6,6,7,7,6,8,6,13,7,17,16
2025-04-15 15:05:26.21,open,1,3,1,1,1,2,6,5,1,8,8,3,8,3,8,6,7,1,4,6,5,1,6,1,5,2,4,7,5,6,6,3,9,4,4,9,3,9,7,9,7,4,9,7,12,7,21,9
2025-04-15 15:05:26.22,open,0,5,-1,3,-1,5,3,3,0,3,3,2,4,2,4,3,3,-3,2,-1,-5,-4,-2,-3,-3,-6,-5,-3,-4,-3,-4,-3,1,-5,-4,4,-4,1,0,0,3,-3,-4,2,1,-1,1,2
2025-04-15 15:05:26.23,open,2,7,2,5,6,6,10,5,8,7,12,6,12,8,9,6,12,4,8,8,6,4,4,4,5,2,5,5,3,4,2,0,3,4,4,5,1,6,6,2,9,5,4,6,5,6,6,12
2025-04-15 15:05:26.25,open,1,3,2,6,0,9,4,4,6,8,11,7,7,9,6,6,12,6,6,11,6,4,5,5,5,3,6,5,6,4,3,2,4,5,4,5,4,6,4,5,8,7,5,10,10,5,22,10
2025-04-15 15:05:26.26,open,-1,2,-3,2,-2,1,4,0,1,0,4,-1,1,1,2,3,2,-4,3,2,0,0,1,0,0,1,0,1,3,-2,0,-2,1,-3,-5,1,-4,-3,1,-2,1,-3,-2,0,-1,0,-2,3
2025-04-15 15:05:26.27,open,5,8,2,10,1,10,6,6,3,9,7,5,8,3,4,5,7,4,6,4,5,3,3,2,2,3,2,6,4,2,3,0,3,3,5,4,3,4,6,5,6,5,2,7,7,1,5,6
