timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-05-14 12:33:53.85,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-14 12:33:53.87,open,-1,1,0,1,1,1,1,1,1,1,2,2,2,2,0,1,2,2,0,1,1,0,0,1,1,1,0,3,1,2,2,1,2,2,-2,0,0,5,1,1,3,1,4,3,3,1,1,0
2025-05-14 12:33:53.88,open,-7,-5,-5,-4,-4,0,-2,-2,-2,-1,-2,-1,-1,-2,-3,-1,-1,-1,-4,-2,-1,-2,-3,-4,-2,-2,-3,-2,-2,-3,-4,-4,-3,-4,-5,-3,-4,0,-4,-5,-4,-3,-1,-1,-2,-3,-3,-7
2025-05-14 12:33:53.89,open,-2,-1,0,-1,1,-1,-3,0,1,1,-1,-1,-1,0,-2,0,0,0,-1,-1,0,-1,-2,-1,0,0,-1,0,0,0,0,-1,1,0,-3,-1,0,1,-1,-2,0,-1,1,2,1,-1,-1,-1
2025-05-14 12:33:53.90,open,0,-1,-2,-1,2,2,-1,1,1,1,0,2,2,3,0,1,2,2,1,2,3,3,2,4,5,4,3,4,3,2,2,0,2,1,-3,0,1,4,3,2,3,2,7,7,6,5,6,0
2025-05-14 12:33:53.91,open,-6,-2,-4,-4,-1,-1,-3,-3,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-3,-2,-2,-2,-2,-1,0,0,0,0,0,1,0,-2,0,1,-2,0,-1,1,-2,-1,-1,-1,1,1,0,-1,-2,-4
2025-05-14 12:33:53.92,open,2,1,0,-1,2,2,-1,0,1,2,0,1,0,0,-2,0,1,0,-1,-1,-1,-3,-5,-1,-2,-2,-2,-2,-3,-2,-4,-2,-2,-3,-5,-2,-3,-1,-5,-4,-4,-5,-3,-2,-2,-3,-2,-2
2025-05-14 12:33:53.93,open,0,2,1,0,1,1,0,2,2,3,1,5,5,6,5,7,7,7,6,7,8,6,6,5,5,4,6,7,6,4,5,3,8,7,4,3,9,9,7,7,8,7,11,8,8,7,5,-1
2025-05-14 12:33:53.94,open,-1,1,-2,-1,1,1,-2,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,2,2,1,1,1,0,0,1,0,0,0,-2,0,0,2,-1,-1,0,0,3,2,1,0,0,-2
2025-05-14 12:33:53.95,open,-7,-5,-7,-3,-1,0,-3,-3,-2,0,-2,-1,-2,-2,-3,-3,-4,-4,-5,-4,-4,-4,-3,-3,-2,-3,-3,-2,-2,-2,-3,-3,-1,-3,-4,-2,-1,0,-2,-4,-2,-4,-1,-2,-2,-1,-1,-4
2025-05-14 12:33:53.96,open,10,6,3,3,6,7,3,5,7,7,7,5,8,8,6,7,8,7,4,5,7,5,4,4,4,6,4,5,4,4,4,1,3,2,0,3,3,6,3,3,4,3,6,6,6,4,3,2
2025-05-14 12:33:53.98,open,-1,-1,-2,-1,1,1,-1,0,0,1,-2,1,2,1,-1,-1,1,0,0,0,1,0,-1,0,1,2,0,2,2,2,1,0,2,-1,-3,0,0,3,-1,1,1,0,4,2,1,0,-1,-2
2025-05-14 12:33:53.99,open,-7,-4,-3,-3,1,0,-2,-2,-2,0,-1,-2,-2,0,-2,-3,-3,-1,-4,0,-1,-2,-3,-3,-2,-2,-3,-3,-2,-1,-2,-2,-1,-6,-5,-3,-3,-1,-3,-3,-2,-4,-1,-1,0,-1,0,-3
2025-05-14 12:33:54.00,open,2,1,0,3,3,2,0,3,3,4,4,4,4,4,3,5,6,5,3,4,6,5,4,5,5,5,4,5,4,4,3,2,4,2,-1,1,0,3,1,1,2,0,4,2,1,0,1,2
2025-05-14 12:33:54.01,open,-5,-4,-4,-1,1,-1,-3,1,1,1,-1,0,0,0,-1,1,1,1,0,0,2,1,-1,0,0,0,0,1,0,0,2,-1,1,-1,-2,1,1,3,1,1,2,1,5,2,3,1,-1,-1
2025-05-14 12:33:54.02,open,-5,-5,-3,-2,0,0,-3,-1,-2,0,-2,-1,-2,-1,-1,-1,-1,-1,-3,-1,0,-1,-1,-5,0,-1,-2,-1,-1,-2,-3,-4,-3,-4,-5,-3,-2,1,-3,-4,-2,-3,0,-1,-1,-1,0,-3
2025-05-14 12:33:54.04,open,3,1,-1,0,2,2,-2,1,1,1,0,0,-1,2,0,0,1,2,0,0,1,0,-1,2,2,2,2,2,2,2,1,0,2,0,-3,-1,-1,1,-1,0,1,-2,2,0,1,0,1,1
2025-05-14 12:33:54.05,open,0,1,-1,-1,2,1,0,0,1,2,3,1,1,3,2,1,2,2,0,1,1,2,0,2,3,3,2,2,2,3,2,2,4,2,1,1,0,4,1,2,2,2,3,2,2,1,1,-2
2025-05-14 12:33:54.06,open,-7,-6,-7,-2,0,-1,-4,0,-1,0,-2,-3,-2,-1,-2,-1,-2,-2,-4,-4,-4,-5,-8,-7,-4,-4,-5,-5,-5,-5,-5,-5,-4,-4,-6,-3,-3,-1,-4,-4,-3,-4,-1,-1,0,-2,-3,-4
2025-05-14 12:33:54.07,open,2,3,2,3,2,1,-2,1,1,2,-1,0,1,2,0,0,0,0,-1,0,0,2,0,2,2,1,0,2,1,1,1,-1,1,-1,-2,1,0,2,-2,-1,0,0,1,2,1,0,1,-2
2025-05-14 12:33:54.08,open,1,1,0,0,1,1,0,2,1,0,2,2,1,2,0,2,2,1,0,0,3,2,2,1,2,1,2,2,2,2,2,1,3,1,-2,0,1,4,1,0,1,1,4,3,3,2,2,1
2025-05-14 12:33:54.09,open,-8,-4,-6,-3,-2,-3,-5,-2,-2,-1,-3,-2,-3,-1,-3,-3,-2,-3,-4,-3,-3,-4,-4,-3,-1,-3,-1,-1,-1,-3,-4,-5,-3,-3,-6,-4,-4,-1,-5,-5,-5,-5,-2,-2,-1,-3,-2,-7
2025-05-14 12:33:54.10,open,-4,-2,-2,-2,0,-2,-3,0,0,2,0,0,0,0,-2,1,1,0,-1,1,1,1,-1,1,2,0,0,1,0,0,0,-2,0,1,-2,-1,-1,1,-2,-1,-1,0,3,2,1,1,0,-2
2025-05-14 12:33:54.11,open,-1,1,0,2,1,1,-1,2,1,1,0,2,2,3,-1,1,2,3,1,1,3,2,1,2,2,1,2,3,1,2,2,0,1,0,-2,-1,-1,1,-2,1,2,2,6,5,5,5,4,0
