timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-05-14 12:38:54.44,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-14 12:38:54.45,open,8,6,2,5,8,1,2,0,1,2,3,1,1,-1,1,2,2,3,4,1,1,2,-2,2,2,2,2,3,3,3,3,2,2,3,4,5,6,5,6,5,5,7,7,2,5,4,4,0
2025-05-14 12:38:54.46,open,6,4,2,1,-1,0,3,1,2,3,4,2,1,2,4,5,4,4,4,2,2,3,4,4,4,3,1,4,3,3,5,2,2,3,4,6,7,7,7,6,5,7,7,4,4,6,5,2
2025-05-14 12:38:54.47,open,1,-2,-3,-2,-3,-3,-4,-3,-2,-2,-2,-3,-3,-3,-3,-1,-2,-1,0,-1,-2,0,-2,1,1,0,-2,0,-1,-1,1,-1,1,3,2,2,2,3,2,2,3,4,5,0,0,2,3,0
2025-05-14 12:38:54.48,open,5,1,-1,0,6,1,2,1,1,2,2,0,1,1,1,2,3,3,3,2,1,2,1,3,4,3,0,0,1,2,3,2,3,3,2,6,6,5,5,3,3,5,5,2,2,4,4,0
2025-05-14 12:38:54.49,open,1,-1,0,2,1,1,0,1,2,3,3,3,1,0,2,4,2,3,3,1,1,3,2,3,4,3,3,5,3,3,4,1,2,3,4,7,5,5,7,7,7,8,9,3,4,5,4,2
2025-05-14 12:38:54.50,open,8,7,4,4,-2,0,-1,0,1,1,-1,-1,0,-1,-1,1,0,1,1,0,-2,0,-2,-1,-1,1,-2,0,0,0,2,0,0,2,1,5,5,5,4,3,4,8,8,3,3,4,5,-1
2025-05-14 12:38:54.52,open,2,0,-2,-1,4,-1,0,-1,-1,1,2,2,0,0,0,1,1,2,2,1,-1,1,-2,3,1,2,1,3,1,1,2,0,1,3,2,4,3,3,3,2,2,4,3,-1,0,1,1,0
2025-05-14 12:38:54.53,open,5,2,2,4,1,2,0,1,3,2,2,2,1,1,1,3,2,3,3,1,0,1,0,1,4,3,3,6,5,5,7,4,6,8,7,8,9,12,12,9,9,9,10,6,7,9,7,1
2025-05-14 12:38:54.54,open,2,1,-2,0,-4,1,-1,0,1,2,1,0,0,-1,1,2,2,2,2,1,0,2,0,0,1,1,-1,1,1,2,3,0,2,5,3,4,3,5,6,5,4,5,5,1,4,3,4,-1
2025-05-14 12:38:54.55,open,5,0,-1,0,4,-1,-2,-2,-2,1,-2,-1,-2,-3,-3,-1,-3,-2,-1,-2,-3,0,-1,0,0,-1,-2,0,-1,-2,-1,-3,-1,1,0,1,1,2,1,2,1,3,3,1,2,3,2,0
2025-05-14 12:38:54.56,open,10,7,6,7,6,5,4,6,6,4,5,5,3,5,5,7,5,6,7,6,5,7,5,9,8,9,6,9,9,7,10,7,8,9,8,10,10,10,10,8,8,8,9,5,6,6,6,5
2025-05-14 12:38:54.57,open,8,5,1,5,-2,0,0,0,1,3,3,1,0,0,0,2,2,2,1,1,-1,1,0,2,1,2,1,1,2,1,4,1,2,2,2,5,5,5,7,3,4,5,6,3,4,4,4,0
2025-05-14 12:38:54.58,open,1,-1,-1,1,2,-2,-2,-3,0,1,-1,-1,-2,-3,0,0,-2,-1,0,-1,-2,-1,-1,2,0,1,-1,0,0,0,1,0,-1,3,1,4,4,3,3,4,2,5,5,1,2,3,2,-2
2025-05-14 12:38:54.59,open,11,8,6,7,8,4,3,3,5,5,4,3,2,2,2,5,2,2,5,4,3,4,3,4,4,4,4,5,5,4,6,3,4,6,5,7,9,9,9,7,8,8,9,5,6,5,7,7
2025-05-14 12:38:54.60,open,3,1,-1,-1,-4,-2,0,-1,0,1,1,1,0,-1,-1,3,0,0,1,1,0,2,0,2,-1,1,1,3,2,2,4,1,1,1,2,5,6,7,7,5,3,5,6,4,4,5,5,0
