timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-05-14 12:39:56.25,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-14 12:39:56.26,open,-8,-9,-6,-6,-11,-6,-8,-7,-6,-5,-4,-6,-6,-6,-5,-4,-5,-4,-3,-4,-3,-3,-1,-1,-1,-3,-2,-2,-2,0,-2,0,-2,-4,-1,-1,-3,-1,-3,-3,-4,-4,-3,-3,-1,-2,-1,-4
2025-05-14 12:39:56.27,open,-12,-10,-6,-5,-6,-6,-9,-7,-5,-5,-5,-8,-8,-8,-6,-5,-7,-5,-5,-6,-5,-3,-3,-3,-2,-4,-2,-2,-3,-2,-3,-3,-4,-4,-3,-5,-6,-4,-4,-4,-5,-4,-3,-6,-3,-4,-3,-5
2025-05-14 12:39:56.28,open,-1,-2,-2,2,1,0,-5,-2,-3,-2,-3,-5,-5,-4,-2,-2,-2,-1,-1,-1,0,-1,0,2,2,1,1,2,0,2,2,1,1,0,1,-2,-4,0,0,-2,-3,-2,-3,-5,-3,-2,0,-2
2025-05-14 12:39:56.29,open,-9,-6,-4,-3,-10,-5,-8,-6,-3,-4,-3,-6,-7,-7,-5,-5,-5,-4,-2,-2,-2,-3,-1,-1,-1,-3,-1,-1,-2,0,-2,-1,-1,-1,-1,-4,-4,0,0,-1,-1,-2,-1,-3,-1,-2,0,-3
2025-05-14 12:39:56.30,open,-6,-8,-7,-7,-8,-4,-8,-8,-6,-6,-6,-7,-8,-7,-4,-6,-6,-4,-4,-4,-3,-3,-3,-2,-2,-4,-3,-2,-3,-1,-3,-2,-4,-3,-2,-5,-6,-4,-4,-5,-5,-3,-5,-6,-4,-3,-3,-6
2025-05-14 12:39:56.31,open,-2,-4,-3,-2,0,-3,-7,-5,-3,-3,-4,-7,-7,-7,-5,-5,-6,-4,-3,-4,-2,-3,-2,-2,-1,-2,-2,-1,-2,1,-2,0,-1,-2,-1,-4,-4,-2,-2,-3,-3,-3,-3,-3,-3,-4,-2,-1
2025-05-14 12:39:56.32,open,-11,-7,-4,-3,-8,-4,-8,-5,-3,-4,-4,-6,-5,-5,-3,-4,-6,-3,-3,-2,-3,-2,0,0,-1,-1,-1,0,0,1,0,-1,-1,-1,0,-1,-1,0,0,-1,-3,-3,-3,-2,-1,-2,-1,-3
2025-05-14 12:39:56.33,open,-10,-10,-7,-5,-8,-6,-9,-7,-5,-5,-5,-7,-6,-6,-5,-6,-6,-5,-5,-5,-5,-7,-5,-5,-6,-7,-7,-7,-7,-6,-6,-5,-6,-6,-5,-6,-6,-5,-4,-5,-5,-5,-6,-6,-4,-3,-3,-6
2025-05-14 12:39:56.35,open,-5,-5,-5,-6,-2,-4,-6,-7,-5,-3,-4,-7,-8,-8,-4,-5,-7,-4,-3,-4,-2,-4,-3,0,-1,-3,-1,0,-1,0,-2,-1,-2,-3,-1,-4,-5,-1,-2,-2,-3,-3,-3,-4,-3,-3,-3,-4
2025-05-14 12:39:56.36,open,-2,-4,-2,0,-5,-1,-6,-5,-2,-2,-3,-5,-5,-6,-3,-3,-5,-3,-3,-3,-2,-2,-1,-1,-1,-3,0,-1,-1,0,-2,0,-2,-1,-1,-3,-4,0,0,-2,-2,-2,-2,-2,-1,-1,-2,-2
2025-05-14 12:39:56.37,open,-10,-10,-10,-7,-10,-6,-10,-8,-6,-6,-6,-8,-9,-7,-4,-6,-7,-6,-5,-5,-5,-6,-4,-5,-2,-3,-3,-4,-4,-3,-5,-3,-4,-4,-3,-5,-5,-3,-4,-6,-6,-7,-7,-6,-4,-4,-2,-8
2025-05-14 12:39:56.39,open,-5,-4,-2,-2,-2,-4,-7,-6,-4,-5,-6,-6,-7,-6,-4,-5,-6,-5,-4,-5,-3,-4,-2,-1,-1,-2,-2,-1,-2,0,-3,-2,-2,-3,-3,-4,-5,-4,-3,-4,-4,-3,-3,-3,-3,-3,-2,-4
2025-05-14 12:39:56.40,open,-7,-5,-3,-3,-8,-5,-6,-6,-4,-5,-1,-6,-7,-7,-2,-5,-5,-4,-3,-4,-3,-4,-2,0,0,0,0,1,0,2,1,-1,-1,-2,-1,-4,-4,-3,-2,-2,-4,-2,-2,-1,0,1,0,-3
2025-05-14 12:39:56.41,open,-9,-10,-8,-6,-11,-5,-10,-8,-8,-7,-6,-8,-8,-10,-6,-6,-7,-6,-6,-6,-3,-4,-2,-3,-2,-4,-1,-2,-3,-1,-4,-1,-1,-2,-1,-4,-5,-3,-2,-2,-3,-3,-4,-4,-4,-3,-3,-6
2025-05-14 12:39:56.42,open,-5,-6,-4,-2,-2,-4,-8,-6,-4,-4,-4,-5,-7,-7,-5,-4,-5,-4,-3,-4,-3,-4,-2,-3,-1,-3,-3,-3,-3,-3,-4,-3,-5,-3,-3,-5,-6,-5,-5,-5,-5,-4,-4,-6,-4,-5,-5,-4
2025-05-14 12:39:56.43,open,-5,-4,-4,-5,-8,-6,-7,-6,-5,-4,-4,-6,-6,-7,-4,-2,-2,-1,2,0,1,0,2,3,2,1,1,1,0,1,1,1,1,0,4,0,0,2,3,3,3,2,4,3,3,2,2,-3
2025-05-14 12:39:56.44,open,-7,-6,-6,-6,-10,-5,-7,-8,-5,-6,-6,-6,-7,-8,-5,-5,-6,-4,-4,-4,-3,-4,-2,-1,-2,-3,-2,0,-2,1,-1,-1,-2,-3,-2,-4,-5,-3,-3,-2,-3,-3,-3,-4,-3,-3,-2,-4
2025-05-14 12:39:56.45,open,-9,-7,-6,-6,-6,-6,-9,-8,-7,-7,-6,-7,-8,-8,-7,-8,-7,-6,-6,-6,-5,-6,-4,-4,-5,-5,-5,-3,-5,-3,-5,-3,-2,-3,2,-5,-5,-4,-5,-3,-4,-3,-5,-4,-4,-3,-2,-6
