timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-05-14 12:41:41.34,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-14 12:41:41.35,open,-1,1,5,-1,9,0,-1,-1,-2,-3,-4,-1,-3,-4,-4,-2,-2,-4,-3,-2,-2,-3,-2,-4,-4,-4,-5,-2,-5,-5,-5,-3,-2,-3,-4,-4,-5,-6,-4,-3,-4,-2,-1,-2,-3,-4,-3,2
2025-05-14 12:41:41.36,open,12,13,12,5,12,6,6,6,3,4,5,5,4,4,5,7,8,5,8,10,9,8,10,7,7,8,8,7,6,5,6,7,6,6,4,5,5,5,5,3,4,4,3,3,2,2,3,9
2025-05-14 12:41:41.37,open,5,7,5,3,0,1,0,2,1,0,0,3,0,0,0,1,1,-2,-2,2,1,0,2,-1,-1,0,-1,-2,-2,-1,-1,1,1,2,0,1,0,0,0,0,0,0,1,1,0,-1,2,2
2025-05-14 12:41:41.39,open,-2,0,3,-1,6,-1,-2,-1,-3,-1,-2,-2,-1,-4,-3,-1,-1,-3,-2,-1,-1,-3,-1,-3,-3,-4,-4,-4,-4,-3,-3,-2,-2,-1,-2,-2,-3,-2,-2,-3,-4,-3,-4,-3,-4,-4,-1,-1
2025-05-14 12:41:41.40,open,14,14,14,6,13,4,5,5,1,2,4,4,3,1,2,5,6,1,3,4,3,2,4,4,4,4,4,4,4,4,6,7,6,5,6,6,6,6,4,4,5,6,5,3,1,2,2,8
2025-05-14 12:41:41.41,open,-4,2,2,2,0,-1,-1,2,0,1,0,0,0,0,0,0,0,-2,0,1,0,1,2,0,-1,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,1,2,2,2,1,-1,0,3
2025-05-14 12:41:41.42,open,2,2,5,0,5,-1,1,-1,-2,0,-2,-1,-3,-3,-1,-2,-2,-2,-2,-2,-2,-3,-1,-2,-3,-3,-2,-2,-2,-1,0,1,1,0,0,-1,-2,-2,-3,-3,-4,-2,-3,-3,-4,-4,-4,1
2025-05-14 12:41:41.43,open,12,12,12,5,16,6,6,5,2,1,3,4,4,3,2,4,3,0,0,0,2,1,2,0,-1,-1,0,1,0,0,0,1,0,0,-1,0,-1,0,0,2,2,1,1,0,-1,0,-1,6
2025-05-14 12:41:41.44,open,-1,4,2,0,0,-1,-1,2,0,-1,0,2,1,-1,-1,1,1,-1,1,1,2,1,3,2,1,1,3,2,1,2,3,2,2,2,1,2,1,2,4,2,2,3,3,3,3,3,2,3
