timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-03 11:48:52.30,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-03 11:48:52.31,open,13,20,23,28,33,36,36,35,33,31,27,29,28,27,27,29,28,29,29,27,26,28,28,25,27,29,25,23,21,21,22,28,23,21,16,19,16,15,18,18,16,21,19,21,22,23,22,11
2025-04-03 11:48:52.32,open,-2,-4,-4,0,-4,2,0,3,3,7,4,5,9,5,6,7,9,7,9,8,8,7,5,8,6,6,5,6,5,2,7,5,6,6,4,7,4,2,6,5,1,7,5,4,2,4,3,-9
2025-04-03 11:48:52.33,open,-11,-9,-11,-11,-9,-5,-4,-2,-1,2,-1,4,4,3,4,6,6,6,8,6,4,3,4,4,3,3,0,2,1,1,2,-2,2,0,-4,1,-1,-4,-1,-1,-5,-1,-5,-2,-3,-5,-4,-8
2025-04-03 11:48:52.34,open,21,19,19,22,17,22,20,20,19,22,15,21,21,20,22,24,26,25,27,27,23,27,27,25,29,31,26,28,28,24,27,37,28,26,25,25,24,21,22,24,19,24,19,20,18,20,17,13
2025-04-03 11:48:52.36,open,-3,-1,-2,-2,-1,0,3,3,3,7,3,7,8,4,10,8,11,9,11,7,8,8,7,9,7,9,8,7,7,6,7,11,7,7,7,6,4,5,7,6,2,7,5,4,6,4,5,-4
2025-04-03 11:48:52.37,open,-8,-6,-11,-6,-9,-8,-5,-4,0,1,-3,1,1,0,4,2,5,2,4,4,2,1,4,3,2,4,-1,3,3,0,6,5,6,6,5,5,4,3,3,4,-1,-1,-3,-2,-6,-8,-9,-9
2025-04-03 11:48:52.38,open,28,28,26,27,26,28,24,25,21,24,19,22,22,18,20,21,20,16,16,15,11,12,13,11,13,12,8,10,10,9,12,12,10,12,6,10,9,7,7,10,6,9,10,10,9,11,6,20
2025-04-03 11:48:52.39,open,4,4,1,6,3,5,5,5,6,6,6,5,11,7,8,10,11,11,12,13,11,12,11,14,13,14,12,11,12,11,11,16,11,12,10,10,9,9,10,12,7,11,9,11,12,11,8,-3
2025-04-03 11:48:52.40,open,-4,-2,-2,-3,-1,3,0,2,4,4,-1,2,1,0,2,0,2,-1,-1,0,-5,-8,-8,-9,-12,-8,-10,-8,-7,-9,-8,-11,-7,-9,-10,-8,-10,-12,-8,-9,-12,-9,-11,-10,-11,-10,-11,-5
