timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-04 10:53:27.37,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-04 10:53:27.38,open,3,11,12,9,2,9,2,10,10,11,12,10,8,25,9,2,9,9,8,10,10,9,9,10,11,8,5,8,8,6,2,13,2,2,4,4,4,4,5,1,3,2,4,6,4,4,8,7
2025-04-04 10:53:27.39,open,2,16,16,11,0,15,5,14,15,14,14,13,12,11,13,4,11,12,11,12,12,11,12,13,14,9,5,7,10,9,6,19,5,5,5,5,4,5,5,4,3,3,5,7,6,7,9,12
2025-04-04 10:53:27.40,open,2,-2,-2,-2,0,1,2,4,4,4,4,1,1,-1,1,-2,-1,0,-1,-1,0,0,1,1,1,-1,-3,-1,2,0,-1,-2,-1,-2,-2,-2,-1,-1,0,0,0,-3,-1,1,0,-2,2,-3
2025-04-04 10:53:27.42,open,3,9,12,10,2,9,2,8,9,11,13,9,8,25,10,2,8,8,6,8,10,9,10,11,9,5,2,5,8,6,3,8,3,2,3,3,2,2,2,1,2,1,3,4,4,2,4,8
2025-04-04 10:53:27.43,open,4,16,18,12,2,11,3,13,14,15,14,10,11,15,14,4,13,13,12,13,13,13,12,12,13,10,7,7,9,7,4,11,4,2,2,1,1,3,4,4,4,3,6,9,10,12,19,9
2025-04-04 10:53:27.44,open,1,-2,-3,-7,-1,-1,2,0,3,4,4,0,-2,-2,6,-1,3,5,5,5,6,6,6,9,9,6,4,7,7,6,3,10,2,1,4,2,2,3,2,1,3,1,1,3,1,-1,6,-4
2025-04-04 10:53:27.45,open,3,9,10,7,2,6,2,9,8,9,13,7,6,22,10,0,5,5,2,4,4,4,4,3,3,-1,-3,0,1,1,-1,-1,1,0,1,0,0,-1,0,-1,-1,-4,-1,1,0,-2,-1,6
2025-04-04 10:53:27.46,open,2,12,12,7,0,8,3,9,14,16,19,14,16,24,23,6,29,30,26,28,28,23,22,20,17,14,10,11,13,12,8,29,8,6,6,6,5,7,8,8,8,5,7,10,8,8,14,6
2025-04-04 10:53:27.47,open,3,12,6,3,0,4,3,8,8,8,7,6,5,-2,7,1,6,7,5,6,8,7,9,9,8,5,2,4,7,5,2,10,2,2,2,2,2,2,3,0,2,0,2,4,5,1,4,5
