timestamp,status,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48
2025-04-04 10:38:48.58,open,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-04 10:38:48.59,open,-18,-17,-14,-11,-12,-14,-14,-13,-11,-9,-12,-12,-10,-9,-9,-7,-11,-11,-10,-12,-12,-9,-8,-9,-9,-7,-4,-3,-4,-3,-1,0,1,2,2,4,2,1,1,-1,1,-1,1,3,3,3,2,-10
2025-04-04 10:38:48.60,open,-30,-26,-24,-23,-24,-24,-21,-21,-19,-16,-16,-16,-16,-14,-12,-10,-15,-15,-13,-14,-15,-12,-14,-17,-18,-18,-16,-15,-16,-14,-13,-19,-12,-10,-7,-3,-6,-6,-6,-7,-7,-4,-5,-3,-4,-7,-11,-19
2025-04-04 10:38:48.61,open,-14,-15,-14,-10,-12,-15,-15,-12,-12,-10,-12,-9,-10,-9,-10,-6,-9,-10,-9,-10,-9,-6,-4,-6,-5,-6,-5,-3,-5,-5,-3,-3,-2,-1,-2,-2,-2,-4,-3,-3,-2,-3,-2,-1,1,0,-1,-7
2025-04-04 10:38:48.62,open,-14,-13,-12,-9,-9,-9,-9,-10,-8,-5,-9,-10,-10,-8,-6,-7,-8,-8,-8,-6,-6,-3,-3,-5,-4,-5,-1,0,-1,-1,-1,2,2,3,2,2,0,-2,-2,0,0,0,1,1,3,1,0,-9
2025-04-04 10:38:48.63,open,-43,-38,-34,-33,-28,-29,-28,-26,-23,-23,-25,-22,-22,-20,-23,-17,-22,-22,-19,-19,-20,-18,-17,-15,-17,-15,-12,-11,-13,-11,-10,-11,-5,-3,-3,-2,-5,-3,-3,-4,-5,-6,-7,-6,-8,-8,-11,-25
2025-04-04 10:38:48.64,open,-20,-19,-16,-15,-15,-17,-17,-16,-12,-12,-14,-14,-14,-10,-11,-9,-10,-10,-9,-9,-10,-7,-8,-9,-9,-7,-6,-4,-5,-5,-3,-4,-4,-3,-2,1,1,-1,-2,-3,-2,-1,-1,0,0,0,-3,-12
2025-04-04 10:38:48.65,open,-13,-13,-12,-11,-10,-13,-14,-11,-12,-10,-12,-12,-11,-7,-10,-6,-8,-8,-6,-5,-5,-2,-3,-4,-4,-2,0,1,0,1,2,3,2,3,4,3,1,0,0,2,2,2,2,3,4,3,2,-9
2025-04-04 10:38:48.66,open,-30,-27,-25,-24,-21,-24,-23,-25,-20,-22,-23,-22,-22,-20,-23,-16,-23,-23,-23,-23,-22,-18,-20,-21,-21,-19,-16,-14,-15,-14,-12,-16,-9,-6,-5,-4,-3,-5,-5,-6,-3,-4,-4,-3,-3,-4,-6,-19
2025-04-04 10:38:48.68,open,-21,-18,-17,-16,-17,-17,-16,-15,-14,-14,-16,-14,-12,-11,-12,-9,-10,-11,-11,-11,-11,-9,-9,-9,-10,-10,-7,-7,-8,-7,-5,-5,-3,-1,2,0,0,-1,-1,-2,0,-2,-3,-2,-3,-2,-5,-12
2025-04-04 10:38:48.69,open,-11,-10,-9,-10,-9,-9,-9,-11,-7,-7,-10,-7,-7,-6,-7,-5,-6,-6,-5,-6,-6,-4,-5,-8,-7,-7,-5,-5,-6,-5,-4,-4,0,1,1,3,2,2,1,3,5,5,6,10,13,14,15,-7
2025-04-04 10:38:48.70,open,-36,-29,-28,-27,-25,-26,-23,-23,-20,-17,-19,-19,-20,-16,-16,-13,-17,-17,-14,-13,-12,-9,-8,-11,-11,-10,-9,-7,-9,-7,-5,-8,-6,-2,-2,0,-1,-2,-2,-4,-4,-3,-1,-1,0,-1,-3,-24
2025-04-04 10:38:48.71,open,-23,-20,-19,-15,-15,-17,-16,-15,-15,-14,-16,-13,-14,-13,-16,-13,-18,-20,-18,-17,-18,-16,-17,-17,-18,-16,-13,-10,-13,-11,-9,-12,-7,-5,-5,-3,-5,-5,-5,-5,-5,-6,-6,-4,-5,-5,-8,-15
2025-04-04 10:38:48.72,open,-19,-13,-10,-8,-8,-6,-5,-3,-1,3,3,5,4,7,7,6,7,3,4,3,2,4,3,3,5,5,6,7,6,7,6,9,6,7,7,7,5,2,3,1,2,1,2,3,4,7,6,-12
2025-04-04 10:38:48.73,open,-24,-21,-21,-19,-20,-20,-18,-18,-18,-15,-15,-16,-16,-13,-11,-10,-13,-13,-10,-9,-9,-9,-9,-9,-9,-8,-8,-6,-8,-7,-3,-3,-2,-1,-1,0,-1,-2,-3,0,0,0,-1,0,0,0,-3,-15
2025-04-04 10:38:48.75,open,-32,-29,-26,-23,-24,-26,-25,-23,-21,-22,-22,-21,-21,-19,-20,-14,-18,-18,-15,-17,-16,-14,-13,-14,-15,-13,-10,-8,-9,-9,-8,-10,-7,-3,-3,-3,-5,-8,-7,-5,-5,-6,-6,-5,-4,-7,-9,-20
2025-04-04 10:38:48.76,open,0,0,0,0,-2,0,-3,-3,-2,-1,-3,-5,-5,-1,-1,-2,-4,-4,-2,0,-1,4,3,2,1,1,3,5,4,5,7,12,8,8,8,7,6,3,2,4,5,6,6,8,8,8,7,0
2025-04-04 10:38:48.77,open,-22,-24,-18,-15,-17,-18,-16,-16,-15,-15,-14,-13,-13,-12,-13,-9,-12,-12,-12,-12,-12,-8,-7,-11,-10,-10,-5,-6,-6,-5,-4,-5,-3,-2,-1,1,-1,-1,-1,-2,-2,-2,-3,-2,-1,-1,-1,-14
2025-04-04 10:38:48.78,open,-26,-20,-23,-22,-21,-22,-24,-21,-22,-22,-20,-21,-21,-19,-20,-14,-19,-19,-17,-17,-18,-14,-14,-15,-16,-14,-11,-9,-11,-9,-9,-11,-6,-3,-2,-2,-3,-5,-6,-2,-1,-2,-2,-1,-1,0,-2,-18
2025-04-04 10:38:48.79,open,1,3,2,5,3,1,0,0,0,0,-2,-1,0,1,0,1,0,-2,-2,-2,0,1,2,-1,-1,-2,-1,0,-3,-2,-1,-1,0,0,-1,-1,-1,-4,-3,-3,0,-2,-1,-1,0,-2,-3,0
2025-04-04 10:38:48.80,open,-22,-18,-17,-16,-15,-17,-16,-15,-12,-13,-14,-12,-12,-10,-11,-9,-12,-12,-10,-10,-11,-8,-8,-9,-9,-7,-4,-2,-2,-3,-1,3,3,3,2,3,2,2,1,0,0,0,1,3,4,3,3,-13
2025-04-04 10:38:48.82,open,-29,-26,-24,-20,-20,-22,-21,-17,-15,-14,-15,-14,-12,-12,-13,-9,-13,-14,-15,-16,-17,-15,-15,-17,-18,-17,-15,-15,-18,-17,-16,-17,-10,-5,-4,-3,-5,-5,-6,-6,-6,-5,-5,-5,-5,-7,-11,-17
2025-04-04 10:38:48.83,open,-16,-15,-15,-16,-13,-16,-16,-15,-14,-12,-13,-14,-13,-10,-12,-9,-10,-10,-9,-9,-9,-7,-7,-8,-6,-6,-5,-4,-6,-5,-4,-4,-3,-2,-2,-1,-2,-2,-2,-3,-1,-2,-2,0,0,0,-1,-9
